TP-02P0 Time, 2017/07/12 04:45:32
TP-02P0 Operator, Smith 
TP-02P0 Lamp, 255 
TP-02P0 Slit,0.0  
TP-02P0 Scan From, 850.0nm
TP-02P0 Scan To, 390.0nm
TP-02P0 Scan Step, 1.0nm
TP-02P0 Sample Filter, 11
TP-02P0 memo,  
TP-02P0 WL(nm), Abs, T%
TP-02P0 390.0, 0.0035, 99.20
TP-02P0 391.0, 0.0035, 99.20
TP-02P0 392.0, 0.0034, 99.22
TP-02P0 393.0, 0.0035, 99.20
TP-02P0 394.0, 0.0033, 99.24
TP-02P0 395.0, 0.0034, 99.22
TP-02P0 396.0, 0.0033, 99.25
TP-02P0 397.0, 0.0033, 99.25
TP-02P0 398.0, 0.0034, 99.21
TP-02P0 399.0, 0.0032, 99.26
TP-02P0 400.0, 0.0033, 99.24
TP-02P0 401.0, 0.0033, 99.24
TP-02P0 402.0, 0.0033, 99.25
TP-02P0 403.0, 0.0032, 99.25
TP-02P0 404.0, 0.0032, 99.27
TP-02P0 405.0, 0.0032, 99.26
TP-02P0 406.0, 0.0032, 99.27
TP-02P0 407.0, 0.0031, 99.28
TP-02P0 408.0, 0.0032, 99.26
TP-02P0 409.0, 0.0031, 99.30
TP-02P0 410.0, 0.0031, 99.29
TP-02P0 411.0, 0.0031, 99.30
TP-02P0 412.0, 0.0030, 99.30
TP-02P0 413.0, 0.0030, 99.31
TP-02P0 414.0, 0.0030, 99.31
TP-02P0 415.0, 0.0030, 99.31
TP-02P0 416.0, 0.0030, 99.32
TP-02P0 417.0, 0.0030, 99.32
TP-02P0 418.0, 0.0029, 99.32
TP-02P0 419.0, 0.0028, 99.35
TP-02P0 420.0, 0.0029, 99.34
TP-02P0 421.0, 0.0029, 99.34
TP-02P0 422.0, 0.0028, 99.35
TP-02P0 423.0, 0.0029, 99.34
TP-02P0 424.0, 0.0028, 99.36
TP-02P0 425.0, 0.0028, 99.36
TP-02P0 426.0, 0.0028, 99.35
TP-02P0 427.0, 0.0028, 99.36
TP-02P0 428.0, 0.0028, 99.37
TP-02P0 429.0, 0.0027, 99.37
TP-02P0 430.0, 0.0027, 99.39
TP-02P0 431.0, 0.0027, 99.38
TP-02P0 432.0, 0.0027, 99.37
TP-02P0 433.0, 0.0027, 99.38
TP-02P0 434.0, 0.0027, 99.37
TP-02P0 435.0, 0.0027, 99.38
TP-02P0 436.0, 0.0027, 99.38
TP-02P0 437.0, 0.0027, 99.37
TP-02P0 438.0, 0.0027, 99.37
TP-02P0 439.0, 0.0027, 99.38
TP-02P0 440.0, 0.0027, 99.39
TP-02P0 441.0, 0.0027, 99.39
TP-02P0 442.0, 0.0026, 99.40
TP-02P0 443.0, 0.0025, 99.43
TP-02P0 444.0, 0.0024, 99.44
TP-02P0 445.0, 0.0025, 99.44
TP-02P0 446.0, 0.0025, 99.43
TP-02P0 447.0, 0.0024, 99.45
TP-02P0 448.0, 0.0025, 99.43
TP-02P0 449.0, 0.0024, 99.44
TP-02P0 450.0, 0.0025, 99.43
TP-02P0 451.0, 0.0025, 99.42
TP-02P0 452.0, 0.0025, 99.43
TP-02P0 453.0, 0.0025, 99.43
TP-02P0 454.0, 0.0024, 99.44
TP-02P0 455.0, 0.0024, 99.44
TP-02P0 456.0, 0.0025, 99.44
TP-02P0 457.0, 0.0025, 99.43
TP-02P0 458.0, 0.0025, 99.43
TP-02P0 459.0, 0.0025, 99.43
TP-02P0 460.0, 0.0025, 99.43
TP-02P0 461.0, 0.0025, 99.43
TP-02P0 462.0, 0.0024, 99.44
TP-02P0 463.0, 0.0024, 99.44
TP-02P0 464.0, 0.0024, 99.45
TP-02P0 465.0, 0.0024, 99.45
TP-02P0 466.0, 0.0024, 99.45
TP-02P0 467.0, 0.0024, 99.46
