FRAME(COUNTER)	TIMER	ROLL	PITCH	TEMP(PCB)	MAG(X)	MAG(Y)	MAG(Z)	COMP	DATETAG	TIMETAG2
178	1263.9800000000	0.9100000000	-4.3800000000	31.3000000000	-143.7000000000	126.6000000000	598.2000000000	125.3000000000	2017-198	18:22:54.585
179	1264.6200000000	1.0000000000	-4.3900000000	31.3000000000	-143.7000000000	126.6000000000	598.4000000000	125.0000000000	2017-198	18:22:55.225
180	1265.2600000000	1.0000000000	-4.5600000000	31.3000000000	-144.5000000000	127.5000000000	598.4000000000	124.6000000000	2017-198	18:22:55.873
181	1265.9000000000	0.8700000000	-4.5300000000	31.3000000000	-144.3000000000	126.8000000000	598.4000000000	125.0000000000	2017-198	18:22:56.529
182	1266.5500000000	1.1100000000	-4.6200000000	31.3000000000	-144.1000000000	126.1000000000	598.7000000000	124.3000000000	2017-198	18:22:57.168
183	1267.1900000000	1.0500000000	-4.5100000000	31.3000000000	-143.7000000000	126.8000000000	598.4000000000	124.5000000000	2017-198	18:22:57.901
184	1267.8400000000	0.8300000000	-4.4900000000	31.3000000000	-143.3000000000	127.0000000000	598.7000000000	124.9000000000	2017-198	18:22:58.525
185	1268.4800000000	0.9100000000	-4.4900000000	31.3000000000	-143.1000000000	127.0000000000	598.4000000000	124.7000000000	2017-198	18:22:59.118
186	1269.1200000000	1.1700000000	-4.4500000000	31.3000000000	-142.9000000000	126.8000000000	598.7000000000	124.2000000000	2017-198	18:22:59.742
187	1269.7700000000	0.9600000000	-4.3400000000	31.2000000000	-143.3000000000	126.8000000000	598.5000000000	125.1000000000	2017-198	18:23:00.382
188	1270.4100000000	1.1100000000	-4.4300000000	31.3000000000	-143.3000000000	127.0000000000	598.7000000000	124.5000000000	2017-198	18:23:01.022
189	1271.0600000000	1.0600000000	-4.4100000000	31.3000000000	-142.9000000000	127.5000000000	598.2000000000	124.4000000000	2017-198	18:23:01.677
190	1271.7000000000	0.8800000000	-4.6200000000	31.3000000000	-143.1000000000	128.4000000000	598.2000000000	124.1000000000	2017-198	18:23:02.363
191	1272.3400000000	1.1100000000	-4.4500000000	31.3000000000	-142.7000000000	127.0000000000	598.4000000000	124.3000000000	2017-198	18:23:02.972
192	1272.9900000000	1.1800000000	-4.4900000000	31.3000000000	-142.5000000000	127.3000000000	598.4000000000	123.9000000000	2017-198	18:23:03.705
