SN	INTTIME(LT)	SAMPLE(DELAY)	LT(348.18)	LT(351.52)	LT(354.85)	LT(358.19)	LT(361.52)	LT(364.86)	LT(368.20)	LT(371.54)	LT(374.88)	LT(378.22)	LT(381.56)	LT(384.90)	LT(388.24)	LT(391.58)	LT(394.92)	LT(398.27)	LT(401.61)	LT(404.95)	LT(408.30)	LT(411.64)	LT(414.99)	LT(418.34)	LT(421.68)	LT(425.03)	LT(428.38)	LT(431.72)	LT(435.07)	LT(438.42)	LT(441.77)	LT(445.12)	LT(448.47)	LT(451.82)	LT(455.17)	LT(458.52)	LT(461.87)	LT(465.22)	LT(468.58)	LT(471.93)	LT(475.28)	LT(478.63)	LT(481.99)	LT(485.34)	LT(488.69)	LT(492.05)	LT(495.40)	LT(498.76)	LT(502.11)	LT(505.47)	LT(508.82)	LT(512.17)	LT(515.53)	LT(518.88)	LT(522.24)	LT(525.60)	LT(528.95)	LT(532.31)	LT(535.66)	LT(539.02)	LT(542.37)	LT(545.73)	LT(549.09)	LT(552.44)	LT(555.80)	LT(559.15)	LT(562.51)	LT(565.87)	LT(569.22)	LT(572.58)	LT(575.93)	LT(579.29)	LT(582.64)	LT(586.00)	LT(589.35)	LT(592.71)	LT(596.06)	LT(599.42)	LT(602.77)	LT(606.13)	LT(609.48)	LT(612.84)	LT(616.19)	LT(619.55)	LT(622.90)	LT(626.25)	LT(629.61)	LT(632.96)	LT(636.31)	LT(639.67)	LT(643.02)	LT(646.37)	LT(649.72)	LT(653.07)	LT(656.42)	LT(659.77)	LT(663.12)	LT(666.47)	LT(669.82)	LT(673.17)	LT(676.52)	LT(679.87)	LT(683.22)	LT(686.56)	LT(689.91)	LT(693.26)	LT(696.60)	LT(699.95)	LT(703.30)	LT(706.64)	LT(709.98)	LT(713.33)	LT(716.67)	LT(720.01)	LT(723.35)	LT(726.70)	LT(730.04)	LT(733.38)	LT(736.72)	LT(740.06)	LT(743.39)	LT(746.73)	LT(750.07)	LT(753.41)	LT(756.74)	LT(760.08)	LT(763.41)	LT(766.74)	LT(770.08)	LT(773.41)	LT(776.74)	LT(780.07)	LT(783.40)	LT(786.73)	LT(790.06)	LT(793.39)	LT(796.71)	LT(800.04)	LT(803.36)	DARK_SAMP(LT)	DARK_AVE(LT)	TEMP(PCB)	FRAME(COUNTER)	TIMER	CHECK(SUM)	DATETAG	TIMETAG2
0251	1.0240000000	0.0000000000	0.0462038436	0.0409030589	0.0340656144	0.0388149763	0.0275840690	0.0282585274	0.0389642343	0.0275212965	0.0287402099	0.0381400574	0.0246551254	0.0333949022	0.0365413634	0.0276989378	0.0331717769	0.0313445909	0.0269154243	0.0279174856	0.0255485549	0.0226748536	0.0228526575	0.0215440195	0.0257610096	0.0276794291	0.0171071944	0.0241980743	0.0224360220	0.0178504771	0.0249044310	0.0179485772	0.0158929194	0.0270231153	0.0176622430	0.0199222757	0.0279262550	0.0209964178	0.0240801740	0.0293907420	0.0253243891	0.0290147754	0.0321836081	0.0260742938	0.0243147355	0.0296838802	0.0241601916	0.0244859400	0.0291744150	0.0238654958	0.0321393799	0.0252362466	0.0225356539	0.0249358828	0.0221373656	0.0199354247	0.0195039372	0.0193385395	0.0214439361	0.0185836208	0.0188442920	0.0228314634	0.0193340849	0.0189089748	0.0245826671	0.0215949765	0.0192787808	0.0270753330	0.0201591609	0.0180452932	0.0262141065	0.0186305729	0.0223994519	0.0321519395	0.0252898241	0.0345912254	0.0368514182	0.0330655630	0.0377235438	0.0394399731	0.0347419060	0.0334850569	0.0344590784	0.0351185155	0.0297175215	0.0395212852	0.0369288364	0.0295452617	0.0443042348	0.0366052921	0.0358806306	0.0444664487	0.0380466383	0.0357918627	0.0453601171	0.0363426685	0.0310799650	0.0433259482	0.0385876560	0.0385285302	0.0526882423	0.0359001918	0.0415420375	0.0417871101	0.0375380019	0.0420166181	0.0340296397	0.0459123037	0.0453896381	0.0309859131	0.0468280062	0.0463705641	0.0311963156	0.0505043293	0.0461664335	0.0349746051	0.0518305337	0.0451069148	0.0327468616	0.0559239688	0.0408634337	0.0312677210	0.0599632938	0.0465679174	0.0464547086	0.0740268261	0.0522417729	0.0578245337	0.0676182786	0.0599190901	0.0679351196	0.0638812938	0.0661468762	0.0732561295	0.0721984321	0.0770170931	0.0733400342	0.0787192302	0.0727541371	15	1399	44.5000000000	165	1184.6100000000	0	2017-198	18:21:38.012
0251	1.0240000000	0.0000000000	0.0372522310	0.0290924092	0.0321419092	0.0262549645	0.0261200164	0.0272206521	0.0214303289	0.0292290256	0.0321685629	0.0222641731	0.0405322640	0.0342714088	0.0293416484	0.0452737435	0.0314706601	0.0308441691	0.0382170023	0.0291339934	0.0277305012	0.0295121250	0.0249200229	0.0236126932	0.0231121455	0.0213453387	0.0219229079	0.0202366220	0.0197442377	0.0228903048	0.0229192945	0.0195500742	0.0216047337	0.0209705552	0.0221754832	0.0204770746	0.0227605298	0.0251418580	0.0213972142	0.0272670703	0.0262186705	0.0233269978	0.0278814050	0.0216295520	0.0224836983	0.0272092358	0.0219530819	0.0231928780	0.0248116746	0.0217069289	0.0231001793	0.0230060425	0.0226579489	0.0214293556	0.0184351455	0.0234857066	0.0206747050	0.0192229599	0.0239545481	0.0211790671	0.0192928455	0.0239446991	0.0259992869	0.0195743933	0.0281319341	0.0254818613	0.0182771527	0.0287563973	0.0224219215	0.0213775451	0.0293867172	0.0206969495	0.0255738154	0.0310856595	0.0252898241	0.0306045813	0.0370068799	0.0314282892	0.0332982151	0.0416691890	0.0344056441	0.0308651992	0.0339750822	0.0231601404	0.0303774123	0.0342290181	0.0246112471	0.0400174389	0.0376724159	0.0339845445	0.0472795093	0.0356099328	0.0390233300	0.0381576803	0.0346190515	0.0411507212	0.0343004990	0.0332202522	0.0418355872	0.0352676321	0.0327949746	0.0472272524	0.0349043719	0.0357307348	0.0486695830	0.0340061450	0.0399428429	0.0495113758	0.0341459148	0.0382018107	0.0504286779	0.0370366719	0.0443824705	0.0492198256	0.0424817886	0.0488363907	0.0471232927	0.0446491880	0.0430354254	0.0532935355	0.0533460495	0.0470151883	0.0591970648	0.0536189934	0.0435286121	0.0648119585	0.0574822509	0.0505182404	0.0693360627	0.0607959548	0.0529654358	0.0693842169	0.0623890114	0.0497731984	0.0688907197	0.0633720437	0.0617043557	0.0885694859	0.0652237053	15	1410	44.5000000000	166	1192.0100000000	0	2017-198	18:21:45.391
0251	1.0240000000	0.0000000000	0.0343953334	0.0402083148	0.0316609828	0.0280708698	0.0312442006	0.0281102595	0.0308716626	0.0292290256	0.0310257785	0.0339621931	0.0370807121	0.0411081604	0.0363657606	0.0449257275	0.0399762440	0.0315113982	0.0371027622	0.0242679621	0.0259849442	0.0286916525	0.0187179266	0.0230042597	0.0225363055	0.0180690850	0.0201431877	0.0190177136	0.0184481935	0.0197280600	0.0175594259	0.0218522261	0.0200747834	0.0169007304	0.0190591983	0.0203661148	0.0198906824	0.0262078283	0.0257875121	0.0210209771	0.0305623231	0.0278513664	0.0225362436	0.0324799512	0.0241839472	0.0243438581	0.0338974404	0.0230635718	0.0255815699	0.0299602727	0.0225980015	0.0247406457	0.0269382715	0.0221548440	0.0233316302	0.0254975331	0.0218454728	0.0219968692	0.0250957354	0.0180193934	0.0226569966	0.0210502861	0.0167790907	0.0260067718	0.0194805958	0.0190407380	0.0252885493	0.0194545084	0.0216299553	0.0216073555	0.0185763402	0.0265314246	0.0199869356	0.0238882698	0.0334264269	0.0267655906	0.0251917908	0.0402695678	0.0332982151	0.0317234566	0.0396177034	0.0305377170	0.0273604673	0.0364113128	0.0221287775	0.0274002863	0.0374567331	0.0306285904	0.0409883254	0.0427827686	0.0398702382	0.0488947067	0.0441021274	0.0454522845	0.0435699395	0.0493644780	0.0459749349	0.0374646445	0.0471134754	0.0397513670	0.0336153156	0.0466094127	0.0396751941	0.0376102995	0.0480394935	0.0394869950	0.0363526838	0.0442186228	0.0377523921	0.0335327005	0.0421683134	0.0364002702	0.0367259935	0.0460085665	0.0377134246	0.0424555688	0.0439851321	0.0444203246	0.0479458763	0.0375109356	0.0496746919	0.0550139018	0.0346777367	0.0570139560	0.0578930860	0.0404196618	0.0641018019	0.0552954322	0.0458596807	0.0701491787	0.0583545220	0.0476782426	0.0767941599	0.0562068782	0.0401136213	0.0780404718	0.0687562821	0.0612076646	0.1028758643	15	1392	44.5000000000	167	1199.4100000000	0	2017-198	18:21:52.817
0251	1.0240000000	0.0000000000	0.0332525743	0.0346503620	0.0404779654	0.0265576153	0.0306585795	0.0352271187	0.0287735884	0.0312472509	0.0391885238	0.0317897037	0.0343194706	0.0402316538	0.0286392372	0.0329191771	0.0372544571	0.0215029609	0.0297806131	0.0292860568	0.0233666086	0.0332042516	0.0224650264	0.0249512467	0.0257610096	0.0185059188	0.0250635907	0.0189161379	0.0162548877	0.0249655280	0.0174601691	0.0167474544	0.0255826044	0.0178399207	0.0174473268	0.0273565816	0.0178243924	0.0187460359	0.0278607083	0.0230197269	0.0217472634	0.0277220987	0.0224058738	0.0260742938	0.0290231170	0.0251253247	0.0346764203	0.0279772075	0.0282762037	0.0290714510	0.0278708685	0.0275903510	0.0238808982	0.0252986270	0.0254813064	0.0196987393	0.0227820870	0.0200320168	0.0187050866	0.0216304491	0.0185078769	0.0191577854	0.0206671253	0.0200180056	0.0190369374	0.0194849534	0.0219497890	0.0187820827	0.0171044340	0.0233309341	0.0215139427	0.0275038371	0.0283672554	0.0272203947	0.0306207018	0.0347388789	0.0323430289	0.0279900143	0.0395957982	0.0339526725	0.0243177874	0.0387247724	0.0288124559	0.0249377367	0.0363164294	0.0297903424	0.0309460073	0.0421840962	0.0371197643	0.0341717408	0.0425299765	0.0390755260	0.0308191190	0.0480152536	0.0399895843	0.0369436751	0.0580519375	0.0433259482	0.0428505657	0.0546292147	0.0397678726	0.0476391455	0.0415420375	0.0346865321	0.0446790162	0.0335845411	0.0367750555	0.0410429710	0.0320244576	0.0392629721	0.0417447050	0.0302483867	0.0443824705	0.0425832233	0.0335952920	0.0510366741	0.0453300581	0.0302307943	0.0558961301	0.0470761477	0.0374368333	0.0702614494	0.0471928104	0.0541412954	0.0698634809	0.0534288867	0.0494836266	0.0651308269	0.0530171142	0.0531964605	0.0595520967	0.0602126784	0.0639547884	0.0671441338	0.0662445497	0.0712179471	0.0751030158	0.0754358117	0.0814141337	15	1393	44.5000000000	168	1206.8400000000	0	2017-198	18:22:00.320
0251	1.0240000000	0.0000000000	0.0374426909	0.0289187231	0.0383939513	0.0279195443	0.0305121743	0.0335961718	0.0268253767	0.0326444838	0.0258016216	0.0332937348	0.0341468930	0.0225262201	0.0400534196	0.0363993367	0.0251765281	0.0385173044	0.0323274475	0.0253324065	0.0363128234	0.0256832530	0.0216897644	0.0281151006	0.0224211375	0.0163217497	0.0233885599	0.0202366220	0.0163545835	0.0244714273	0.0200408466	0.0227530681	0.0282345182	0.0208662008	0.0241097290	0.0260250642	0.0224161481	0.0249049757	0.0233484577	0.0235194144	0.0263464250	0.0230684625	0.0234488321	0.0263357492	0.0219605448	0.0223901915	0.0263673013	0.0225463469	0.0231435679	0.0242464193	0.0188316679	0.0244928452	0.0243700779	0.0173182546	0.0291835265	0.0225389648	0.0197380908	0.0315899720	0.0214439361	0.0223075220	0.0265818394	0.0198257268	0.0207782120	0.0242323226	0.0198133395	0.0214839227	0.0239530452	0.0221442112	0.0227613356	0.0231011236	0.0218664549	0.0232495323	0.0279863317	0.0241548398	0.0266926866	0.0292756999	0.0301665652	0.0325743809	0.0365321091	0.0416691890	0.0347419060	0.0419995946	0.0386537122	0.0288161286	0.0420904737	0.0328632717	0.0316498696	0.0412813223	0.0268036015	0.0343589370	0.0385403690	0.0306040759	0.0378512999	0.0393405891	0.0385972239	0.0397483725	0.0373197497	0.0409005812	0.0406176130	0.0340447953	0.0383322759	0.0406369626	0.0311706850	0.0432489938	0.0471993742	0.0344277488	0.0479679044	0.0518401871	0.0381766835	0.0549681609	0.0449217683	0.0385216093	0.0537403868	0.0404423839	0.0394473751	0.0545571276	0.0408469714	0.0451069148	0.0549608061	0.0425326719	0.0484509060	0.0565136606	0.0451495331	0.0517909367	0.0634792702	0.0444850446	0.0580338801	0.0651308269	0.0533034116	0.0686877374	0.0685339069	0.0657156015	0.0761678491	0.0787247573	0.0635983797	0.0715590733	0.0726348416	0.0648559074	0.0644706622	15	1405	42.5000000000	169	1214.2500000000	0	2017-198	18:22:07.621
