FRAME(COUNTER)	TIMER	ROLL	PITCH	TEMP(PCB)	MAG(X)	MAG(Y)	MAG(Z)	COMP	DATETAG	TIMETAG2
104	2036.7900000000	-1.0300000000	-3.4800000000	32.1000000000	-126.5000000000	150.8000000000	599.8000000000	122.1000000000	2017-198	18:35:47.501
105	2037.4400000000	-1.0700000000	-3.2300000000	32.1000000000	-125.9000000000	151.7000000000	599.5000000000	122.7000000000	2017-198	18:35:48.039
106	2038.0800000000	-1.1200000000	-3.2700000000	32.1000000000	-125.5000000000	150.5000000000	599.5000000000	122.7000000000	2017-198	18:35:48.710
107	2038.7200000000	-0.8600000000	-3.4400000000	32.1000000000	-126.1000000000	149.6000000000	599.5000000000	122.0000000000	2017-198	18:35:49.334
108	2039.3700000000	-1.0500000000	-3.3600000000	32.1000000000	-126.9000000000	151.4000000000	599.5000000000	122.5000000000	2017-198	18:35:50.052
109	2040.0100000000	-1.0700000000	-3.3300000000	32.1000000000	-126.9000000000	150.1000000000	599.5000000000	122.9000000000	2017-198	18:35:50.660
110	2040.6500000000	-0.9700000000	-3.5400000000	32.1000000000	-126.5000000000	150.8000000000	599.5000000000	121.8000000000	2017-198	18:35:51.315
111	2041.2900000000	-0.9400000000	-3.3800000000	32.1000000000	-126.9000000000	149.6000000000	599.5000000000	122.6000000000	2017-198	18:35:51.908
112	2041.9400000000	-1.0200000000	-3.4300000000	32.1000000000	-127.1000000000	149.6000000000	599.5000000000	122.7000000000	2017-198	18:35:52.610
113	2042.5800000000	-0.9900000000	-3.3800000000	32.1000000000	-126.7000000000	150.5000000000	599.5000000000	122.5000000000	2017-198	18:35:53.187
114	2043.2200000000	-0.9200000000	-3.3300000000	32.1000000000	-126.7000000000	149.9000000000	599.8000000000	122.6000000000	2017-198	18:35:53.889
115	2043.8600000000	-1.0700000000	-3.4100000000	32.1000000000	-127.3000000000	150.5000000000	599.5000000000	122.7000000000	2017-198	18:35:54.467
116	2044.5100000000	-1.0100000000	-3.3800000000	32.1000000000	-127.3000000000	151.9000000000	599.5000000000	122.4000000000	2017-198	18:35:55.137
117	2045.1500000000	-0.9700000000	-3.3800000000	32.1000000000	-127.5000000000	150.1000000000	599.8000000000	122.7000000000	2017-198	18:35:55.761
118	2045.7900000000	-1.0900000000	-3.3700000000	32.3000000000	-127.3000000000	149.9000000000	599.7000000000	123.0000000000	2017-198	18:35:56.401
119	2046.4300000000	-0.9000000000	-3.4600000000	32.1000000000	-126.9000000000	150.1000000000	599.5000000000	122.2000000000	2017-198	18:35:57.041
120	2047.0700000000	-0.8900000000	-3.3100000000	32.1000000000	-127.1000000000	150.8000000000	599.8000000000	122.6000000000	2017-198	18:35:57.696
121	2047.7100000000	-1.0700000000	-3.3800000000	32.1000000000	-127.5000000000	149.6000000000	599.5000000000	123.0000000000	2017-198	18:35:58.382
122	2048.3600000000	-1.2400000000	-3.2400000000	32.1000000000	-126.1000000000	150.3000000000	599.8000000000	123.3000000000	2017-198	18:35:59.022
123	2049.0000000000	-0.9600000000	-3.3600000000	32.1000000000	-126.7000000000	149.9000000000	599.5000000000	122.6000000000	2017-198	18:35:59.693
124	2049.6400000000	-1.0600000000	-3.4800000000	32.1000000000	-127.3000000000	150.3000000000	599.5000000000	122.5000000000	2017-198	18:36:00.254
125	2050.2900000000	-1.2300000000	-3.2600000000	32.1000000000	-125.9000000000	151.2000000000	599.5000000000	123.0000000000	2017-198	18:36:00.894
126	2050.9300000000	-0.9300000000	-3.2600000000	32.1000000000	-126.9000000000	149.9000000000	599.5000000000	122.9000000000	2017-198	18:36:01.533
127	2051.5700000000	-1.0600000000	-3.4400000000	32.3000000000	-127.1000000000	151.3000000000	599.7000000000	122.4000000000	2017-198	18:36:02.189
128	2052.2200000000	-1.1500000000	-3.1900000000	32.3000000000	-125.9000000000	151.5000000000	599.9000000000	123.0000000000	2017-198	18:36:02.828
