wl_c,acs17_g1a_diw_cside_236_1,acs17_g1a_diw_cside_252_2,acs17_g1a_DREfil_cside_208_1,acs17_g1a_DREfil_cside_208_2,acs17_g1a_DREtot_cside_208_1,acs17_g1a_DREtot_cside_232_2,acs17_g1a_DREtot_cside_232_3
532,0.030233748,-0.001907136,0.099829472,0.692794734,2.499388543,18.03117533,5.087590475
537,0.038863161,-0.003235982,0.091406639,0.696462852,2.486070856,18.08383707,5.067136425
541.8,0.036709086,-0.000796054,0.086678772,0.684502876,2.464018026,18.12130048,5.040874458
546.4,0.045080242,0.009141044,0.08986797,0.685929497,2.451636682,18.1540286,5.02680824
551,0.050210111,0.010627307,0.085293603,0.684999513,2.436712574,18.21681995,5.007162235
555.5,0.052359348,0.016195253,0.085113087,0.678517809,2.419628337,18.2477703,4.987554599
560.3,0.058192081,0.025975465,0.089688522,0.678107137,2.407349134,18.29774759,4.971676773
564.7,0.066262694,0.025891219,0.084840709,0.680725131,2.397680545,18.34474116,4.95831455
569.1,0.056084956,0.02666451,0.081959226,0.653776653,2.375145167,18.34789895,4.933892961
573.5,0.05969305,0.028820772,0.079400675,0.652894708,2.361381368,18.38641791,4.919588103
578,0.063866304,0.033129087,0.078952429,0.65436211,2.349825772,18.44023641,4.906686464
582.4,0.062617802,0.040233244,0.081341298,0.644508478,2.332267738,18.47337738,4.885958109
586.4,0.069832159,0.04393332,0.081005864,0.646995691,2.323187518,18.50553251,4.876376248
591.3,0.066352105,0.046812673,0.079073057,0.639886986,2.304118016,18.52533425,4.856155849
595.7,0.069209831,0.051713691,0.079420281,0.63671871,2.291662989,18.56823655,4.842548705
600.4,0.076458777,0.056141546,0.080434872,0.641500088,2.283422356,18.6130224,4.832758525
605.3,0.079503616,0.056519408,0.077881836,0.642753131,2.271528094,18.64649783,4.817927623
609.8,0.087230065,0.059263612,0.078952818,0.647004482,2.265078727,18.68775908,4.80920673
614.7,0.092525543,0.059724384,0.07758212,0.650689971,2.256613814,18.75336785,4.798881979
619.4,0.089392935,0.058390161,0.074243538,0.642442041,2.239960298,18.76100154,4.781298876
624,0.092816564,0.061377019,0.075379294,0.641429651,2.229917846,18.79798345,4.769080008
628.7,0.095583155,0.067620277,0.079850562,0.645303701,2.218790588,18.81197995,4.757079073
633.4,0.093842559,0.055750125,0.065568991,0.640990761,2.20386086,18.88166358,4.737319732
638,0.081104338,0.061381256,0.068923428,0.619677316,2.177665567,18.88746505,4.711443007
642.8,0.103841464,0.080253138,0.086006162,0.645859724,2.18741703,18.93777392,4.718124187
647.1,0.096565664,0.065724414,0.069642508,0.6335544,2.167959257,18.96810441,4.693419966
651.6,0.091346898,0.069882929,0.071156142,0.624161866,2.150260598,18.97758568,4.677209102
656.2,0.094423527,0.075606962,0.074806298,0.626853632,2.139190477,19.01437846,4.662488009
661.1,0.09948525,0.076669671,0.073507918,0.629253347,2.131754836,19.09313686,4.650505646
665,0.09915545,0.069804285,0.065495528,0.627424833,2.119026093,19.11306655,4.635531841
669.8,0.089353304,0.073169803,0.06668928,0.607733987,2.10089607,19.1463974,4.613435346
673.9,0.110914619,0.089207078,0.081989492,0.632835807,2.113551418,19.17261896,4.625845163
678.6,0.100453546,0.07363842,0.064411686,0.615105815,2.095818352,19.20181786,4.603472101
682.5,0.090717688,0.07820467,0.066718614,0.602854106,2.077233724,19.19973983,4.589438472
686.8,0.097928791,0.082978078,0.068912206,0.611796316,2.075499131,19.22716713,4.586187576
690.8,0.082525799,0.081850823,0.065270796,0.585062556,2.050375734,19.20143504,4.559131674
695,0.090245414,0.090529636,0.071240523,0.595124886,2.045528004,19.19549739,4.557699789
698.9,0.081506121,0.092199903,0.068966366,0.582933206,2.025246777,19.19236341,4.533856009
702.8,0.085748006,0.10648449,0.079696283,0.582351601,2.018838853,19.23327011,4.526665294
706.5,0.071373269,0.092838524,0.063291831,0.559984145,1.992750833,19.22328072,4.50093614
710,0.062954352,0.100292714,0.066217431,0.543878258,1.972881645,19.20279972,4.485680235
713.6,0.05395038,0.111445117,0.071054674,0.527625046,1.952602518,19.15872912,4.465809701
716.9,0.052385787,0.110689031,0.064210097,0.517723126,1.938943481,19.16499871,4.452551063
720.3,0.0419119,0.141154528,0.086627365,0.500925571,1.916795496,19.16792233,4.432972293
723.7,0.072323691,0.148361267,0.087435398,0.534248489,1.933993921,19.220436,4.447064336
726.8,0.025385722,0.114785037,0.046586548,0.469249842,1.875955513,19.16785017,4.390278955
730.2,0.039523239,0.157215273,0.081957364,0.473577946,1.87951962,19.14122401,4.400323117
733.1,0.081739864,0.168904876,0.090856413,0.52049107,1.908574448,19.19842391,4.428571589
736.2,0.086956188,0.151745867,0.072927533,0.529531328,1.905607864,19.22167531,4.420818652
739.1,0.097433712,0.159435921,0.083217502,0.538939441,1.910485121,19.31303473,4.422374559
741.8,0.129768174,0.15160729,0.081484144,0.583710928,1.939215398,19.3339807,4.446242803
744.6,0.123761237,0.14567698,0.081306959,0.584262257,1.931791373,19.38852096,4.432638115
747.2,0.139907537,0.129591138,0.071525235,0.60966724,1.946249239,19.42770525,4.44317281
749.5,0.114611184,0.123580616,0.070597459,0.580710129,1.921476569,19.35371788,4.41558241
752,0.142735119,0.132400462,0.085261524,0.626150262,1.946199563,19.3799501,4.434910432
