wl_c,acs17_g1a_diw_cside_236_1,acs17_g1a_diw_cside_252_2,acs17_g1a_DREfil_cside_208_1,acs17_g1a_DREfil_cside_208_2,acs17_g1a_DREtot_cside_208_1,acs17_g1a_DREtot_cside_232_2,acs17_g1a_DREtot_cside_232_3
400.7,-0.691346502,-0.743438611,0.002923494,0.646554574,2.690121468,16.84348074,5.388686444
405,-0.621888912,-0.672642751,0.027787117,0.664344775,2.714657058,16.89808403,5.41105787
409.4,-0.555670509,-0.601346758,0.05048114,0.680809794,2.735434188,16.9473026,5.430016041
413.9,-0.493286793,-0.536640217,0.073035253,0.692564544,2.75353578,16.89950892,5.450595167
418.5,-0.433483212,-0.478683124,0.087801649,0.709489004,2.769462185,17.07630367,5.46400683
423,-0.383121216,-0.429478113,0.096246652,0.715943685,2.770644192,17.07956818,5.453128063
427.8,-0.340110226,-0.387446725,0.099402297,0.717005135,2.768645076,17.09056206,5.448102757
432.5,-0.295725124,-0.346815101,0.104277354,0.725085027,2.769855971,17.14491514,5.440500195
436.8,-0.263756166,-0.315027782,0.102776066,0.722959581,2.761466439,17.19313974,5.43163415
441.4,-0.230246082,-0.277906673,0.108835531,0.721944682,2.758130631,17.24490601,5.416890826
446.2,-0.201220641,-0.251703928,0.106967278,0.722206966,2.749630671,17.21374179,5.405935926
450.9,-0.177917793,-0.228952145,0.104513081,0.719966552,2.737691438,17.29314331,5.392851838
455.7,-0.16041992,-0.201150521,0.109434917,0.708981646,2.722075612,17.31716926,5.366814218
460.4,-0.131669126,-0.178190979,0.112445463,0.719776346,2.717241731,17.42661809,5.359741632
465.2,-0.116457496,-0.157924431,0.113554032,0.715954437,2.701716065,17.44191946,5.338778106
470.1,-0.094928698,-0.140363978,0.113854154,0.721848113,2.693823048,17.52076023,5.32617771
475,-0.083783682,-0.127793879,0.110465759,0.71677371,2.676890748,17.54616525,5.307687359
479.9,-0.071284934,-0.112574602,0.110721358,0.712689022,2.662945326,17.58492772,5.285150732
484.5,-0.056725234,-0.099411945,0.109884662,0.713156709,2.651514238,17.62851966,5.27267993
489,-0.044027756,-0.082170079,0.113746909,0.713396431,2.639060066,17.65898991,5.259179636
493.5,-0.031085026,-0.076185231,0.106589555,0.714124931,2.626869807,17.7197355,5.241526535
498.2,-0.02670406,-0.065732025,0.105055556,0.704624306,2.605430223,17.73616562,5.21859862
503.1,-0.016353474,-0.057135177,0.101734185,0.702383172,2.5925341,17.81529448,5.199191833
507.6,-0.00651015,-0.042115166,0.105618305,0.700290161,2.577555786,17.80340138,5.184523384
512.6,0.00389226,-0.036374586,0.101100392,0.702105114,2.563618218,17.87915744,5.166135711
518,0.009843591,-0.026764314,0.1009581,0.696258507,2.546911227,17.92253918,5.144936667
522.3,0.019285423,-0.021215416,0.097538224,0.697239492,2.533217084,17.93046459,5.128306422
527.2,0.018805872,-0.019068298,0.090878857,0.686635873,2.510454877,17.98484859,5.102624798
