awavelength,cwavelength,ats1,cts1,bts1,asv,a_spec,aflat,ats2,cts2,bts2,asv,a_spec,aflat,ats3,cts3,bts3,asv,a_spec,aflat
570,573.5,0.076304971,0.592106658,0.515801688,0.069286949,0.076574971,0.127003908,0.153438608,0.049387404,-0.104051204,0.151703592,0.153708608,0.051050682,0.727807546,2.300593318,1.572785772,0.717739884,0.728077546,0.214021922
574.2,578,0.070648634,0.589485806,0.518837171,0.065872173,0.070578634,0.121347572,0.151391737,0.044683342,-0.106708396,0.149663269,0.151451737,0.049003812,0.718124824,2.284949468,1.566824644,0.709948303,0.718054824,0.2043392
579,582.4,0.065043156,0.581560676,0.51651752,0.06071165,0.064803156,0.115742094,0.147873367,0.040388054,-0.107485312,0.145154626,0.147828367,0.045485441,0.709374998,2.269319935,1.559944938,0.702613769,0.709134998,0.195589374
583.2,586.4,0.059625204,0.577241532,0.517616328,0.055290843,0.058875204,0.110324142,0.144890928,0.036604545,-0.108286383,0.142504977,0.144530928,0.042503002,0.70081116,2.253433359,1.552622199,0.69396009,0.70006116,0.187025536
587.8,591.3,0.053578512,0.57422488,0.520646369,0.049259446,0.052182512,0.104277449,0.141418652,0.032170385,-0.109248267,0.138938455,0.140659652,0.039030727,0.691613629,2.238455911,1.546842281,0.685043965,0.690217629,0.177828005
592.2,595.7,0.04805211,0.568827879,0.520775769,0.043656109,0.04624811,0.098751048,0.13914627,0.02800509,-0.111141181,0.137338694,0.13813527,0.036758345,0.681522627,2.223772157,1.542249531,0.673495693,0.679718627,0.167737003
596.7,600.4,0.044677541,0.567631311,0.52295377,0.042020965,0.042108541,0.095376479,0.136968616,0.025583326,-0.11138529,0.135254293,0.135485116,0.034580691,0.674429787,2.209553579,1.535123792,0.668846062,0.671860787,0.160644163
601.4,605.3,0.044611459,0.566285015,0.521673555,0.044558863,0.041022459,0.095310397,0.13567231,0.023097929,-0.112574381,0.134640555,0.13338331,0.033284384,0.671549239,2.195059978,1.523510739,0.669256558,0.667960239,0.157763615
606.1,609.8,0.048025623,0.563111417,0.515085794,0.050832825,0.043815623,0.098724561,0.134870585,0.021843207,-0.113027378,0.134211389,0.131960585,0.032482659,0.672272658,2.181185662,1.508913005,0.672867469,0.668062658,0.158487034
610.5,614.7,0.050031838,0.561305428,0.51127359,0.05175145,0.045824338,0.100730776,0.133691468,0.020004236,-0.113687232,0.132680796,0.130653968,0.031303542,0.673217595,2.167229271,1.494011676,0.674027542,0.669010095,0.159431971
615.4,619.4,0.050584531,0.555629106,0.505044576,0.051054907,0.046563531,0.101283468,0.13294127,0.017653377,-0.115287893,0.132302804,0.12986927,0.030553345,0.672517108,2.153147363,1.480630255,0.671920949,0.668496108,0.158731484
619.9,624,0.049798856,0.550513088,0.500714231,0.049098581,0.046138856,0.100497794,0.132361416,0.015382275,-0.116979142,0.13184459,0.129481416,0.029973491,0.671236514,2.139001282,1.467764768,0.670095115,0.667576514,0.15745089
624.7,628.7,0.046798301,0.551161546,0.504363246,0.044244636,0.043937301,0.097497238,0.130433914,0.013326785,-0.117107129,0.128793486,0.128047414,0.028045988,0.667689058,2.124648433,1.456959375,0.664669945,0.664828058,0.153903434
629,633.4,0.045362278,0.547839203,0.502476924,0.044017917,0.043027278,0.096061216,0.129496148,0.010379866,-0.119116282,0.12861824,0.127486148,0.027108222,0.664270169,2.110709301,1.446439132,0.661069507,0.661935169,0.150484545
633.7,638,0.042089777,0.538842978,0.496753201,0.0390307,0.040399777,0.092788715,0.128401018,0.007812172,-0.120588846,0.12737731,0.126841018,0.026013093,0.660780662,2.096831229,1.436050567,0.657518733,0.659090662,0.146995039
638.8,642.8,0.040724175,0.54201826,0.501294085,0.039586174,0.039644175,0.091423113,0.128442427,0.005753025,-0.122689403,0.128476935,0.127362427,0.026054502,0.658007427,2.083575565,1.425568138,0.655696397,0.656927427,0.144221803
643.5,647.1,0.037403703,0.536840236,0.499436533,0.034623773,0.036323703,0.088102641,0.125614012,0.003769594,-0.121844418,0.123246037,0.124534012,0.023226086,0.653047117,2.071245092,1.418197975,0.6488943,0.651967117,0.139261494
648.1,651.6,0.033078692,0.532544969,0.499466276,0.029714795,0.032268692,0.08377763,0.125523302,0.001003213,-0.124520089,0.125452749,0.124713302,0.023135376,0.648984547,2.0586437,1.409659152,0.645824771,0.648174547,0.135198924
652.7,656.2,0.030632908,0.532230104,0.501597196,0.028771986,0.029973908,0.081331846,0.123604791,-0.001130665,-0.124735455,0.122145054,0.122991291,0.021216865,0.646221034,2.04456695,1.398345916,0.64411836,0.645562034,0.13243541
657.5,661.1,0.028659973,0.529908097,0.501248124,0.027210469,0.027779973,0.079358911,0.123459734,-0.003281753,-0.126741487,0.123353162,0.122709734,0.021071808,0.645909176,2.032409586,1.38650041,0.645680056,0.645029176,0.132123552
661.9,665,0.028658831,0.528239383,0.499580552,0.028657923,0.027438831,0.079357769,0.121331374,-0.004533757,-0.125865131,0.1196396,0.120371374,0.018943448,0.65020851,2.019840642,1.369632132,0.653625929,0.64898851,0.136422886
666.2,669.8,0.02919198,0.518180683,0.488988703,0.029591842,0.02833898,0.079890918,0.121768155,-0.006810523,-0.128578678,0.122095741,0.121045155,0.019380229,0.65566748,2.011342765,1.355675285,0.659761708,0.65481448,0.141881856
670.6,673.9,0.028336334,0.521124688,0.492788354,0.027647643,0.027828334,0.079035272,0.120509605,-0.008014087,-0.128523692,0.119496626,0.120092605,0.018121679,0.660477568,2.001840299,1.341362731,0.664349101,0.659969568,0.146691944
674.7,678.6,0.026311579,0.514582269,0.48827069,0.024631464,0.026336079,0.077010517,0.117191342,-0.009166734,-0.126358076,0.114437889,0.117170342,0.014803416,0.659505202,1.995294806,1.335789603,0.658698346,0.659529702,0.145719579
679.4,682.5,0.021283747,0.512066418,0.490782671,0.017287265,0.021353747,0.071982685,0.117532905,-0.011426055,-0.12895896,0.117804404,0.117472905,0.015144979,0.653602902,1.986446036,1.332843134,0.648911331,0.653672902,0.139817279
683.7,686.8,0.018394961,0.512745525,0.494350563,0.016312348,0.018464961,0.069093899,0.116973106,-0.015109872,-0.132082978,0.116569531,0.116913106,0.014585181,0.642216932,1.97644834,1.334231409,0.634008441,0.642286932,0.128431308
