wl_a,acs17_g1a_diw_aside_242_1,acs17_g1a_diw_aside_248_2,acs17_g1a_DREfil_aside_208_1,acs17_g1a_DREfil_aside_227_2,acs17_g1a_DREtot_aside_208_1
399.8,-0.170967668,-0.171138114,0.621373884,0.621373884,1.527657532
403.5,-0.15023211,-0.15261989,0.600671972,0.600671972,1.45430303
408.4,-0.12932184,-0.132809743,0.576468864,0.576468864,1.386355006
412.5,-0.109674864,-0.110462435,0.553608198,0.553608198,1.331146071
416.9,-0.092521161,-0.096695623,0.529225635,0.529225635,1.284827196
421.5,-0.080687098,-0.087240644,0.506283491,0.506283491,1.255118726
426.3,-0.072556278,-0.077541855,0.476717257,0.476717257,1.22335064
431.1,-0.059522728,-0.065932733,0.450161918,0.450161918,1.195971716
435.6,-0.050034765,-0.055710677,0.428493842,0.428493842,1.166989541
440,-0.042741225,-0.048459116,0.409573088,0.409573088,1.141520587
444.6,-0.035975403,-0.041236288,0.388891788,0.388891788,1.115563788
449.3,-0.028850472,-0.032983798,0.373039092,0.373039092,1.0910863
453.8,-0.023194246,-0.027281803,0.359391845,0.359391845,1.067577934
458.7,-0.017974725,-0.021956725,0.344775004,0.344775004,1.046176298
463.4,-0.011666515,-0.015297078,0.333173686,0.333173686,1.028610683
468,-0.007275696,-0.010285663,0.32306441,0.32306441,1.011624642
473.1,-0.001899578,-0.005407537,0.313556058,0.313556058,0.99570756
477.6,0.000507545,-0.002245276,0.304213362,0.304213362,0.979894055
482.2,0.004122382,0.001064367,0.294152807,0.294152807,0.963674856
486.9,0.007065383,0.004104164,0.286460798,0.286460798,0.949143222
491.6,0.010306788,0.007583935,0.277955552,0.277955552,0.934682386
496.1,0.013328916,0.010572941,0.271295496,0.271295496,0.920879561
500.8,0.015321511,0.012568139,0.263641862,0.263641862,0.906509396
505.4,0.017403018,0.014919358,0.255996371,0.255996371,0.892557212
510.2,0.018895176,0.016392779,0.249051059,0.249051059,0.879083209
515.1,0.020586269,0.018346062,0.242343433,0.242343433,0.867612566
520.3,0.021943608,0.019705278,0.235769359,0.235769359,0.85594625
524.6,0.024011992,0.021918515,0.230824803,0.230824803,0.84528511
529.4,0.024737781,0.022861464,0.224609412,0.224609412,0.835550462
