wl_a,acs17_g1a_diw_aside_242_1,acs17_g1a_diw_aside_248_2,acs17_g1a_DREfil_aside_208_1,acs17_g1a_DREfil_aside_227_2,acs17_g1a_DREtot_aside_208_1
534.1,0.025388047,0.023489661,0.218068762,0.218068762,0.823933431
538.9,0.027478714,0.025502843,0.214399017,0.214399017,0.815391722
543.5,0.028943622,0.027201579,0.210443483,0.210443483,0.807444733
548.1,0.030424992,0.028751742,0.206538953,0.206538953,0.799112241
552.9,0.03201872,0.03043465,0.203811177,0.203811177,0.791242457
557.7,0.033063393,0.031412686,0.200721045,0.200721045,0.783798527
561.8,0.034633369,0.032834829,0.197608226,0.197608226,0.776428955
565.9,0.034086594,0.032348386,0.187968156,0.187968156,0.774550629
570,0.03473954,0.032877318,0.186585925,0.186585925,0.762817085
574.2,0.035662826,0.033698374,0.185150111,0.185150111,0.753717649
579,0.03577351,0.033950964,0.18177933,0.18177933,0.744908507
583.2,0.036669751,0.035007471,0.179538399,0.179538399,0.736730911
587.8,0.03800269,0.036366025,0.177025677,0.177025677,0.728220319
592.2,0.039405682,0.038004222,0.176139493,0.176139493,0.719124309
596.7,0.040149592,0.039016671,0.174501787,0.174501787,0.712010379
601.4,0.039853778,0.038911084,0.172294394,0.172294394,0.707814016
606.1,0.038498114,0.037531958,0.169492543,0.169492543,0.706560772
610.5,0.037665944,0.036647015,0.167300983,0.167300983,0.706676039
615.4,0.037474831,0.03616368,0.16603295,0.16603295,0.70597094
619.9,0.036770042,0.035293729,0.164775146,0.164775146,0.704346556
624.7,0.036974156,0.035433694,0.163481108,0.163481108,0.701802213
629,0.036436236,0.03470217,0.162188318,0.162188318,0.698371405
633.7,0.037249906,0.035383185,0.162224204,0.162224204,0.696340568
638.8,0.03668019,0.034762888,0.162125315,0.162125315,0.693607617
643.5,0.035968337,0.034115067,0.158649079,0.158649079,0.687935454
648.1,0.037788715,0.036009065,0.160722367,0.160722367,0.685963263
652.7,0.037758587,0.036338313,0.159329604,0.159329604,0.683320621
657.5,0.037800571,0.036605935,0.159315669,0.159315669,0.682829747
661.9,0.037298963,0.036287461,0.156658835,0.156658835,0.686287473
666.2,0.037205998,0.036342471,0.157387626,0.157387626,0.692020478
670.6,0.036918962,0.036269475,0.15636208,0.15636208,0.69688853
674.7,0.036118262,0.035610378,0.152780719,0.152780719,0.695647965
679.4,0.0381155,0.037652632,0.155125537,0.155125537,0.691788402
683.7,0.038806881,0.038495869,0.155408976,0.155408976,0.681093813
687.6,0.038728494,0.038697076,0.153972134,0.153972134,0.665140349
691.8,0.040268987,0.040472554,0.154547468,0.154547468,0.650978523
696,0.041837281,0.04218462,0.153370173,0.153370173,0.63521059
699.9,0.043676951,0.044362553,0.153259456,0.153259456,0.62009919
703.4,0.045279615,0.046245014,0.152767933,0.152767933,0.605647806
707.3,0.047525571,0.049078259,0.154979452,0.154979452,0.593319883
710.8,0.053248961,0.055436122,0.158244511,0.158244511,0.578048446
714.2,0.060741573,0.063821833,0.163509759,0.163509759,0.566796196
717.7,0.065514564,0.069647776,0.164085003,0.164085003,0.553728565
720.9,0.075028751,0.080346679,0.169483668,0.169483668,0.537136794
724.1,0.08013632,0.086641397,0.168696902,0.168696902,0.526399959
727.5,0.082877153,0.09086085,0.170135222,0.170135222,0.51518867
730.4,0.092789721,0.102066331,0.175014214,0.175014214,0.50959347
733.5,0.097125156,0.107760703,0.176324134,0.176324134,0.517318291
736.5,0.09293282,0.104209569,0.172373808,0.172373808,0.525415305
739.2,0.085992191,0.097698975,0.165871032,0.165871032,0.536465108
742.1,0.079932593,0.091640254,0.162274411,0.162274411,0.550216814
744.8,0.071681647,0.082917897,0.159841817,0.159841817,0.560593559
747.3,0.065784309,0.07654997,0.157500978,0.157500978,0.568791236
749.8,0.061734785,0.071271615,0.157540472,0.157540472,0.576133284
