date,turb_NTU
7/17/17 0:00,5.63
7/17/17 1:00,4.79
7/17/17 2:00,4.72
7/17/17 3:00,4.48
7/17/17 4:00,3.76
7/17/17 5:00,4.93
7/17/17 6:00,3.87
7/17/17 7:00,3.46
7/17/17 8:00,3.44
7/17/17 9:00,4.28
7/17/17 10:00,4.65
7/17/17 11:00,6.2
7/17/17 12:00,7.25
7/17/17 13:00,5.33
7/17/17 14:00,4.62
7/17/17 15:00,4.39
7/17/17 16:00,4.14
7/17/17 17:00,3.87
7/17/17 18:00,4
7/17/17 19:00,3.69
7/17/17 20:00,3.37
7/17/17 21:00,3.46
7/17/17 22:00,4.36
