wave,Ccdom_2,Ccdom_3,Ccdom_bleach,cdom_2_bleach,cdom_2_bleach2,cdom_2,cdom,chaet_bleach,chaet,chaet_2,MQ_blank_2,MQ_blank_3,MQ_bleach,MQ_frosted,MQ_zero
850,-0.013645059,-0.001893618,-0.010567804,-0.013466515,-0.007762478,-0.004591525,-0.002381182,-0.004689768,-0.031496223,-0.005737762,-0.004959899,-0.011844219,-0.020649234,-0.029636489,0.000821984
849,-0.008021811,0.004337792,-0.007352955,-0.006520355,-0.00659741,0.001414744,-0.001648754,0.00337562,-0.029250043,-0.002050652,-0.004959438,-0.007863718,-0.019145403,-0.025369868,0.002888675
848,-0.016475271,-0.004131053,-0.010145848,-0.013698085,-0.007899459,-0.006760195,-0.00467343,-0.005161057,-0.031573016,-0.008074767,-0.001913257,-0.018706957,-0.020480411,-0.02404052,-0.002008758
847,-0.009142618,0.002927061,-0.003394843,-0.010694711,-0.004670972,0.00022177,-0.001340685,-0.000305244,-0.0277385,-0.003871695,-0.001594802,-0.011332721,-0.020727228,-0.02315698,0.002577463
846,-0.015159924,0.001037635,-0.009335616,-0.012252701,-0.011883714,-0.00292297,-0.004930723,-0.004871291,-0.02995717,-0.005258506,-0.004107566,-0.01385813,-0.018947398,-0.022313543,-0.003230946
845,-0.015286095,0.000769702,-0.011070665,-0.011627282,-0.009681408,-0.002032153,-0.003485551,-0.006421148,-0.032785263,-0.01111886,-0.003797029,-0.017169403,-0.022758679,-0.027960207,-0.0035652
844,-0.014507637,-0.001104185,-0.00930435,-0.013025863,-0.008612701,-0.004439814,-0.008966574,-0.004068844,-0.033912696,-0.007750222,-0.006693212,-0.012303282,-0.022077665,-0.02785806,-0.001379806
843,-0.009362875,0.004490667,-0.002203251,-0.005712215,-0.008133509,0.001684323,0.003284113,-0.000761932,-0.028965116,-0.004018424,-0.001803195,-0.008622648,-0.015530085,-0.022674564,0.002801934
842,-0.015197469,0.000828079,-0.011246109,-0.017527165,-0.009936309,-0.004668923,-0.006384265,-0.006104656,-0.031272314,-0.007738779,-0.004869908,-0.012827913,-0.020457348,-0.028204849,-0.000558312
841,-0.008285815,0.005654581,-0.007427623,-0.006555034,-0.00330052,0.001720471,0.00020478,0.001148161,-0.026858274,8.31E-05,-0.000159325,-0.004613399,-0.016411914,-0.022554601,0.005349479
