wave,Ccdom_2,Ccdom_3,Ccdom_bleach,cdom_2_bleach,cdom_2_bleach2,cdom_2,cdom,chaet_bleach,chaet,chaet_2,MQ_blank_2,MQ_blank_3,MQ_bleach,MQ_frosted,MQ_zero
840,-0.013395588,8.21E-05,-0.011368379,-0.01228773,-0.008293433,-0.005211242,-0.005128722,-0.003901455,-0.030863164,-0.005218404,-0.00503457,-0.014342972,-0.020192785,-0.024245372,-0.001566276
839,-0.012948383,0.004215159,-0.011240106,-0.01244236,-0.006391917,-0.002382572,-0.000580752,-0.006853566,-0.030608485,-0.005396893,-0.001866658,-0.012298954,-0.020185322,-0.02687813,-0.001919906
838,-0.014731597,0.001350835,-0.010851423,-0.010980367,-0.008024911,-0.002140765,-0.003909511,-0.003239219,-0.031865425,-0.005104623,-0.004416445,-0.012239162,-0.020619316,-0.028138423,-0.002447134
837,-0.018576866,-0.004014371,-0.012357228,-0.014275646,-0.011067031,-0.004059868,-0.007818059,-0.009223517,-0.036460485,-0.006020365,-0.011539772,-0.017438499,-0.023860369,-0.029636923,-0.005459577
836,-0.015004608,-0.001345537,-0.009882871,-0.012463892,-0.005833448,-0.001533879,-0.00260649,-0.005684572,-0.033005703,-0.005439638,-0.008752712,-0.012398236,-0.023624448,-0.028263016,-0.001742199
835,-0.011088934,0.002719092,-0.006419974,-0.009889096,-0.007648396,-0.001382851,-0.00633202,-0.002670916,-0.033103101,-0.002468344,-0.003414568,-0.013140852,-0.020770464,-0.027120706,-0.000113676
834,-0.010319847,0.005899751,-0.005417448,-0.005920686,-0.004379955,0.001363455,0.001413653,-0.001220825,-0.028510055,-6.99E-05,-0.001017988,-0.007364764,-0.0156551,-0.021509407,0.003089843
833,-0.017834403,0.000620904,-0.009717558,-0.010907721,-0.005523428,-0.002916902,-0.002624707,-0.003202887,-0.030963162,-0.004163975,-0.004221146,-0.011906886,-0.020605836,-0.026727729,-0.002623112
832,-0.012901546,0.000189423,-0.011067132,-0.011624006,-0.008528641,-0.003685956,-0.002719229,-0.004830947,-0.032359757,-0.007426401,-0.006420434,-0.014254604,-0.020872615,-0.027599426,-0.002046272
831,-0.015662391,-0.000565654,-0.008604325,-0.01435279,-0.008107747,-0.005138699,-0.003417342,-0.006715847,-0.031344138,-0.004217301,-0.006030679,-0.013771369,-0.019790221,-0.029214419,-0.00174916
830,-0.01350511,0.001937011,-0.008777726,-0.012106564,-0.006975601,0.000166013,-0.003296307,-0.004697553,-0.029092666,-0.002048488,-0.005392854,-0.012743108,-0.020773474,-0.027153874,0.002655668
829,-0.015398239,-0.000141573,-0.011009189,-0.012462836,-0.010322324,-0.004451293,-0.001871968,-0.005603471,-0.03193691,-0.004920383,-0.004038069,-0.015080173,-0.021074923,-0.028673556,-0.002990382
828,-0.014781539,-0.001303007,-0.012440197,-0.014012703,-0.009395656,-0.005335837,-0.00354425,-0.005777051,-0.032783438,-0.005933607,-0.005551951,-0.015245458,-0.021566065,-0.026551709,-0.000547609
827,-0.017497579,0.000568051,-0.012626405,-0.014097562,-0.008732466,-0.006529535,-0.004035505,-0.007076669,-0.033154763,-0.004326393,-0.00833884,-0.015165973,-0.022819448,-0.028806472,-0.002027618
826,-0.016119633,-0.001814589,-0.011207061,-0.010542034,-0.009338504,-0.005477522,-0.006045587,-0.004854242,-0.029968331,-0.00588473,-0.006864421,-0.015018262,-0.022274984,-0.027649367,-0.002233023
825,-0.012394463,0.000547004,-0.008230954,-0.009540025,-0.006090923,-0.003195538,-0.000692518,-0.002966936,-0.028460795,-0.002467211,-0.004949969,-0.013311747,-0.019452238,-0.025277415,0.001367922
824,-0.013370839,0.004020915,-0.005918081,-0.009148042,-0.004567396,-0.000185097,-0.000305088,-0.000996294,-0.027623912,0.000902701,-0.003112686,-0.011713113,-0.020655701,-0.025509413,-0.000227168
823,-0.014144369,0.000859306,-0.010471084,-0.011035486,-0.00683578,-0.003091713,-0.004221864,-0.00529032,-0.032360621,-0.004484958,-0.007092713,-0.012485473,-0.019250909,-0.027356971,-0.002000152
822,-0.013623634,0.001276681,-0.010216548,-0.012470029,-0.007740966,-0.005086356,-0.003286699,-0.003532644,-0.032295693,-0.003721683,-0.005073717,-0.011057896,-0.021071816,-0.029737204,-0.000597399
821,-0.015210766,0.001092129,-0.00873886,-0.010910699,-0.006896728,-0.002292561,-0.00174849,-0.005066912,-0.029133238,-0.003037632,-0.003864922,-0.014117158,-0.018333042,-0.026209299,-0.001176166
820,-0.013921711,0.002294994,-0.009988476,-0.012320442,-0.008752611,-0.003862869,-0.004272107,-0.004700728,-0.030992568,-0.005244236,-0.005074843,-0.012418714,-0.023768673,-0.027719753,-0.003063337
819,-0.012212132,0.002944626,-0.008063129,-0.011542545,-0.006219195,-0.001152259,-0.001753337,-0.002764245,-0.032036275,-0.003439275,-0.002844849,-0.010967797,-0.018071553,-0.025394237,0.000773721
818,-0.012735969,-8.71E-05,-0.009880341,-0.011691442,-0.007858278,-0.003371521,-0.002887948,-0.004241141,-0.032153457,-0.004514575,-0.002274844,-0.013516201,-0.019747185,-0.027949722,0.000341104
817,-0.013833909,0.000785054,-0.009577654,-0.012244447,-0.008972762,-0.003824844,-0.003475382,-0.005183464,-0.031503491,-0.004377341,-0.006044311,-0.013346942,-0.020112766,-0.029505519,-0.002381285
816,-0.012753264,0.002925992,-0.010189139,-0.011638875,-0.005057087,0.000378877,-0.000895301,-0.003751607,-0.029866315,-0.002280046,-0.002364808,-0.011328989,-0.017470626,-0.026976177,0.002119894
815,-0.016059816,0.000946645,-0.010505197,-0.011019436,-0.007855481,-0.003732205,-0.004838679,-0.006791032,-0.033767872,-0.004622209,-0.005437132,-0.013198059,-0.020406868,-0.029268289,-0.002155138
814,-0.017207073,-0.00134404,-0.012393104,-0.013170034,-0.008871425,-0.004548748,-0.004786248,-0.005357877,-0.034023575,-0.006218021,-0.005430128,-0.014860445,-0.021374928,-0.030524861,-0.000616683
813,-0.01518947,0.000848361,-0.009964695,-0.010303971,-0.009190267,-0.003837058,-0.00547062,-0.005287353,-0.031796191,-0.005549906,-0.005090552,-0.013632415,-0.019127321,-0.027790029,-0.00188836
812,-0.013063091,0.001440455,-0.009260464,-0.010820317,-0.00805261,-0.00310955,-0.002978145,-0.00454552,-0.030173112,-0.003669631,-0.006226646,-0.010418016,-0.020033821,-0.026218023,-0.000228099
811,-0.012372776,0.001786306,-0.008504223,-0.012706457,-0.006213836,-0.003068323,-0.002560326,-0.005031448,-0.030522931,-0.004710407,-0.005318909,-0.010847938,-0.020181961,-0.024678949,-0.000600812
810,-0.016375372,0.000688932,-0.009852455,-0.011674508,-0.007581754,-0.004225299,-0.003388987,-0.004925963,-0.030798061,-0.005648955,-0.004787784,-0.01549122,-0.019766279,-0.02793045,0.000336829
809,-0.013001093,0.003156406,-0.009323251,-0.011532008,-0.006196484,-0.002771344,-0.003093101,-0.002596403,-0.030650171,-0.004032684,-0.005746397,-0.012603472,-0.017150989,-0.024892984,0.000102572
808,-0.012125897,0.003040963,-0.007794159,-0.009750565,-0.005600711,-0.000510999,-0.001932328,-0.00386133,-0.027831791,-0.003187212,-0.003265632,-0.01073123,-0.018702198,-0.025167745,0.001594782
807,-0.016806513,0.001971543,-0.010555728,-0.012446033,-0.008262449,-0.003232487,-0.005084565,-0.005899133,-0.031978276,-0.004793109,-0.007767106,-0.013128295,-0.022114616,-0.029267805,-0.00296601
806,-0.01574643,-0.000916638,-0.010896865,-0.013791782,-0.01037323,-0.003970614,-0.006451091,-0.004848253,-0.033531137,-0.005363246,-0.006373449,-0.0131187,-0.020842811,-0.028770618,-0.001949027
805,-0.012799814,0.001591768,-0.00908244,-0.011605104,-0.007148736,-0.00291973,-0.003063491,-0.002777928,-0.028202228,-0.005396433,-0.00337147,-0.011946577,-0.020113803,-0.027459579,0.000228737
804,-0.014953491,0.0003181,-0.011331864,-0.012965669,-0.00674893,-0.004919666,-0.00226439,-0.004452369,-0.030996328,-0.002998712,-0.00561589,-0.012767692,-0.018888267,-0.028419724,-0.001621263
803,-0.016119484,1.73E-05,-0.010160616,-0.012468822,-0.007895494,-0.003065599,-0.002107793,-0.005530789,-0.031442676,-0.005077402,-0.004118797,-0.012455541,-0.019102896,-0.02650919,0.000535833
802,-0.015151624,0.001832601,-0.008655586,-0.012400752,-0.007305511,-0.003067861,-0.00182753,-0.004343565,-0.03094383,-0.006439053,-0.004929751,-0.012690618,-0.02070309,-0.029112225,-0.000930896
801,-0.013931639,0.003120007,-0.009170245,-0.012021013,-0.007020738,-0.000430426,-0.003614954,-0.004420955,-0.030343277,-0.003889192,-0.00521958,-0.009876394,-0.017504092,-0.026879638,0.001078271
800,-0.013143263,0.00183689,-0.010072151,-0.010723653,-0.006977894,-0.00190269,-0.003415288,-0.00339135,-0.031919207,-0.004924274,-0.005491938,-0.013888016,-0.019653674,-0.027495345,6.65E-05
799,-0.013718301,0.002344701,-0.008449187,-0.010795825,-0.007406145,-0.00248075,-0.002406514,-0.002973312,-0.030093897,-0.004303377,-0.003882111,-0.013397345,-0.019101013,-0.026058763,0.000670679
798,-0.015261604,-0.000653801,-0.007470117,-0.012026552,-0.007073918,-0.003747501,-0.002342615,-0.005971958,-0.030969042,-0.003831259,-0.006821154,-0.012188574,-0.020344378,-0.027398191,0.000871393
797,-0.013261033,0.003554386,-0.008358646,-0.010182716,-0.005829361,-0.001922483,-0.001887484,-0.004460978,-0.031747974,-0.004829923,-0.003249188,-0.012402262,-0.019994169,-0.02652424,0.001162696
796,-0.014364911,0.002260359,-0.012190084,-0.01278584,-0.007441568,-0.003862151,-0.003724917,-0.006980951,-0.032827843,-0.005521229,-0.005966187,-0.013227739,-0.022233274,-0.028953541,-0.000229289
795,-0.015620791,0.000872845,-0.009038634,-0.009280077,-0.006874052,-0.003294663,-0.003191375,-0.005232471,-0.030975213,-0.005976145,-0.004491671,-0.013948333,-0.020642964,-0.028131146,-0.000191462
794,-0.015234461,0.00110866,-0.009709862,-0.013944073,-0.007452814,-0.003745807,-0.00292117,-0.003982054,-0.031684592,-0.007392301,-0.006046149,-0.014194179,-0.020423958,-0.02810397,-0.000992317
793,-0.014435579,0.002383039,-0.009958876,-0.011585193,-0.007587706,-0.003918284,-0.002633404,-0.005472972,-0.032151196,-0.006373245,-0.006446041,-0.012882448,-0.020234494,-0.028532356,-0.000488452
792,-0.01356001,0.003691843,-0.00759437,-0.010706379,-0.005002584,-0.00112892,-0.001106664,-0.002303375,-0.030128241,-0.004297943,-0.004359761,-0.011709232,-0.020237803,-0.026112929,0.000542261
791,-0.014028193,0.003024462,-0.007954108,-0.011067838,-0.006040022,-0.002075849,-0.001575149,-0.004765305,-0.03176453,-0.005181521,-0.003802879,-0.010496909,-0.019563312,-0.025510928,0.000106845
790,-0.016154751,-0.000241915,-0.012424449,-0.013209158,-0.0073809,-0.004287076,-0.002825046,-0.007106566,-0.03421789,-0.007642546,-0.006818503,-0.014202497,-0.021609956,-0.027939381,-0.001239359
789,-0.013505059,0.003530297,-0.009452802,-0.0109472,-0.007106974,-0.001101913,-0.002435087,-0.002652804,-0.032589108,-0.004638703,-0.003936908,-0.012472545,-0.019606566,-0.027044483,0.001498377
788,-0.014079719,0.003360098,-0.008519859,-0.010555273,-0.006570383,-0.000803998,-0.000981986,-0.003482983,-0.031977553,-0.006084439,-0.003044058,-0.011482598,-0.019038633,-0.025822764,0.000708455
787,-0.014460468,0.00197898,-0.00946653,-0.011965665,-0.007688427,-0.003446723,-0.001787109,-0.005375519,-0.033229154,-0.005546788,-0.004892331,-0.012101982,-0.01943823,-0.025967237,-0.001827736
786,-0.014497172,0.000894478,-0.011450882,-0.011444932,-0.007879937,-0.002984315,-0.003784814,-0.004693763,-0.032323904,-0.005860265,-0.006207763,-0.012962101,-0.018850097,-0.028972961,-0.000898039
785,-0.01255514,0.00159021,-0.008989497,-0.011637363,-0.007576564,-0.002497943,-0.002433388,-0.003854967,-0.032254744,-0.006670321,-0.004121566,-0.011988833,-0.018878652,-0.027797507,0.000336156
784,-0.013312953,0.001157323,-0.00976246,-0.011224264,-0.006582979,-0.002120467,-0.002935775,-0.006234301,-0.033674218,-0.008130054,-0.004252471,-0.012314806,-0.020648345,-0.028397562,-0.000180698
783,-0.014971598,0.001802474,-0.009608393,-0.012818011,-0.007406501,-0.002924358,-0.003587742,-0.006005915,-0.032783583,-0.00642579,-0.004167821,-0.01284812,-0.020228414,-0.027084176,-0.000119421
782,-0.011822051,0.00310572,-0.008754132,-0.010212755,-0.00634549,-0.001838253,-0.002856679,-0.003256742,-0.031482644,-0.004089975,-0.004140489,-0.011802503,-0.018781137,-0.02556975,0.00059379
781,-0.013674056,0.001775805,-0.009256816,-0.012576818,-0.007710145,-0.003610847,-0.002650385,-0.005115829,-0.033136632,-0.005895456,-0.005021827,-0.01385813,-0.021417262,-0.028230125,-0.00030007
780,-0.013465962,0.00289175,-0.008578997,-0.009376404,-0.006981409,-0.002473595,-0.000790097,-0.00347266,-0.032279786,-0.005761264,-0.004576617,-0.011387696,-0.018908244,-0.026085433,0.000235315
779,-0.015363409,0.001188522,-0.010328137,-0.012586323,-0.00789341,-0.004062125,-0.002723756,-0.005480845,-0.034178413,-0.00598983,-0.00521513,-0.013610439,-0.020455323,-0.026837006,-0.00045613
778,-0.014848287,0.001489753,-0.008487317,-0.012758342,-0.008432887,-0.000890599,-0.002938757,-0.004615755,-0.031762749,-0.005319063,-0.005013844,-0.012795692,-0.02022876,-0.028340431,-0.001668507
777,-0.015112975,0.001465389,-0.009646573,-0.012476267,-0.007634814,-0.003186441,-0.003801032,-0.005739499,-0.033623338,-0.006960776,-0.006427933,-0.013509476,-0.019286022,-0.027882628,-0.000542955
776,-0.012625902,0.003332316,-0.008277637,-0.009744895,-0.005549599,-0.000782966,-0.001230686,-0.002461549,-0.031686421,-0.0053252,-0.004233297,-0.011099078,-0.017200006,-0.024226327,0.001527262
775,-0.012659493,0.00150978,-0.008022268,-0.010310089,-0.007957768,-0.002157354,-0.001664587,-0.00457882,-0.033340164,-0.007290391,-0.005528284,-0.012060996,-0.018786591,-0.026527504,-0.000504018
774,-0.013995809,0.000804193,-0.009460603,-0.011183498,-0.00807624,-0.001310181,-0.002709042,-0.003963637,-0.032352258,-0.005500424,-0.004646437,-0.01231999,-0.019307217,-0.026001226,-0.000786118
773,-0.014702019,0.001214947,-0.008831705,-0.011678289,-0.007785159,-0.002910011,-0.003262343,-0.006149321,-0.033981927,-0.006227871,-0.006491539,-0.013465009,-0.019838547,-0.026738536,-0.000632916
772,-0.011665235,0.001798445,-0.008677459,-0.010803754,-0.006604702,-0.001388321,-0.002022105,-0.00543069,-0.031443205,-0.006373245,-0.003510459,-0.012060543,-0.019327767,-0.025618803,0.000273597
771,-0.014234314,0.000860992,-0.008366569,-0.011919478,-0.007709484,-0.002589404,-0.002584258,-0.005532782,-0.032480404,-0.007873582,-0.005538047,-0.011791569,-0.019419713,-0.027343262,-0.000263336
770,-0.014023481,0.002089668,-0.009992573,-0.012325425,-0.007947397,-0.001078106,-0.004112232,-0.004320088,-0.032721695,-0.005833857,-0.004003907,-0.012884961,-0.019551039,-0.026369428,-0.000418943
769,-0.013107548,0.002802898,-0.008618131,-0.010251236,-0.006816516,-0.002469991,-0.002334685,-0.00493318,-0.031734355,-0.00749836,-0.005390092,-0.012376248,-0.01951357,-0.026411425,0.000372866
768,-0.013623836,0.002880987,-0.009470075,-0.011109221,-0.00681779,-0.001772208,-0.002687433,-0.003944142,-0.03233102,-0.006394825,-0.005034212,-0.011814695,-0.020103276,-0.02627285,-0.001505143
767,-0.013666481,0.002522678,-0.008380077,-0.010959821,-0.006465118,-0.001786645,-0.002332883,-0.003932958,-0.031770542,-0.00630855,-0.005167605,-0.011244697,-0.018921478,-0.026592957,3.11E-05
766,-0.013479966,0.001392306,-0.008973675,-0.010783351,-0.008695424,-0.001458965,-0.002678789,-0.005113475,-0.032063015,-0.005867364,-0.003448212,-0.012714048,-0.019121276,-0.026805272,-0.000783741
765,-0.012893655,0.002472274,-0.008685122,-0.010653188,-0.006368245,-0.001118592,-0.002301779,-0.004690229,-0.031757116,-0.007240293,-0.002251462,-0.010544965,-0.018428523,-0.026897449,0.001006992
764,-0.014456311,0.00199942,-0.00978367,-0.010583922,-0.00707402,-0.002398585,-0.003290758,-0.004151053,-0.033961196,-0.007483399,-0.005490302,-0.012053896,-0.019921236,-0.026911464,-0.000914933
763,-0.014155545,0.001890705,-0.010798198,-0.011840591,-0.009249365,-0.00390597,-0.00377845,-0.006242773,-0.034702335,-0.007023489,-0.006239711,-0.013649723,-0.020363051,-0.026807753,-0.001212668
762,-0.014348532,0.003128403,-0.008557424,-0.009991814,-0.007036886,-0.002581016,-0.003343266,-0.00352376,-0.032728083,-0.006816464,-0.004136694,-0.013568291,-0.019822966,-0.027028283,-0.000726529
761,-0.014928781,0.001154001,-0.007416121,-0.011032811,-0.007985317,-0.002582251,-0.002917107,-0.00457549,-0.032430053,-0.006709219,-0.005417652,-0.013485487,-0.01946318,-0.026964938,-0.000665691
760,-0.013611844,0.001874196,-0.009291175,-0.011140003,-0.006884804,-0.001228104,-0.003470144,-0.00462098,-0.031975821,-0.006465169,-0.004364067,-0.011992207,-0.019511195,-0.026538461,0.000162025
759,-0.012226579,0.002207149,-0.010570432,-0.011986567,-0.006600775,-0.001726265,-0.001574272,-0.003280841,-0.032842051,-0.006070553,-0.00393106,-0.01208864,-0.019360103,-0.026166065,7.49E-05
758,-0.013496025,0.002019731,-0.007830109,-0.011246564,-0.00716218,-0.00248353,-0.003085853,-0.005027815,-0.032559857,-0.007110131,-0.004722289,-0.012795241,-0.020150578,-0.026534077,7.85E-05
757,-0.013571351,0.002873405,-0.009068904,-0.01087465,-0.005475068,-0.00166108,-0.002421444,-0.004579691,-0.032659464,-0.006774059,-0.004390769,-0.011585949,-0.020954072,-0.026971847,4.34E-05
756,-0.014362006,0.001812559,-0.009858731,-0.011277588,-0.007415256,-0.002546635,-0.003397309,-0.005460549,-0.032489002,-0.00754909,-0.003879854,-0.013199013,-0.019583454,-0.027868498,-0.00068523
755,-0.013129048,0.001777131,-0.009663485,-0.011225929,-0.007745137,-0.001921555,-0.003396025,-0.003855583,-0.033010598,-0.006569517,-0.004086077,-0.01174234,-0.018409718,-0.026362559,0.000413466
754,-0.01397315,0.002920103,-0.008058911,-0.010750675,-0.00669882,-0.001204924,-0.001993092,-0.00432993,-0.031544805,-0.005822057,-0.004094231,-0.012109686,-0.017813532,-0.026302138,0.001106039
753,-0.013259426,0.002533379,-0.008424256,-0.011386283,-0.006459405,-0.001345743,-0.001226659,-0.004154847,-0.032755449,-0.005955515,-0.004193561,-0.011773732,-0.01964744,-0.026852481,0.000880264
752,-0.013581036,0.001326713,-0.008217594,-0.010345528,-0.007413677,-0.002199337,-0.001700378,-0.005153383,-0.032865763,-0.007037243,-0.003954249,-0.012552575,-0.019850021,-0.026706843,0.000686235
751,-0.012547042,0.002805816,-0.008185028,-0.010568562,-0.006010102,-0.002310791,-0.001455921,-0.004191664,-0.032398678,-0.006505616,-0.002806838,-0.011332317,-0.019025799,-0.026315978,0.002983513
750,-0.01421843,0.00198764,-0.010064512,-0.011382097,-0.00807685,-0.002700141,-0.003232539,-0.005510035,-0.033188816,-0.007505687,-0.004543676,-0.011520967,-0.0194561,-0.027645383,-9.31E-05
749,-0.012942554,0.002092191,-0.008912257,-0.010736735,-0.0070349,-0.00099521,-0.002438125,-0.00444253,-0.033253804,-0.006414873,-0.003464545,-0.012248624,-0.019214951,-0.027378311,-0.000341405
748,-0.014371322,0.001485857,-0.00999222,-0.011433535,-0.008270881,-0.002347764,-0.002828595,-0.005946527,-0.033759441,-0.007674287,-0.005762184,-0.012890238,-0.020559918,-0.027897291,-0.000713659
747,-0.013792484,0.003046333,-0.008449948,-0.011065971,-0.006298447,-0.002003708,-0.002464792,-0.004210225,-0.033221625,-0.007660146,-0.004109822,-0.012952805,-0.020050135,-0.027307823,0.000132815
746,-0.015018762,9.06E-05,-0.01057887,-0.013310793,-0.008962619,-0.003193328,-0.003456584,-0.006095415,-0.034693491,-0.008638179,-0.005679104,-0.014093352,-0.02125367,-0.028806278,-0.001009208
745,-0.013606124,0.000854352,-0.008165976,-0.011343364,-0.006408854,-0.002191404,-0.002463247,-0.00428277,-0.032880452,-0.006946968,-0.004739547,-0.012823641,-0.020167382,-0.026386578,-0.000750303
744,-0.014220134,0.001358521,-0.008963633,-0.012245957,-0.006898818,-0.001702905,-0.002320627,-0.005613641,-0.033927251,-0.007147055,-0.005046954,-0.01345226,-0.019941362,-0.026303794,-0.000398461
743,-0.013118901,0.002925054,-0.00946577,-0.011155394,-0.00688669,-0.00193975,-0.001482235,-0.004283949,-0.032891538,-0.007486859,-0.004152488,-0.012307509,-0.018504934,-0.026865914,-0.000276478
742,-0.013818714,0.00109911,-0.009825074,-0.012161491,-0.008214901,-0.002244612,-0.00316208,-0.005076839,-0.033805184,-0.007494798,-0.005075048,-0.01366934,-0.020177217,-0.027504433,-0.001021036
741,-0.013252044,0.001276499,-0.009208109,-0.01074618,-0.007435155,-0.002336075,-0.002966782,-0.005752324,-0.03422454,-0.006854279,-0.004708922,-0.013017774,-0.020411512,-0.027139721,-0.000406737
740,-0.014160506,0.001824777,-0.009436895,-0.011171944,-0.007423144,-0.002019734,-0.004126387,-0.006059168,-0.033106409,-0.007222319,-0.004334082,-0.012646268,-0.02032684,-0.026979925,0.000605403
739,-0.015211216,0.001266322,-0.009624344,-0.011715632,-0.007597982,-0.002598513,-0.003586561,-0.005327347,-0.033573598,-0.007413779,-0.005233647,-0.013199365,-0.020366313,-0.027527563,-0.000989993
738,-0.013796397,0.00201016,-0.008993604,-0.010861219,-0.006347174,-0.00183882,-0.002371399,-0.004643108,-0.032825969,-0.006674655,-0.004228991,-0.012357378,-0.019730957,-0.026439339,0.00055097
737,-0.013892328,0.001302462,-0.00936703,-0.012265586,-0.006561102,-0.00168929,-0.003930341,-0.005730967,-0.033864807,-0.007572341,-0.005880849,-0.013050531,-0.019647144,-0.027200026,-0.000354234
736,-0.014592299,0.001987458,-0.00966151,-0.011059561,-0.006683985,-0.00213618,-0.003177242,-0.005432736,-0.033672925,-0.007478514,-0.003522784,-0.013258422,-0.019540496,-0.027656995,-0.00035232
735,-0.015078322,0.002181522,-0.009543621,-0.012245806,-0.006627341,-0.002882548,-0.003119471,-0.006014391,-0.033627983,-0.007417087,-0.004497461,-0.012433455,-0.01856878,-0.027824895,0.000200015
734,-0.012851236,0.002270611,-0.008854076,-0.011641899,-0.006485163,-0.002955212,-0.00220593,-0.005253238,-0.032749113,-0.007816381,-0.00472024,-0.013101471,-0.019678315,-0.027805811,-0.000227116
733,-0.013917148,0.002278418,-0.010096836,-0.01175519,-0.007538812,-0.003248726,-0.003627122,-0.005439996,-0.033953011,-0.007531078,-0.005186738,-0.013314759,-0.02012804,-0.027442422,-0.000245226
732,-0.013804621,0.001678891,-0.010263068,-0.012300966,-0.007941094,-0.002655016,-0.002858273,-0.005910114,-0.033009257,-0.006971424,-0.004314142,-0.013325755,-0.020174449,-0.028271116,0.000729665
731,-0.013877637,0.00196746,-0.009361305,-0.011532764,-0.006514337,-0.002143908,-0.002288338,-0.006203833,-0.032980226,-0.007543849,-0.004124181,-0.012463188,-0.019395702,-0.028261172,-0.000234619
730,-0.01352147,0.002114717,-0.009470632,-0.011723493,-0.007123119,-0.002677811,-0.002390347,-0.006580888,-0.033149149,-0.008575343,-0.005046443,-0.013108352,-0.019905066,-0.028222119,0.000118677
729,-0.012792576,0.002807093,-0.008838858,-0.010951239,-0.006623772,-0.002358681,-0.001795359,-0.004935688,-0.033397838,-0.006685973,-0.00404048,-0.012448649,-0.019385749,-0.027943315,0.00102749
728,-0.012801926,0.002430934,-0.008828966,-0.010660815,-0.00668373,-0.001569268,-0.002098571,-0.005479822,-0.032902867,-0.006647837,-0.004230016,-0.012055105,-0.019619828,-0.028345572,0.000733088
727,-0.013205291,0.001725539,-0.008918901,-0.010413466,-0.006653752,-0.002104135,-0.002168996,-0.006180304,-0.032927919,-0.007210353,-0.004543881,-0.012508563,-0.020545054,-0.027297612,0.000415073
726,-0.013351159,0.002117084,-0.009802398,-0.01198002,-0.007415103,-0.00174488,-0.003078862,-0.005918949,-0.033031136,-0.007939061,-0.005067628,-0.012953157,-0.020027641,-0.028073883,5.57E-05
725,-0.014532972,0.001570594,-0.010430398,-0.012111699,-0.00920669,-0.00285457,-0.003240966,-0.006444868,-0.033880182,-0.008606914,-0.0051784,-0.013316768,-0.020382071,-0.028712763,-0.000906667
724,-0.014267179,0.00205791,-0.009592644,-0.01132692,-0.007146495,-0.002041068,-0.002480956,-0.00699491,-0.033338293,-0.007947703,-0.004755166,-0.012941448,-0.019779241,-0.028762721,-5.67E-05
723,-0.013357887,0.002674942,-0.009953159,-0.0116987,-0.007415103,-0.001887071,-0.002939426,-0.00564226,-0.033040587,-0.007502838,-0.004774573,-0.013358439,-0.020470386,-0.028124547,0.000474853
722,-0.013716496,0.002403654,-0.009292999,-0.012862746,-0.007233622,-0.003439224,-0.003167991,-0.005656416,-0.034313098,-0.008109373,-0.004314091,-0.012825049,-0.019789083,-0.028430974,-0.000147473
721,-0.013888218,0.002069796,-0.009893043,-0.011591746,-0.006779054,-0.00213855,-0.002530783,-0.006187143,-0.032783724,-0.007278274,-0.005004734,-0.012962905,-0.019670449,-0.028634734,-0.000450855
