Compass Release Candidate 1
ACS Meter																																																																														
53000011		; Serial number																																																																												
3	; structure version number																																																																													
"Tcal = 20.9 degrees C, Ical = 21.9 degrees C, Acal = 24.3 degrees C  2 October 2007"																																																																														
0	0		; Depth calibration																																																																											
115200			; Baud rate																																																																											
0.25			; Path length (meters)																																																																											
83			; output wavelengths																																																																											
35			; number of temperature bins																																																																											
					3.704764	4.422285	5.462187	6.438727	7.46675	8.474118	9.483103	10.514667	11.512	12.46439	13.465714	14.482414	15.478333	16.477407	17.503913	18.500833	19.480455	20.519524	21.513333	22.492105	23.4665	24.475789	25.522941	26.526667	27.53	28.489737	29.487813	30.480345	31.49	32.501667	33.500476	34.4815	35.4935	36.4865	37.434737	; temperature bins																																						
C427.8	A426.3	16	0.988599	0.37833		-0.016293	-0.013342	-0.009809	-0.008326	-0.007318	-0.006803	-0.006738	-0.005609	-0.004704	-0.003478	-0.00266	-0.002011	-0.001387	-0.001273	-0.000879	-0.000744	-0.000414	-0.00026	0.000018	0.000148	0.000183	0.00042	0	0.000313	0.000683	0.000822	0.001117	0.000911	0.001324	0.001558	0.001181	0.000968	0.000679	0.000488	0.000247		-0.017524	-0.015892	-0.014154	-0.012751	-0.011977	-0.011143	-0.01078	-0.010454	-0.010148	-0.008888	-0.007749	-0.006387	-0.005269	-0.004454	-0.003294	-0.002417	-0.001329	-0.001054	-0.000629	-0.000559	-0.000552	0.00041	0	-0.00036	-0.00003	0.000629	0.000815	0.000709	0.000714	0.000458	0.000138	-0.000045	-0.000607	-0.001189	-0.00165		"; C and A offset, and C and A temperature correction info"
C432.5	A431.1	17	1.014843	0.409606		-0.015268	-0.01248	-0.009039	-0.007542	-0.006776	-0.006311	-0.00603	-0.00515	-0.004163	-0.002956	-0.002132	-0.001534	-0.001263	-0.001208	-0.000864	-0.000719	-0.000563	-0.000537	-0.000104	-0.000077	0.000203	0.000373	0	0.000009	0.000462	0.000697	0.000703	0.000938	0.001038	0.001171	0.000853	0.000725	0.000438	0.00028	-0.000069		-0.017032	-0.015317	-0.013357	-0.011891	-0.011171	-0.010339	-0.00989	-0.009702	-0.009289	-0.008135	-0.007078	-0.005693	-0.004556	-0.003884	-0.003002	-0.002045	-0.001126	-0.000731	-0.000302	-0.000273	-0.000501	0.000495	0	0.000031	0.000098	0.000673	0.001054	0.00077	0.000622	0.00067	0.000378	-0.000295	-0.000741	-0.001016	-0.001571		"; C and A offset, and C and A temperature correction info"
C436.8	A435.6	18	1.040026	0.43846		-0.014893	-0.011921	-0.008579	-0.007203	-0.006431	-0.005677	-0.005294	-0.004414	-0.003441	-0.002459	-0.001697	-0.001147	-0.001045	-0.000917	-0.000678	-0.000693	-0.000538	-0.000342	-0.000215	-0.000339	-0.000113	0.000064	0	-0.000092	0.000196	0.000391	0.000525	0.000564	0.000841	0.000869	0.000707	0.000537	0.000254	-0.000215	-0.000002		-0.016306	-0.014465	-0.012631	-0.011301	-0.01045	-0.009707	-0.00936	-0.009138	-0.008602	-0.007442	-0.006526	-0.005329	-0.004415	-0.003625	-0.002931	-0.002034	-0.00107	-0.000808	-0.000386	-0.000263	-0.000597	0.000328	0	-0.000114	-0.000053	0.000491	0.000927	0.000758	0.000622	0.000527	0.000219	-0.000232	-0.000791	-0.001133	-0.001597		"; C and A offset, and C and A temperature correction info"
C441.4	A440.0	20	1.063569	0.465499		-0.013688	-0.010636	-0.007344	-0.005905	-0.005	-0.004373	-0.003978	-0.003161	-0.00222	-0.001353	-0.000712	-0.000098	-0.000046	-0.000197	-0.000175	-0.000019	-0.000043	0.000061	0.00017	-0.00006	0.00011	0.000303	0	-0.00009	0.000293	0.000503	0.000641	0.000798	0.000974	0.001061	0.000832	0.000684	0.000441	0.00023	0.000306		-0.015504	-0.013771	-0.011889	-0.010631	-0.009888	-0.009056	-0.00879	-0.008434	-0.008037	-0.006932	-0.006012	-0.004916	-0.00408	-0.003417	-0.002845	-0.00192	-0.001238	-0.000938	-0.000626	-0.000473	-0.000573	0.000125	0	-0.000121	-0.000073	0.000461	0.000795	0.000794	0.000574	0.000486	0.000277	-0.000186	-0.000657	-0.000948	-0.00157		"; C and A offset, and C and A temperature correction info"
C446.2	A444.6	21	1.085712	0.491229		-0.011675	-0.008888	-0.005809	-0.004462	-0.003836	-0.003201	-0.002826	-0.002102	-0.001281	-0.000375	0.00031	0.000581	0.000472	0.000259	0.000328	0.000242	0.000168	0.000323	0.000249	0.000162	0.00022	0.000255	0	-0.000059	0.00024	0.000429	0.000498	0.000492	0.000746	0.001018	0.00078	0.00076	0.000552	0.000214	0.000255		-0.014614	-0.012888	-0.01108	-0.009703	-0.009037	-0.008261	-0.007775	-0.007553	-0.007148	-0.006171	-0.005304	-0.004341	-0.003549	-0.003014	-0.002398	-0.001661	-0.000974	-0.000729	-0.000341	-0.000201	-0.00041	0.000341	0	0.000014	0.000191	0.000699	0.001033	0.000912	0.00076	0.000784	0.000466	0.000112	-0.000329	-0.000608	-0.001105		"; C and A offset, and C and A temperature correction info"
C450.9	A449.3	22	1.107992	0.516329		-0.011967	-0.009198	-0.006053	-0.004718	-0.003983	-0.003271	-0.002781	-0.002109	-0.001303	-0.000377	0.00026	0.000666	0.000491	0.000277	0.000369	0.000065	0.000096	0.000128	0.000151	0.000037	0.000076	0.00016	0	-0.000085	0.000104	0.000361	0.000311	0.000532	0.000778	0.000907	0.000834	0.00067	0.000581	0.00019	0.000033		-0.014168	-0.012436	-0.010635	-0.009372	-0.008571	-0.007823	-0.007375	-0.00713	-0.006712	-0.005741	-0.004919	-0.004033	-0.00333	-0.002909	-0.002327	-0.00177	-0.001221	-0.000816	-0.000497	-0.000592	-0.000504	0.0001	0	-0.000178	-0.000169	0.000381	0.00073	0.000589	0.000532	0.0005	0.000186	-0.000015	-0.000397	-0.000624	-0.001126		"; C and A offset, and C and A temperature correction info"
C455.7	A453.8	23	1.125111	0.541285		-0.011307	-0.00849	-0.0054	-0.004019	-0.00322	-0.002537	-0.002139	-0.001415	-0.000578	0.000116	0.000687	0.001008	0.000847	0.000457	0.000422	0.000238	0.000244	0.000144	0.000177	0.000116	0.000051	0.00013	0	-0.000287	0.000022	0.000112	0.00029	0.000386	0.000702	0.00067	0.000771	0.000579	0.000479	0.000295	0.000138		-0.013042	-0.011296	-0.009494	-0.008201	-0.007506	-0.006705	-0.00631	-0.005961	-0.005686	-0.004755	-0.004141	-0.003329	-0.002779	-0.002325	-0.00191	-0.001461	-0.000818	-0.000597	-0.00039	-0.000341	-0.000322	0.000327	0	0.000005	0.000042	0.000507	0.000905	0.000848	0.0008	0.000776	0.00061	0.000285	-0.000032	-0.000349	-0.000539		"; C and A offset, and C and A temperature correction info"
C460.4	A458.7	LtBlue	1.14081	0.566265		-0.009994	-0.007409	-0.004534	-0.003197	-0.002509	-0.001877	-0.001432	-0.000851	-0.000112	0.000747	0.001209	0.001451	0.001304	0.000971	0.00079	0.000549	0.000453	0.000531	0.000331	0.000242	0.000179	0.000313	0	-0.000065	0.000138	0.000244	0.000318	0.000505	0.000757	0.000822	0.000877	0.00077	0.000808	0.000495	0.000334		-0.012483	-0.010689	-0.008848	-0.00755	-0.006805	-0.006107	-0.005655	-0.005391	-0.005046	-0.004187	-0.003513	-0.002893	-0.00242	-0.002124	-0.001808	-0.001303	-0.000714	-0.000561	-0.000231	-0.00032	-0.000355	0.000214	0	-0.000004	0.000128	0.000579	0.000846	0.000829	0.000797	0.000902	0.000583	0.000416	0.000038	-0.000097	-0.000474		"; C and A offset, and C and A temperature correction info"
C465.2	A463.4	26	1.155354	0.591342		-0.009498	-0.006976	-0.004235	-0.002981	-0.002234	-0.001614	-0.001187	-0.000526	0.000112	0.000814	0.00134	0.001503	0.00133	0.000933	0.000868	0.00055	0.000453	0.000353	0.000294	0.000217	0.000161	0.000209	0	-0.000067	0.000111	0.000193	0.000219	0.000356	0.000689	0.000735	0.000823	0.000649	0.000698	0.000495	0.000322		-0.011794	-0.009997	-0.008184	-0.006868	-0.006169	-0.005384	-0.004989	-0.004787	-0.004388	-0.003695	-0.003039	-0.002448	-0.002052	-0.001803	-0.001468	-0.001036	-0.000605	-0.000517	-0.000195	-0.000126	-0.000241	0.000168	0	0.00004	0.000174	0.000555	0.000852	0.00086	0.000807	0.0009	0.000693	0.000599	0.000271	0.000176	-0.000116		"; C and A offset, and C and A temperature correction info"
C470.1	A468.0	27	1.171706	0.615944		-0.008524	-0.006154	-0.00358	-0.002482	-0.001781	-0.001225	-0.000884	-0.00035	0.000375	0.001071	0.001536	0.001711	0.001486	0.001087	0.000942	0.000645	0.000575	0.000377	0.000446	0.000241	0.00023	0.000208	0	-0.000134	0.000065	0.000128	0.000157	0.000343	0.000556	0.000679	0.000801	0.000551	0.000727	0.000493	0.00025		-0.011225	-0.009418	-0.007567	-0.006317	-0.005573	-0.004903	-0.004462	-0.004231	-0.003889	-0.003209	-0.00264	-0.002163	-0.001821	-0.00158	-0.001319	-0.000946	-0.000602	-0.000506	-0.000314	-0.000317	-0.000327	0.000137	0	-0.000053	0.000036	0.000447	0.000755	0.000757	0.000744	0.000856	0.000736	0.000462	0.000256	0.00013	-0.000039		"; C and A offset, and C and A temperature correction info"
C475.0	A473.1	28	1.187695	0.640378		-0.008214	-0.006021	-0.00364	-0.002477	-0.001858	-0.00126	-0.000881	-0.000289	0.000316	0.001034	0.001412	0.001621	0.001465	0.001092	0.000928	0.000755	0.000583	0.000583	0.000401	0.000291	0.000216	0.000264	0	-0.000113	0.000074	0.000157	0.000277	0.000383	0.00067	0.000832	0.00076	0.000704	0.000781	0.000581	0.00039		-0.010432	-0.008668	-0.006837	-0.005638	-0.004952	-0.004297	-0.003911	-0.003643	-0.003258	-0.002677	-0.002204	-0.00172	-0.001388	-0.001327	-0.001034	-0.000735	-0.000485	-0.000362	-0.000158	-0.000102	-0.000103	0.000291	0	0.000165	0.000186	0.000646	0.000867	0.000847	0.00092	0.000948	0.000937	0.000814	0.000555	0.000419	0.000272		"; C and A offset, and C and A temperature correction info"
