90,0.684,0.034
92,0.72048,0.0336
94,0.75627,0.0332
96,0.79122,0.0328
98,0.82518,0.0324
100,0.858,0.032
102,0.88954,0.0308
104,0.91966,0.0296
106,0.94821,0.0284
108,0.97504,0.0272
110,1,0.026
112,1.023,0.0272
114,1.0441,0.0284
116,1.0634,0.0296
118,1.081,0.0308
120,1.097,0.032
122,1.1115,0.0344
124,1.1245,0.0368
126,1.1357,0.0392
128,1.1453,0.0416
130,1.153,0.044
132,1.1588,0.045
134,1.1629,0.046
136,1.1655,0.047
138,1.1668,0.048
140,1.167,0.049
142,1.1663,0.05
144,1.1647,0.051
146,1.1624,0.052
148,1.1595,0.053
150,1.156,0.054
152,1.152,0.054
154,1.1475,0.054
156,1.1425,0.054
158,1.137,0.054
160,1.131,0.054
162,1.1245,0.0546
164,1.1174,0.0552
166,1.1098,0.0558
168,1.1017,0.0564
170,1.093,0.057
