FRAME(COUNTER)	TIMER	ROLL	PITCH	TEMP(PCB)	MAG(X)	MAG(Y)	MAG(Z)	COMP	DATETAG	TIMETAG2
249	159.1600000000	4.1000000000	-0.3800000000	34.4000000000	-175.8000000000	-82.7000000000	602.5000000000	192.3000000000	2017-198	19:39:05.259
250	159.8000000000	4.6000000000	-0.6700000000	34.4000000000	-177.9000000000	-81.6000000000	602.5000000000	190.3000000000	2017-198	19:39:05.966
251	160.4300000000	2.9800000000	-1.2900000000	34.4000000000	-180.9000000000	-72.8000000000	602.5000000000	193.3000000000	2017-198	19:39:06.543
252	161.0700000000	3.1400000000	-0.6800000000	34.4000000000	-179.9000000000	-73.9000000000	602.7000000000	192.7000000000	2017-198	19:39:07.183
253	161.7100000000	4.0700000000	-0.5500000000	34.4000000000	-178.5000000000	-79.5000000000	602.5000000000	191.3000000000	2017-198	19:39:07.807
254	162.3400000000	3.7000000000	-0.7200000000	34.4000000000	-179.5000000000	-76.2000000000	602.5000000000	191.6000000000	2017-198	19:39:08.509
255	162.9800000000	3.3500000000	-0.7900000000	34.4000000000	-180.5000000000	-73.2000000000	602.5000000000	191.8000000000	2017-198	19:39:09.086
0	163.6200000000	3.8700000000	-0.6800000000	34.4000000000	-179.3000000000	-76.8000000000	602.2000000000	191.2000000000	2017-198	19:39:09.726
1	164.2500000000	3.7100000000	-0.9800000000	34.4000000000	-179.3000000000	-76.4000000000	602.7000000000	191.8000000000	2017-198	19:39:10.428
2	164.8900000000	3.1300000000	-1.3200000000	34.4000000000	-180.3000000000	-74.1000000000	602.5000000000	193.3000000000	2017-198	19:39:10.989
3	165.5200000000	3.6100000000	-0.5700000000	34.4000000000	-179.5000000000	-75.3000000000	602.5000000000	191.5000000000	2017-198	19:39:11.629
4	166.1600000000	3.9000000000	-0.8800000000	34.4000000000	-179.3000000000	-77.5000000000	602.7000000000	191.4000000000	2017-198	19:39:12.269
5	166.8000000000	3.3700000000	-0.9700000000	34.4000000000	-179.9000000000	-75.3000000000	602.2000000000	192.6000000000	2017-198	19:39:12.955
6	167.4300000000	3.2600000000	-1.0700000000	34.4000000000	-179.9000000000	-74.1000000000	602.5000000000	192.7000000000	2017-198	19:39:13.532
7	168.0700000000	3.4100000000	-1.0700000000	34.4000000000	-179.1000000000	-77.3000000000	602.5000000000	193.2000000000	2017-198	19:39:14.172
8	168.7000000000	4.0200000000	-0.8200000000	34.5000000000	-179.2000000000	-77.3000000000	602.6000000000	190.9000000000	2017-198	19:39:14.889
9	169.3400000000	3.1600000000	-0.9700000000	34.4000000000	-179.5000000000	-74.1000000000	602.5000000000	192.9000000000	2017-198	19:39:15.451
10	169.9800000000	3.5800000000	-0.8000000000	34.4000000000	-178.9000000000	-76.4000000000	602.7000000000	192.1000000000	2017-198	19:39:16.091
11	170.6100000000	3.7700000000	-0.6900000000	34.4000000000	-178.1000000000	-78.2000000000	602.5000000000	192.0000000000	2017-198	19:39:16.715
12	171.2500000000	3.2700000000	-0.9400000000	34.4000000000	-178.9000000000	-75.7000000000	602.5000000000	193.1000000000	2017-198	19:39:17.354
13	171.8800000000	3.5500000000	-0.7500000000	34.4000000000	-179.3000000000	-76.2000000000	602.5000000000	192.1000000000	2017-198	19:39:17.978
14	172.5200000000	3.7600000000	-0.6000000000	34.4000000000	-178.3000000000	-78.4000000000	602.7000000000	192.1000000000	2017-198	19:39:18.618
15	173.1500000000	3.6100000000	-0.6500000000	34.4000000000	-178.9000000000	-77.3000000000	602.5000000000	192.2000000000	2017-198	19:39:19.257
16	173.7900000000	3.4900000000	-0.9800000000	34.4000000000	-179.7000000000	-76.6000000000	602.7000000000	192.6000000000	2017-198	19:39:19.897
17	174.4300000000	3.9300000000	-0.8400000000	34.4000000000	-178.9000000000	-78.0000000000	602.7000000000	191.5000000000	2017-198	19:39:20.537
18	175.0600000000	3.9900000000	-0.6700000000	34.4000000000	-177.3000000000	-80.9000000000	602.5000000000	192.2000000000	2017-198	19:39:21.176
19	175.7000000000	4.4400000000	-0.4400000000	34.4000000000	-176.3000000000	-85.2000000000	602.5000000000	192.0000000000	2017-198	19:39:21.800
20	176.3400000000	4.1600000000	-0.6000000000	34.4000000000	-177.3000000000	-82.9000000000	602.5000000000	192.2000000000	2017-198	19:39:22.440
21	176.9700000000	3.8100000000	-0.6000000000	34.4000000000	-177.7000000000	-81.6000000000	602.5000000000	192.9000000000	2017-198	19:39:23.079
22	177.6100000000	4.4000000000	-0.4000000000	34.4000000000	-176.5000000000	-84.3000000000	602.5000000000	191.8000000000	2017-198	19:39:23.719
23	178.2400000000	4.4100000000	-0.6800000000	34.4000000000	-177.1000000000	-83.6000000000	602.5000000000	191.7000000000	2017-198	19:39:24.343
24	178.8800000000	4.1900000000	-0.7200000000	34.4000000000	-177.9000000000	-81.8000000000	602.5000000000	191.8000000000	2017-198	19:39:24.983
25	179.5200000000	4.1800000000	-0.7300000000	34.4000000000	-177.7000000000	-81.8000000000	602.5000000000	191.9000000000	2017-198	19:39:25.622
26	180.1500000000	3.9000000000	-0.4100000000	34.4000000000	-178.1000000000	-81.3000000000	602.7000000000	192.4000000000	2017-198	19:39:26.262
27	180.7900000000	4.5900000000	-0.4500000000	34.4000000000	-177.7000000000	-81.6000000000	602.5000000000	190.2000000000	2017-198	19:39:26.886
28	181.4200000000	3.4000000000	-0.6900000000	34.4000000000	-179.3000000000	-76.8000000000	602.7000000000	192.8000000000	2017-198	19:39:27.525
29	182.0600000000	3.1900000000	-1.1300000000	34.4000000000	-180.3000000000	-74.4000000000	602.7000000000	193.0000000000	2017-198	19:39:28.165
30	182.6900000000	4.1000000000	-0.7000000000	34.4000000000	-178.5000000000	-78.9000000000	602.5000000000	191.1000000000	2017-198	19:39:28.851
31	183.3300000000	3.7600000000	-0.8000000000	34.4000000000	-177.5000000000	-79.8000000000	602.5000000000	192.7000000000	2017-198	19:39:29.444
32	183.9600000000	4.1800000000	-0.4900000000	34.4000000000	-179.1000000000	-76.8000000000	602.2000000000	190.1000000000	2017-198	19:39:30.068
33	184.6000000000	3.2300000000	-0.9700000000	34.4000000000	-178.9000000000	-75.7000000000	602.5000000000	193.2000000000	2017-198	19:39:30.770
34	185.2400000000	3.4200000000	-0.7200000000	34.4000000000	-177.7000000000	-78.9000000000	602.5000000000	193.5000000000	2017-198	19:39:31.332
35	185.8700000000	4.3300000000	-0.5500000000	34.4000000000	-174.8000000000	-86.5000000000	602.5000000000	192.9000000000	2017-198	19:39:31.971
36	186.5100000000	4.6700000000	-0.0900000000	34.4000000000	-174.2000000000	-88.1000000000	602.2000000000	192.0000000000	2017-198	19:39:32.611
37	187.1400000000	4.4500000000	0.1200000000	34.4000000000	-178.1000000000	-82.7000000000	602.5000000000	190.6000000000	2017-198	19:39:33.235
38	187.7800000000	3.3600000000	-1.3300000000	34.4000000000	-184.1000000000	-68.7000000000	602.7000000000	190.5000000000	2017-198	19:39:33.890
39	188.4100000000	1.5400000000	-1.2400000000	34.4000000000	-187.8000000000	-56.1000000000	602.5000000000	192.2000000000	2017-198	19:39:34.514
40	189.0500000000	3.1100000000	-0.8400000000	34.4000000000	-183.5000000000	-66.9000000000	602.7000000000	190.4000000000	2017-198	19:39:35.154
41	189.6800000000	2.0400000000	-1.6800000000	34.4000000000	-185.4000000000	-62.4000000000	602.5000000000	193.1000000000	2017-198	19:39:35.793
42	190.3200000000	1.0400000000	-2.1100000000	34.4000000000	-188.4000000000	-55.9000000000	602.5000000000	194.5000000000	2017-198	19:39:36.433
43	190.9600000000	2.1700000000	-1.4400000000	34.5000000000	-185.3000000000	-63.1000000000	602.6000000000	192.7000000000	2017-198	19:39:37.057
44	191.5900000000	2.3600000000	-1.3300000000	34.4000000000	-184.7000000000	-65.4000000000	602.7000000000	192.7000000000	2017-198	19:39:37.697
45	192.2300000000	1.1400000000	-2.0000000000	34.4000000000	-187.2000000000	-59.3000000000	602.5000000000	195.3000000000	2017-198	19:39:38.336
46	192.8700000000	1.7400000000	-1.6300000000	34.4000000000	-185.8000000000	-63.1000000000	602.5000000000	194.3000000000	2017-198	19:39:38.976
