FRAME(COUNTER)	TIMER	ROLL	PITCH	TEMP(PCB)	MAG(X)	MAG(Y)	MAG(Z)	COMP	DATETAG	TIMETAG2
135	5486.9900000000	1.9700000000	-1.7200000000	34.5000000000	-186.7000000000	-58.6000000000	602.6000000000	192.0000000000	2017-198	19:33:17.570
136	5487.6300000000	1.6900000000	-1.7100000000	34.5000000000	-187.1000000000	-57.5000000000	602.6000000000	192.6000000000	2017-198	19:33:18.220
137	5488.2700000000	1.9200000000	-1.9400000000	34.5000000000	-187.1000000000	-58.2000000000	602.4000000000	192.2000000000	2017-198	19:33:18.937
138	5488.9000000000	1.9100000000	-1.4800000000	34.5000000000	-186.1000000000	-59.3000000000	602.6000000000	192.3000000000	2017-198	19:33:19.499
139	5489.5400000000	1.7500000000	-1.8100000000	34.5000000000	-187.1000000000	-58.2000000000	602.9000000000	192.7000000000	2017-198	19:33:20.123
140	5490.1700000000	1.7400000000	-1.8900000000	34.5000000000	-187.1000000000	-58.0000000000	602.6000000000	192.7000000000	2017-198	19:33:20.840
141	5490.8100000000	1.7900000000	-1.7100000000	34.5000000000	-186.1000000000	-59.3000000000	602.6000000000	192.9000000000	2017-198	19:33:21.386
142	5491.4500000000	1.7000000000	-1.7300000000	34.5000000000	-186.3000000000	-58.6000000000	602.9000000000	193.0000000000	2017-198	19:33:22.088
143	5492.0900000000	1.5300000000	-1.7400000000	34.5000000000	-186.5000000000	-58.2000000000	602.6000000000	193.4000000000	2017-198	19:33:22.666
144	5492.7200000000	1.8300000000	-1.7400000000	34.5000000000	-186.1000000000	-59.1000000000	602.6000000000	192.7000000000	2017-198	19:33:23.414
145	5493.3600000000	1.7100000000	-1.8600000000	34.5000000000	-186.5000000000	-58.6000000000	602.9000000000	193.1000000000	2017-198	19:33:23.945
146	5494.0000000000	1.6300000000	-1.9100000000	34.5000000000	-186.7000000000	-58.2000000000	602.6000000000	193.2000000000	2017-198	19:33:24.569
147	5494.6300000000	1.8200000000	-1.7700000000	34.5000000000	-186.9000000000	-59.1000000000	602.9000000000	192.7000000000	2017-198	19:33:25.208
148	5495.2700000000	1.6600000000	-1.7600000000	34.5000000000	-186.7000000000	-58.6000000000	602.6000000000	193.1000000000	2017-198	19:33:25.864
149	5495.9100000000	1.6100000000	-1.8600000000	34.5000000000	-186.7000000000	-58.6000000000	602.9000000000	193.4000000000	2017-198	19:33:26.503
150	5496.5500000000	1.5200000000	-1.8200000000	34.5000000000	-186.7000000000	-58.6000000000	602.6000000000	193.7000000000	2017-198	19:33:27.143
151	5497.1800000000	1.9600000000	-1.6700000000	34.5000000000	-186.3000000000	-59.5000000000	602.9000000000	192.4000000000	2017-198	19:33:27.767
152	5497.8200000000	1.6500000000	-1.7300000000	34.5000000000	-186.7000000000	-58.4000000000	602.6000000000	193.1000000000	2017-198	19:33:28.391
153	5498.4600000000	1.8400000000	-1.7300000000	34.5000000000	-186.7000000000	-58.9000000000	602.9000000000	192.6000000000	2017-198	19:33:29.046
154	5499.1000000000	1.8500000000	-1.7800000000	34.5000000000	-185.5000000000	-59.5000000000	602.9000000000	192.9000000000	2017-198	19:33:29.686
155	5499.7300000000	1.6200000000	-1.8700000000	34.5000000000	-186.1000000000	-60.0000000000	602.9000000000	193.8000000000	2017-198	19:33:30.372
156	5500.3700000000	1.6100000000	-1.7600000000	34.5000000000	-186.5000000000	-59.1000000000	602.9000000000	193.5000000000	2017-198	19:33:31.027
157	5501.0100000000	1.6200000000	-1.8600000000	34.5000000000	-186.3000000000	-59.8000000000	602.6000000000	193.7000000000	2017-198	19:33:31.604
158	5501.6400000000	1.8700000000	-1.8400000000	34.5000000000	-186.3000000000	-60.4000000000	602.6000000000	193.1000000000	2017-198	19:33:32.228
