FRAME(COUNTER)	TIMER	ROLL	PITCH	TEMP(PCB)	MAG(X)	MAG(Y)	MAG(Z)	COMP	DATETAG	TIMETAG2
181	4373.8900000000	1.9200000000	-4.1200000000	33.8000000000	-200.2000000000	20.3000000000	601.7000000000	164.9000000000	2017-198	19:14:44.495
182	4374.5200000000	2.3600000000	-4.2400000000	33.8000000000	-200.6000000000	19.2000000000	601.7000000000	163.6000000000	2017-198	19:14:45.105
183	4375.1600000000	2.0500000000	-4.1800000000	33.8000000000	-199.6000000000	20.8000000000	601.7000000000	164.2000000000	2017-198	19:14:45.836
184	4375.7900000000	1.8400000000	-4.0500000000	33.8000000000	-199.0000000000	21.9000000000	601.7000000000	164.6000000000	2017-198	19:14:46.382
185	4376.4200000000	2.0300000000	-4.2900000000	33.8000000000	-200.0000000000	22.8000000000	601.9000000000	163.5000000000	2017-198	19:14:47.021
186	4377.0600000000	2.0600000000	-4.0500000000	33.8000000000	-199.6000000000	22.8000000000	601.9000000000	163.6000000000	2017-198	19:14:47.661
187	4377.6900000000	2.0100000000	-4.0700000000	33.8000000000	-199.2000000000	23.5000000000	601.7000000000	163.5000000000	2017-198	19:14:48.285
188	4378.3300000000	1.9700000000	-4.2400000000	33.8000000000	-199.6000000000	24.4000000000	601.9000000000	163.2000000000	2017-198	19:14:48.924
189	4378.9700000000	1.8200000000	-4.0300000000	33.8000000000	-199.4000000000	24.1000000000	601.7000000000	164.0000000000	2017-198	19:14:49.580
190	4379.6000000000	1.9600000000	-3.9000000000	33.8000000000	-199.2000000000	23.9000000000	601.7000000000	163.7000000000	2017-198	19:14:50.188
191	4380.2300000000	1.8200000000	-4.0000000000	33.8000000000	-198.6000000000	25.5000000000	601.7000000000	163.5000000000	2017-198	19:14:50.828
192	4380.8700000000	1.7700000000	-4.0900000000	33.8000000000	-199.0000000000	25.3000000000	601.7000000000	163.7000000000	2017-198	19:14:51.467
193	4381.5000000000	2.1400000000	-4.0200000000	33.8000000000	-199.0000000000	25.3000000000	601.7000000000	162.4000000000	2017-198	19:14:52.091
194	4382.1400000000	2.2600000000	-4.0900000000	33.8000000000	-198.4000000000	25.5000000000	601.7000000000	161.8000000000	2017-198	19:14:52.731
195	4382.7800000000	1.8800000000	-3.8900000000	33.8000000000	-197.9000000000	26.2000000000	601.7000000000	163.1000000000	2017-198	19:14:53.402
196	4383.4100000000	2.1600000000	-4.0300000000	33.8000000000	-198.4000000000	25.5000000000	601.9000000000	162.2000000000	2017-198	19:14:53.994
197	4384.0500000000	2.2900000000	-4.0700000000	33.8000000000	-198.4000000000	26.2000000000	601.7000000000	161.5000000000	2017-198	19:14:54.696
198	4384.6800000000	2.0000000000	-4.0400000000	33.8000000000	-198.1000000000	27.1000000000	601.9000000000	162.2000000000	2017-198	19:14:55.258
199	4385.3100000000	1.3600000000	-3.5100000000	33.8000000000	-198.6000000000	24.1000000000	601.7000000000	166.0000000000	2017-198	19:14:55.898
200	4385.9500000000	3.5800000000	-4.3400000000	33.8000000000	-200.2000000000	14.9000000000	602.2000000000	160.6000000000	2017-198	19:14:56.537
201	4386.5700000000	4.3500000000	-4.6800000000	33.8000000000	-202.0000000000	8.0000000000	601.7000000000	160.0000000000	2017-198	19:14:57.177
202	4387.2000000000	2.4700000000	-4.0900000000	33.8000000000	-200.6000000000	14.5000000000	601.9000000000	165.0000000000	2017-198	19:14:57.801
203	4387.8400000000	3.6700000000	-4.3600000000	33.8000000000	-201.0000000000	14.9000000000	601.7000000000	160.4000000000	2017-198	19:14:58.472
204	4388.4700000000	3.3600000000	-4.4900000000	33.7000000000	-200.2000000000	15.2000000000	601.8000000000	161.1000000000	2017-198	19:14:59.064
205	4389.1100000000	3.3600000000	-3.9200000000	33.8000000000	-199.4000000000	19.4000000000	601.7000000000	160.3000000000	2017-198	19:14:59.704
206	4389.7400000000	2.3800000000	-4.2900000000	33.8000000000	-198.6000000000	20.5000000000	601.9000000000	162.9000000000	2017-198	19:15:00.328
207	4390.3800000000	3.7600000000	-4.3000000000	33.8000000000	-198.4000000000	13.6000000000	601.7000000000	160.3000000000	2017-198	19:15:00.983
208	4391.0200000000	3.4800000000	-4.1300000000	33.8000000000	-199.2000000000	15.4000000000	601.7000000000	161.0000000000	2017-198	19:15:01.607
209	4391.6500000000	2.6000000000	-4.1400000000	33.8000000000	-199.2000000000	18.8000000000	601.7000000000	162.9000000000	2017-198	19:15:02.231
210	4392.2900000000	3.0400000000	-4.3300000000	33.8000000000	-199.4000000000	15.8000000000	601.7000000000	162.2000000000	2017-198	19:15:02.871
211	4392.9300000000	3.1400000000	-4.2300000000	33.8000000000	-199.8000000000	12.5000000000	601.9000000000	163.1000000000	2017-198	19:15:03.573
212	4393.5600000000	2.8400000000	-4.1500000000	33.8000000000	-200.2000000000	13.1000000000	601.7000000000	164.0000000000	2017-198	19:15:04.197
213	4394.1900000000	3.1000000000	-4.1000000000	33.8000000000	-200.4000000000	12.9000000000	601.7000000000	163.3000000000	2017-198	19:15:04.805
214	4394.8200000000	3.2800000000	-3.9800000000	33.8000000000	-200.2000000000	12.0000000000	601.7000000000	163.0000000000	2017-198	19:15:05.476
215	4395.4600000000	2.9900000000	-4.1400000000	33.8000000000	-200.6000000000	12.0000000000	601.9000000000	163.9000000000	2017-198	19:15:06.038
216	4396.0800000000	3.0500000000	-4.2000000000	33.8000000000	-200.4000000000	10.7000000000	601.7000000000	164.1000000000	2017-198	19:15:06.708
217	4396.7100000000	3.0500000000	-4.1400000000	33.8000000000	-200.6000000000	9.8000000000	601.7000000000	164.5000000000	2017-198	19:15:07.301
218	4397.3400000000	3.2300000000	-4.2500000000	33.8000000000	-200.6000000000	9.3000000000	601.7000000000	163.9000000000	2017-198	19:15:07.972
219	4397.9700000000	2.8600000000	-4.0300000000	33.8000000000	-201.0000000000	8.4000000000	601.9000000000	165.8000000000	2017-198	19:15:08.565
220	4398.6000000000	3.1300000000	-3.9500000000	33.8000000000	-201.0000000000	6.8000000000	601.7000000000	165.4000000000	2017-198	19:15:09.267
221	4399.2300000000	3.0900000000	-4.0400000000	33.8000000000	-201.2000000000	5.9000000000	601.4000000000	165.8000000000	2017-198	19:15:09.813
222	4399.8500000000	3.0500000000	-4.0900000000	33.8000000000	-202.2000000000	5.7000000000	601.7000000000	166.0000000000	2017-198	19:15:10.468
223	4400.4900000000	3.0400000000	-4.1300000000	33.8000000000	-202.2000000000	5.3000000000	601.7000000000	166.2000000000	2017-198	19:15:11.061
224	4401.1100000000	3.1000000000	-4.1200000000	33.8000000000	-202.0000000000	3.2000000000	601.9000000000	166.7000000000	2017-198	19:15:11.700
225	4401.7500000000	2.7400000000	-4.1500000000	33.7000000000	-201.8000000000	2.8000000000	601.8000000000	168.1000000000	2017-198	19:15:12.356
226	4402.3700000000	3.0800000000	-4.2800000000	33.8000000000	-202.6000000000	2.1000000000	601.7000000000	167.1000000000	2017-198	19:15:12.980
227	4403.0000000000	3.0300000000	-4.3000000000	33.8000000000	-202.2000000000	0.6000000000	601.7000000000	167.7000000000	2017-198	19:15:13.588
228	4403.6300000000	3.4100000000	-4.0700000000	33.8000000000	-202.2000000000	-0.3000000000	601.9000000000	166.8000000000	2017-198	19:15:14.243
229	4404.2600000000	2.9700000000	-4.0900000000	33.8000000000	-202.6000000000	1.9000000000	601.7000000000	167.7000000000	2017-198	19:15:14.852
230	4404.8900000000	2.6500000000	-4.2000000000	33.8000000000	-201.8000000000	1.9000000000	601.9000000000	168.7000000000	2017-198	19:15:15.554
231	4405.5200000000	3.2800000000	-4.2000000000	33.8000000000	-202.0000000000	-1.2000000000	601.9000000000	167.5000000000	2017-198	19:15:16.115
232	4406.1500000000	2.9000000000	-4.2500000000	33.8000000000	-202.6000000000	-1.0000000000	601.7000000000	168.8000000000	2017-198	19:15:16.739
233	4406.7800000000	2.9700000000	-4.1200000000	33.8000000000	-202.2000000000	-0.1000000000	601.7000000000	168.3000000000	2017-198	19:15:17.379
234	4407.4200000000	2.9600000000	-3.9700000000	33.8000000000	-202.6000000000	-1.2000000000	601.7000000000	168.9000000000	2017-198	19:15:18.065
235	4408.0500000000	3.4900000000	-4.2800000000	33.8000000000	-203.0000000000	-1.7000000000	601.7000000000	166.9000000000	2017-198	19:15:18.627
236	4408.6800000000	3.0900000000	-4.0400000000	33.8000000000	-202.8000000000	-0.8000000000	601.9000000000	168.2000000000	2017-198	19:15:19.282
237	4409.3100000000	2.7400000000	-4.2000000000	33.8000000000	-202.6000000000	-0.8000000000	601.9000000000	169.4000000000	2017-198	19:15:19.906
238	4409.9400000000	3.2500000000	-3.9500000000	33.8000000000	-202.4000000000	-1.5000000000	601.7000000000	167.9000000000	2017-198	19:15:20.530
239	4410.5700000000	2.9000000000	-4.2500000000	33.8000000000	-202.8000000000	-1.0000000000	601.7000000000	168.9000000000	2017-198	19:15:21.154
240	4411.2000000000	3.2200000000	-4.0700000000	33.8000000000	-202.6000000000	-1.2000000000	601.7000000000	167.9000000000	2017-198	19:15:21.794
241	4411.8300000000	2.8800000000	-4.2300000000	33.8000000000	-202.6000000000	-0.6000000000	601.9000000000	168.7000000000	2017-198	19:15:22.433
242	4412.4600000000	3.5200000000	-4.2200000000	33.7000000000	-201.9000000000	-1.5000000000	601.8000000000	166.7000000000	2017-198	19:15:23.073
243	4413.0900000000	2.8400000000	-3.9800000000	33.8000000000	-201.8000000000	-0.1000000000	601.7000000000	168.9000000000	2017-198	19:15:23.759
244	4413.7200000000	2.9600000000	-3.9400000000	33.8000000000	-202.8000000000	0.6000000000	601.9000000000	168.3000000000	2017-198	19:15:24.305
245	4414.3500000000	3.0500000000	-4.0300000000	33.8000000000	-202.2000000000	-0.8000000000	601.7000000000	168.3000000000	2017-198	19:15:24.945
246	4414.9800000000	3.2700000000	-4.1400000000	33.8000000000	-202.4000000000	-0.1000000000	601.7000000000	167.2000000000	2017-198	19:15:25.569
247	4415.6100000000	3.1800000000	-4.1200000000	33.8000000000	-202.6000000000	1.0000000000	601.9000000000	167.2000000000	2017-198	19:15:26.255
248	4416.2400000000	2.9900000000	-4.1200000000	33.8000000000	-202.0000000000	0.8000000000	601.7000000000	167.9000000000	2017-198	19:15:26.910
249	4416.8700000000	3.5100000000	-4.1700000000	33.8000000000	-202.4000000000	0.8000000000	601.9000000000	166.0000000000	2017-198	19:15:27.519
250	4417.5000000000	3.1700000000	-4.1300000000	33.8000000000	-202.2000000000	1.7000000000	601.7000000000	167.0000000000	2017-198	19:15:28.080
251	4418.1300000000	3.1300000000	-4.1700000000	33.8000000000	-202.0000000000	1.7000000000	602.2000000000	167.1000000000	2017-198	19:15:28.720
252	4418.7600000000	3.3200000000	-4.2900000000	33.8000000000	-202.4000000000	1.9000000000	601.7000000000	166.2000000000	2017-198	19:15:29.360
253	4419.3900000000	3.2500000000	-4.1000000000	33.8000000000	-201.2000000000	1.9000000000	601.7000000000	166.6000000000	2017-198	19:15:30.030
254	4420.0200000000	3.0300000000	-4.1800000000	33.8000000000	-201.4000000000	3.2000000000	601.7000000000	166.9000000000	2017-198	19:15:30.639
255	4420.6500000000	3.0400000000	-4.0900000000	33.8000000000	-202.0000000000	2.6000000000	601.9000000000	167.1000000000	2017-198	19:15:31.263
0	4421.2800000000	3.2800000000	-4.0800000000	33.8000000000	-201.2000000000	1.2000000000	601.9000000000	166.7000000000	2017-198	19:15:31.871
1	4421.9100000000	3.1900000000	-3.9200000000	33.8000000000	-201.2000000000	1.5000000000	601.9000000000	167.1000000000	2017-198	19:15:32.495
2	4422.5400000000	3.1300000000	-3.9700000000	33.8000000000	-202.0000000000	2.6000000000	601.9000000000	166.9000000000	2017-198	19:15:33.135
3	4423.1700000000	3.2200000000	-4.1000000000	33.7000000000	-202.1000000000	2.6000000000	601.5000000000	166.5000000000	2017-198	19:15:33.759
4	4423.8000000000	3.1500000000	-3.8900000000	33.8000000000	-201.4000000000	1.7000000000	601.7000000000	167.2000000000	2017-198	19:15:34.383
5	4424.4400000000	3.1300000000	-4.1400000000	33.8000000000	-201.8000000000	1.9000000000	601.9000000000	167.0000000000	2017-198	19:15:35.085
6	4425.0700000000	3.3000000000	-3.9200000000	33.7000000000	-201.6000000000	1.5000000000	601.8000000000	166.7000000000	2017-198	19:15:35.646
7	4425.7000000000	3.3100000000	-4.1000000000	33.8000000000	-201.8000000000	1.5000000000	601.7000000000	166.5000000000	2017-198	19:15:36.380
8	4426.3300000000	3.3200000000	-4.1200000000	33.8000000000	-201.8000000000	2.1000000000	601.7000000000	166.2000000000	2017-198	19:15:36.941
9	4426.9600000000	3.0300000000	-4.0700000000	33.7000000000	-201.0000000000	1.7000000000	601.5000000000	167.5000000000	2017-198	19:15:37.565
10	4427.5900000000	3.4100000000	-4.1800000000	33.8000000000	-201.4000000000	1.7000000000	601.9000000000	166.0000000000	2017-198	19:15:38.267
11	4428.2200000000	3.4100000000	-3.8700000000	33.7000000000	-201.6000000000	1.0000000000	601.5000000000	166.5000000000	2017-198	19:15:38.907
12	4428.8500000000	3.4000000000	-4.1000000000	33.7000000000	-201.6000000000	1.7000000000	601.5000000000	166.1000000000	2017-198	19:15:39.437
13	4429.4800000000	3.1200000000	-4.0000000000	33.7000000000	-201.4000000000	1.5000000000	601.5000000000	167.3000000000	2017-198	19:15:40.108
14	4430.1100000000	3.2700000000	-4.0000000000	33.7000000000	-201.9000000000	0.6000000000	601.5000000000	167.1000000000	2017-198	19:15:40.748
15	4430.7400000000	3.3000000000	-4.1400000000	33.7000000000	-201.9000000000	0.8000000000	601.5000000000	166.8000000000	2017-198	19:15:41.340
16	4431.3700000000	3.2500000000	-4.0500000000	33.7000000000	-201.6000000000	1.2000000000	601.8000000000	166.9000000000	2017-198	19:15:42.027
17	4432.0000000000	3.2200000000	-4.1000000000	33.7000000000	-201.9000000000	0.6000000000	601.5000000000	167.2000000000	2017-198	19:15:42.588
