FRAME(COUNTER)	TIMER	ROLL	PITCH	TEMP(PCB)	MAG(X)	MAG(Y)	MAG(Z)	COMP	DATETAG	TIMETAG2
90	3825.0800000000	1.0500000000	-7.0300000000	33.5000000000	-136.7000000000	147.4000000000	601.2000000000	110.9000000000	2017-198	19:05:35.724
91	3825.7300000000	0.2800000000	-6.6400000000	33.5000000000	-137.5000000000	147.2000000000	601.7000000000	113.5000000000	2017-198	19:05:36.344
92	3826.3700000000	0.3900000000	-6.6800000000	33.5000000000	-138.5000000000	146.5000000000	601.5000000000	113.6000000000	2017-198	19:05:36.956
93	3827.0100000000	0.7200000000	-6.9900000000	33.5000000000	-138.9000000000	145.6000000000	601.2000000000	112.4000000000	2017-198	19:05:37.689
94	3827.6500000000	0.2800000000	-6.8400000000	33.3000000000	-137.8000000000	146.4000000000	601.1000000000	113.1000000000	2017-198	19:05:38.251
95	3828.2900000000	0.5600000000	-7.0100000000	33.5000000000	-138.1000000000	146.7000000000	601.5000000000	112.1000000000	2017-198	19:05:38.891
96	3828.9300000000	0.1800000000	-6.6200000000	33.5000000000	-138.5000000000	146.5000000000	601.2000000000	114.2000000000	2017-198	19:05:39.530
97	3829.5700000000	0.9000000000	-6.9200000000	33.3000000000	-136.7000000000	147.1000000000	601.1000000000	111.5000000000	2017-198	19:05:40.154
98	3830.2100000000	0.2600000000	-6.1000000000	33.5000000000	-135.1000000000	148.1000000000	601.2000000000	114.5000000000	2017-198	19:05:40.809
99	3830.8600000000	-0.2600000000	-6.2800000000	33.5000000000	-133.1000000000	151.4000000000	601.2000000000	113.5000000000	2017-198	19:05:41.449
100	3831.5000000000	-0.2100000000	-5.7700000000	33.5000000000	-131.4000000000	150.3000000000	601.2000000000	114.8000000000	2017-198	19:05:42.167
101	3832.1300000000	0.0200000000	-6.2000000000	33.5000000000	-132.8000000000	150.3000000000	601.2000000000	113.4000000000	2017-198	19:05:42.728
102	3832.7700000000	-0.1300000000	-5.9400000000	33.5000000000	-132.9000000000	150.7000000000	601.2000000000	114.5000000000	2017-198	19:05:43.368
103	3833.4200000000	-0.1400000000	-5.9300000000	33.5000000000	-132.4000000000	151.2000000000	601.2000000000	114.3000000000	2017-198	19:05:44.101
104	3834.0500000000	0.0300000000	-6.0900000000	33.5000000000	-133.1000000000	150.1000000000	601.2000000000	114.0000000000	2017-198	19:05:44.647
105	3834.6900000000	-0.1900000000	-6.0400000000	33.5000000000	-133.9000000000	149.6000000000	601.2000000000	114.8000000000	2017-198	19:05:45.287
106	3835.3300000000	-0.0500000000	-6.1600000000	33.5000000000	-134.7000000000	150.1000000000	601.5000000000	114.3000000000	2017-198	19:05:46.020
107	3835.9700000000	0.2000000000	-6.2800000000	33.5000000000	-135.1000000000	149.4000000000	601.2000000000	113.8000000000	2017-198	19:05:46.566
108	3836.6100000000	-0.2100000000	-6.0500000000	33.5000000000	-134.9000000000	149.2000000000	601.2000000000	115.1000000000	2017-198	19:05:47.221
109	3837.2600000000	-0.4400000000	-5.5900000000	33.5000000000	-133.7000000000	149.4000000000	601.2000000000	116.6000000000	2017-198	19:05:47.845
110	3837.9000000000	0.0500000000	-6.2300000000	33.5000000000	-135.1000000000	149.0000000000	601.2000000000	114.2000000000	2017-198	19:05:48.578
111	3838.5400000000	0.2000000000	-6.2600000000	33.5000000000	-135.7000000000	147.8000000000	601.5000000000	114.2000000000	2017-198	19:05:49.140
112	3839.1800000000	-0.1900000000	-6.0300000000	33.3000000000	-134.9000000000	149.8000000000	601.3000000000	115.1000000000	2017-198	19:05:49.826
113	3839.8200000000	-0.0800000000	-5.9100000000	33.5000000000	-135.1000000000	149.2000000000	601.2000000000	115.4000000000	2017-198	19:05:50.419
114	3840.4600000000	0.0500000000	-6.2300000000	33.5000000000	-136.7000000000	147.8000000000	601.5000000000	114.9000000000	2017-198	19:05:51.152
115	3841.1000000000	-0.1100000000	-6.0300000000	33.5000000000	-136.1000000000	148.3000000000	601.2000000000	115.6000000000	2017-198	19:05:51.698
116	3841.7400000000	-0.0900000000	-5.9300000000	33.5000000000	-135.5000000000	149.2000000000	601.2000000000	115.6000000000	2017-198	19:05:52.385
117	3842.3800000000	-0.0100000000	-6.2000000000	33.5000000000	-136.1000000000	149.4000000000	601.2000000000	114.7000000000	2017-198	19:05:53.040
118	3843.0200000000	-0.0400000000	-6.0800000000	33.5000000000	-136.3000000000	148.5000000000	601.5000000000	115.3000000000	2017-198	19:05:53.617
119	3843.6600000000	-0.2000000000	-6.0800000000	33.3000000000	-136.3000000000	148.7000000000	601.3000000000	115.5000000000	2017-198	19:05:54.272
120	3844.3000000000	0.0700000000	-6.1500000000	33.5000000000	-136.5000000000	148.5000000000	601.2000000000	115.0000000000	2017-198	19:05:54.896
121	3844.9400000000	-0.0900000000	-5.9500000000	33.5000000000	-136.5000000000	148.3000000000	601.5000000000	115.9000000000	2017-198	19:05:55.614
122	3845.5800000000	-0.0600000000	-6.2300000000	33.5000000000	-135.5000000000	149.0000000000	601.0000000000	114.5000000000	2017-198	19:05:56.253
123	3846.2300000000	-0.1800000000	-5.7900000000	33.5000000000	-135.3000000000	147.6000000000	601.2000000000	116.3000000000	2017-198	19:05:56.893
124	3846.8600000000	0.0700000000	-6.1000000000	33.5000000000	-137.1000000000	147.8000000000	601.5000000000	115.4000000000	2017-198	19:05:57.486
125	3847.5000000000	0.0000000000	-6.2000000000	33.5000000000	-136.9000000000	149.0000000000	601.2000000000	115.0000000000	2017-198	19:05:58.125
126	3848.1400000000	0.2000000000	-6.0900000000	33.5000000000	-136.3000000000	148.5000000000	601.2000000000	114.9000000000	2017-198	19:05:58.749
127	3848.7800000000	0.0400000000	-5.9500000000	33.5000000000	-136.7000000000	147.6000000000	601.5000000000	115.9000000000	2017-198	19:05:59.405
128	3849.4200000000	0.0800000000	-6.3300000000	33.5000000000	-137.5000000000	148.5000000000	601.5000000000	114.7000000000	2017-198	19:06:00.013
129	3850.0600000000	-0.1400000000	-6.2000000000	33.5000000000	-136.9000000000	148.3000000000	601.2000000000	115.3000000000	2017-198	19:06:00.653
130	3850.7000000000	0.1500000000	-6.0900000000	33.5000000000	-135.7000000000	147.8000000000	601.2000000000	114.9000000000	2017-198	19:06:01.308
131	3851.3400000000	-0.1300000000	-6.1800000000	33.5000000000	-135.7000000000	149.6000000000	601.5000000000	114.8000000000	2017-198	19:06:01.947
132	3851.9800000000	-0.0200000000	-6.0000000000	33.5000000000	-136.3000000000	148.7000000000	601.2000000000	115.5000000000	2017-198	19:06:02.587
133	3852.6200000000	-0.1100000000	-6.0800000000	33.5000000000	-135.5000000000	147.6000000000	601.2000000000	115.3000000000	2017-198	19:06:03.211
134	3853.2600000000	-0.0100000000	-6.0800000000	33.5000000000	-135.7000000000	148.7000000000	601.5000000000	115.1000000000	2017-198	19:06:03.851
135	3853.9000000000	-0.2200000000	-6.3500000000	33.5000000000	-136.9000000000	149.6000000000	601.5000000000	114.7000000000	2017-198	19:06:04.537
136	3854.5400000000	0.2500000000	-6.1600000000	33.5000000000	-136.1000000000	147.8000000000	601.5000000000	114.6000000000	2017-198	19:06:05.130
137	3855.1800000000	-0.1000000000	-6.2800000000	33.5000000000	-135.3000000000	149.9000000000	601.5000000000	114.2000000000	2017-198	19:06:05.863
138	3855.8200000000	-0.0400000000	-6.3500000000	33.5000000000	-136.1000000000	150.1000000000	601.5000000000	114.1000000000	2017-198	19:06:06.409
139	3856.4600000000	-0.0900000000	-6.0400000000	33.5000000000	-135.1000000000	148.1000000000	601.2000000000	115.2000000000	2017-198	19:06:07.111
140	3857.1000000000	0.1100000000	-6.1400000000	33.5000000000	-134.1000000000	149.4000000000	601.5000000000	114.1000000000	2017-198	19:06:07.688
141	3857.7400000000	-0.0200000000	-6.4500000000	33.3000000000	-134.5000000000	150.7000000000	601.1000000000	113.1000000000	2017-198	19:06:08.406
142	3858.3800000000	0.0400000000	-6.0600000000	33.5000000000	-133.7000000000	149.9000000000	601.2000000000	114.2000000000	2017-198	19:06:08.967
143	3859.0100000000	0.2200000000	-6.1800000000	33.3000000000	-133.3000000000	150.7000000000	601.1000000000	113.4000000000	2017-198	19:06:09.607
144	3859.6500000000	0.0400000000	-5.9900000000	33.5000000000	-133.1000000000	150.1000000000	601.5000000000	114.3000000000	2017-198	19:06:10.262
145	3860.2900000000	-0.0800000000	-6.2100000000	33.5000000000	-132.9000000000	150.7000000000	601.2000000000	113.5000000000	2017-198	19:06:10.949
146	3860.9400000000	-0.1100000000	-6.1600000000	33.5000000000	-132.0000000000	151.9000000000	601.2000000000	113.3000000000	2017-198	19:06:11.526
147	3861.5800000000	-0.1300000000	-6.0300000000	33.5000000000	-131.4000000000	151.6000000000	601.2000000000	113.6000000000	2017-198	19:06:12.243
148	3862.2100000000	0.1100000000	-6.0500000000	33.5000000000	-130.8000000000	151.2000000000	601.2000000000	113.1000000000	2017-198	19:06:12.805
149	3862.8500000000	-0.1500000000	-6.0400000000	33.5000000000	-130.2000000000	151.9000000000	601.5000000000	113.2000000000	2017-198	19:06:13.445
150	3863.4900000000	-0.1300000000	-6.1600000000	33.5000000000	-129.8000000000	153.7000000000	601.0000000000	112.4000000000	2017-198	19:06:14.162
151	3864.1300000000	-0.0500000000	-6.0400000000	33.5000000000	-128.8000000000	152.1000000000	601.2000000000	112.6000000000	2017-198	19:06:14.755
152	3864.7700000000	0.1100000000	-6.0300000000	33.5000000000	-128.4000000000	152.5000000000	601.5000000000	112.2000000000	2017-198	19:06:15.363
153	3865.4100000000	-0.1100000000	-6.1300000000	33.5000000000	-128.6000000000	154.1000000000	601.5000000000	112.0000000000	2017-198	19:06:16.003
154	3866.0500000000	-0.0200000000	-6.1500000000	33.5000000000	-128.2000000000	154.3000000000	601.2000000000	111.7000000000	2017-198	19:06:16.736
155	3866.6900000000	-0.3200000000	-6.0500000000	33.5000000000	-127.8000000000	153.2000000000	601.2000000000	112.4000000000	2017-198	19:06:17.345
156	3867.3300000000	0.2000000000	-6.2100000000	33.5000000000	-126.8000000000	153.0000000000	601.2000000000	110.9000000000	2017-198	19:06:17.922
157	3867.9700000000	-0.1500000000	-6.0800000000	33.5000000000	-125.8000000000	154.6000000000	601.5000000000	111.3000000000	2017-198	19:06:18.577
158	3868.6000000000	0.0000000000	-6.0600000000	33.5000000000	-125.3000000000	154.6000000000	601.2000000000	111.0000000000	2017-198	19:06:19.232
159	3869.2400000000	0.1100000000	-6.0300000000	33.5000000000	-125.4000000000	154.1000000000	601.5000000000	111.1000000000	2017-198	19:06:19.841
160	3869.8800000000	-0.1000000000	-6.2300000000	33.3000000000	-125.6000000000	156.3000000000	601.3000000000	110.4000000000	2017-198	19:06:20.574
161	3870.5200000000	-0.0400000000	-6.0300000000	33.5000000000	-124.3000000000	156.4000000000	601.2000000000	110.6000000000	2017-198	19:06:21.167
162	3871.1600000000	0.1700000000	-6.0400000000	33.5000000000	-123.5000000000	155.7000000000	601.2000000000	110.2000000000	2017-198	19:06:21.775
163	3871.8000000000	-0.3500000000	-6.0100000000	33.5000000000	-123.7000000000	155.7000000000	601.2000000000	110.9000000000	2017-198	19:06:22.399
164	3872.4400000000	0.1500000000	-6.1500000000	33.5000000000	-122.7000000000	156.1000000000	601.0000000000	109.5000000000	2017-198	19:06:23.085
165	3873.0800000000	-0.1800000000	-5.8800000000	33.5000000000	-122.3000000000	155.7000000000	601.2000000000	110.8000000000	2017-198	19:06:23.663
166	3873.7200000000	-0.0200000000	-6.1400000000	33.5000000000	-123.1000000000	156.8000000000	601.2000000000	109.8000000000	2017-198	19:06:24.411
