Sample Name, DR-05P0
Time, 2017/07/12 03:16:07
Operator, Smith
Lamp, 255
Slit,0.0
Scan From, 850.0nm
Scan To, 390.0nm
Scan Step, 1.0nm
Sample Filter, 11
memo, 
WL(nm), Abs, T%
595.0, -0.0009, 100.21
596.0, -0.0009, 100.20
597.0, -0.0010, 100.22
598.0, -0.0010, 100.24
599.0, -0.0010, 100.22
600.0, -0.0010, 100.24
601.0, -0.0010, 100.24
602.0, -0.0010, 100.23
603.0, -0.0010, 100.23
604.0, -0.0010, 100.24
605.0, -0.0010, 100.24
606.0, -0.0010, 100.23
607.0, -0.0010, 100.23
608.0, -0.0010, 100.24
609.0, -0.0010, 100.22
610.0, -0.0010, 100.23
611.0, -0.0010, 100.24
612.0, -0.0009, 100.22
613.0, -0.0010, 100.23
614.0, -0.0010, 100.22
615.0, -0.0010, 100.22
616.0, -0.0010, 100.23
617.0, -0.0009, 100.22
618.0, -0.0010, 100.24
619.0, -0.0010, 100.23
620.0, -0.0010, 100.24
621.0, -0.0011, 100.25
622.0, -0.0011, 100.24
623.0, -0.0011, 100.26
624.0, -0.0011, 100.25
625.0, -0.0011, 100.26
626.0, -0.0011, 100.26
627.0, -0.0011, 100.26
628.0, -0.0012, 100.27
629.0, -0.0012, 100.27
630.0, -0.0012, 100.28
631.0, -0.0011, 100.25
632.0, -0.0012, 100.28
633.0, -0.0012, 100.28
634.0, -0.0012, 100.29
635.0, -0.0012, 100.28
636.0, -0.0012, 100.28
637.0, -0.0012, 100.27
638.0, -0.0012, 100.27
639.0, -0.0012, 100.27
640.0, -0.0013, 100.29
641.0, -0.0011, 100.26
642.0, -0.0012, 100.29
643.0, -0.0012, 100.29
644.0, -0.0013, 100.29
645.0, -0.0012, 100.28
646.0, -0.0013, 100.29
647.0, -0.0012, 100.28
648.0, -0.0013, 100.29
649.0, -0.0012, 100.29
650.0, -0.0013, 100.30
651.0, -0.0013, 100.30
652.0, -0.0013, 100.30
653.0, -0.0013, 100.29
654.0, -0.0014, 100.31
655.0, -0.0013, 100.31
656.0, -0.0013, 100.31
657.0, -0.0014, 100.32
658.0, -0.0013, 100.31
659.0, -0.0014, 100.31
660.0, -0.0014, 100.32
661.0, -0.0014, 100.33
662.0, -0.0014, 100.33
663.0, -0.0014, 100.32
664.0, -0.0013, 100.30
665.0, -0.0012, 100.29
666.0, -0.0013, 100.30
667.0, -0.0012, 100.29
668.0, -0.0012, 100.28
669.0, -0.0012, 100.29
670.0, -0.0012, 100.28
671.0, -0.0013, 100.30
672.0, -0.0012, 100.29
673.0, -0.0013, 100.30
674.0, -0.0013, 100.31
675.0, -0.0013, 100.30
676.0, -0.0014, 100.31
677.0, -0.0014, 100.31
678.0, -0.0014, 100.32
679.0, -0.0014, 100.33
680.0, -0.0014, 100.33
681.0, -0.0014, 100.32
682.0, -0.0014, 100.33
683.0, -0.0014, 100.33
684.0, -0.0014, 100.32
