Sample Name, RO-01P0
Time, 2017/07/12 05:20:08
Operator, Smith
Lamp, 255
Slit,0.0
Scan From, 850.0nm
Scan To, 390.0nm
Scan Step, 1.0nm
Sample Filter, 11
memo, 
WL(nm), Abs, T%
595.0, 0.0002, 99.94
596.0, 0.0003, 99.94
597.0, 0.0001, 99.98
598.0, 0.0001, 99.97
599.0, 0.0002, 99.96
600.0, 0.0001, 99.97
601.0, 0.0002, 99.96
602.0, 0.0001, 99.97
603.0, 0.0001, 99.98
604.0, 0.0002, 99.96
605.0, 0.0002, 99.96
606.0, 0.0002, 99.94
607.0, 0.0003, 99.94
608.0, 0.0002, 99.95
609.0, 0.0002, 99.95
610.0, 0.0002, 99.95
611.0, 0.0002, 99.95
612.0, 0.0002, 99.95
613.0, 0.0001, 99.97
614.0, 0.0002, 99.96
615.0, 0.0003, 99.94
616.0, 0.0002, 99.95
617.0, 0.0002, 99.94
618.0, 0.0002, 99.96
619.0, 0.0002, 99.95
620.0, 0.0002, 99.96
621.0, 0.0002, 99.96
622.0, 0.0002, 99.95
623.0, 0.0003, 99.94
624.0, 0.0003, 99.94
625.0, 0.0003, 99.94
626.0, 0.0003, 99.94
627.0, 0.0003, 99.94
628.0, 0.0002, 99.95
629.0, 0.0003, 99.94
630.0, 0.0002, 99.95
631.0, 0.0002, 99.95
632.0, 0.0003, 99.94
633.0, 0.0003, 99.93
634.0, 0.0002, 99.94
635.0, 0.0002, 99.94
636.0, 0.0001, 99.97
637.0, 0.0002, 99.96
638.0, 0.0002, 99.96
639.0, 0.0002, 99.96
640.0, 0.0002, 99.96
641.0, 0.0002, 99.95
642.0, 0.0002, 99.95
643.0, 0.0002, 99.96
644.0, 0.0002, 99.95
645.0, 0.0003, 99.94
646.0, 0.0002, 99.96
647.0, 0.0001, 99.97
648.0, 0.0001, 99.98
649.0, 0.0001, 99.98
650.0, 0.0001, 99.98
651.0, 0.0001, 99.98
652.0, 0.0001, 99.98
653.0, 0.0001, 99.97
654.0, 0.0001, 99.97
655.0, 0.0001, 99.97
656.0, 0.0001, 99.97
657.0, 0.0002, 99.96
658.0, 0.0002, 99.96
659.0, 0.0002, 99.96
660.0, 0.0001, 99.97
661.0, 0.0001, 99.97
662.0, 0.0002, 99.95
663.0, 0.0002, 99.96
664.0, 0.0002, 99.95
665.0, 0.0001, 99.98
666.0, 0.0001, 99.97
667.0, 0.0001, 99.98
668.0, 0.0001, 99.97
669.0, 0.0001, 99.97
670.0, 0.0001, 99.97
671.0, 0.0002, 99.95
