Sample Name, MQ-10P0N
Time, 2017/07/12 02:28:24
Operator, Smith
Lamp, 255
Slit,0.0
Scan From, 850.0nm
Scan To, 390.0nm
Scan Step, 1.0nm
Sample Filter, 11
memo, 
WL(nm), Abs, T%
390.0, -0.0020, 100.46
391.0, -0.0019, 100.43
392.0, -0.0018, 100.43
393.0, -0.0020, 100.46
394.0, -0.0019, 100.44
395.0, -0.0019, 100.45
396.0, -0.0019, 100.43
397.0, -0.0018, 100.42
398.0, -0.0019, 100.44
399.0, -0.0019, 100.43
400.0, -0.0020, 100.47
401.0, -0.0019, 100.43
402.0, -0.0020, 100.45
403.0, -0.0020, 100.46
404.0, -0.0019, 100.44
405.0, -0.0020, 100.45
406.0, -0.0020, 100.46
407.0, -0.0020, 100.46
408.0, -0.0019, 100.45
409.0, -0.0019, 100.43
410.0, -0.0020, 100.45
411.0, -0.0019, 100.43
412.0, -0.0020, 100.45
413.0, -0.0020, 100.45
414.0, -0.0020, 100.45
415.0, -0.0020, 100.45
416.0, -0.0019, 100.44
417.0, -0.0020, 100.45
418.0, -0.0019, 100.44
419.0, -0.0019, 100.44
420.0, -0.0020, 100.45
421.0, -0.0019, 100.44
422.0, -0.0019, 100.45
423.0, -0.0019, 100.44
424.0, -0.0020, 100.46
425.0, -0.0020, 100.46
426.0, -0.0020, 100.45
427.0, -0.0019, 100.44
428.0, -0.0020, 100.45
429.0, -0.0019, 100.45
430.0, -0.0019, 100.45
431.0, -0.0019, 100.45
432.0, -0.0020, 100.46
433.0, -0.0019, 100.44
434.0, -0.0020, 100.46
435.0, -0.0019, 100.44
436.0, -0.0019, 100.45
437.0, -0.0019, 100.43
438.0, -0.0018, 100.42
439.0, -0.0019, 100.43
440.0, -0.0019, 100.44
441.0, -0.0019, 100.44
442.0, -0.0019, 100.44
443.0, -0.0019, 100.44
444.0, -0.0020, 100.45
445.0, -0.0020, 100.46
446.0, -0.0020, 100.45
447.0, -0.0020, 100.47
448.0, -0.0019, 100.45
449.0, -0.0021, 100.48
450.0, -0.0021, 100.49
451.0, -0.0022, 100.50
452.0, -0.0021, 100.48
453.0, -0.0021, 100.49
454.0, -0.0021, 100.50
455.0, -0.0021, 100.49
456.0, -0.0022, 100.50
457.0, -0.0022, 100.50
458.0, -0.0021, 100.48
459.0, -0.0021, 100.48
460.0, -0.0021, 100.48
461.0, -0.0022, 100.51
462.0, -0.0022, 100.50
