Sample Name, DR-10P0,
Time, 2017/07/12 02:19:28,
Operator, Smith,
Lamp,255.00000,
Slit,0.00000,
Scan From, 850.0nm,
Scan To, 390.0nm,
Scan Step, 1.0nm,
Sample Filter,11.00000,
memo, ,
WL(nm), Abs, T%
664,-0.00050,100.67
665,-0.00050,100.68
666,-0.00050,100.69
667,-0.00050,100.7
668,-0.00040,100.68
669,-0.00050,100.67
670,-0.00040,100.65
671,-0.00040,100.66
672,-0.00040,100.65
673,-0.00050,100.64
674,-0.00050,100.66
675,-0.00060,100.67
676,-0.00060,100.68
677,-0.00050,100.68
678,-0.00060,100.68
679,-0.00050,100.68
680,-0.00060,100.68
681,-0.00060,100.7
682,-0.00060,100.69
683,-0.00070,100.7
684,-0.00070,100.7
685,-0.00080,100.69
686,-0.00070,100.69
687,-0.00080,100.7
688,-0.00070,100.7
689,-0.00080,100.7
690,-0.00070,100.7
691,-0.00080,100.71
692,-0.00080,100.72
693,-0.00080,100.72
694,-0.00080,100.72
695,-0.00080,100.73
696,-0.00080,100.72
697,-0.00090,100.73
698,-0.00080,100.74
699,-0.00090,100.74
700,-0.00080,100.74
701,-0.00090,100.76
702,-0.00100,100.75
703,-0.00090,100.75
704,-0.00090,100.75
705,-0.00100,100.76
706,-0.00090,100.76
707,-0.00100,100.78
708,-0.00090,100.77
709,-0.00090,100.77
710,-0.00090,100.79
711,-0.00100,100.8
712,-0.00110,100.8
713,-0.00110,100.81
714,-0.00100,100.8
715,-0.00110,100.82
716,-0.00110,100.81
717,-0.00120,100.82
718,-0.00110,100.82
719,-0.00120,100.81
720,-0.00110,100.81
721,-0.00120,100.81
722,-0.00120,100.81
723,-0.00110,100.81
724,-0.00110,100.81
725,-0.00110,100.8
726,-0.00120,100.83
727,-0.00130,100.86
728,-0.00130,100.85
729,-0.00150,100.89
730,-0.00150,100.91
731,-0.00160,100.93
732,-0.00170,100.96
733,-0.00160,100.94
734,-0.00170,100.95
735,-0.00160,100.92
736,-0.00150,100.89
737,-0.00140,100.87
738,-0.00120,100.84
739,-0.00100,100.79
740,-0.00070,100.74
741,-0.00060,100.7
742,-0.00050,100.68
743,-0.00050,100.64
744,-0.00040,100.62
745,-0.00020,100.6
746,-0.00020,100.57
747,-0.00010,100.57
748,0.00000,100.55
749,0.00000,100.56
750,0.00000,100.55
751,0.00000,100.55
752,0.00000,100.56
753,0.00000,100.54
754,0.00000,100.54
755,0.00000,100.55
756,0.00000,100.53
757,0.00000,100.54
758,0.00000,100.54
759,0.00000,100.54
760,0.00000,100.54
761,0.00000,100.57
762,0.00000,100.54
763,-0.00010,100.55
764,-0.00020,100.55
765,-0.00010,100.55
766,-0.00010,100.54
767,-0.00010,100.55
768,-0.00020,100.54
769,-0.00020,100.57
770,-0.00020,100.58
771,-0.00010,100.59
772,-0.00020,100.59
773,-0.00030,100.59
774,-0.00020,100.58
775,-0.00030,100.59
776,-0.00020,100.58
777,-0.00020,100.58
778,-0.00030,100.59
779,-0.00030,100.61
780,-0.00040,100.62
781,-0.00040,100.64
782,-0.00030,100.63
783,-0.00040,100.64
784,-0.00040,100.65
785,-0.00040,100.66
786,-0.00050,100.66
787,-0.00030,100.66
788,-0.00050,100.67
789,-0.00050,100.66
790,-0.00060,100.67
791,-0.00060,100.68
792,-0.00060,100.69
793,-0.00060,100.69
794,-0.00070,100.71
795,-0.00070,100.71
796,-0.00080,100.73
797,-0.00070,100.72
798,-0.00080,100.73
799,-0.00080,100.74
800,-0.00090,100.75
801,-0.00090,100.78
802,-0.00090,100.78
803,-0.00090,100.79
804,-0.00100,100.79
805,-0.00110,100.8
806,-0.00110,100.81
807,-0.00110,100.81
808,-0.00120,100.82
809,-0.00120,100.83
810,-0.00120,100.84
811,-0.00130,100.86
812,-0.00130,100.86
813,-0.00140,100.87
814,-0.00130,100.85
815,-0.00130,100.85
816,-0.00130,100.85
817,-0.00130,100.85
818,-0.00130,100.88
819,-0.00140,100.89
820,-0.00140,100.87
821,-0.00140,100.88
822,-0.00150,100.9
823,-0.00150,100.93
824,-0.00170,100.96
825,-0.00180,101
826,-0.00180,101.02
827,-0.00200,101.06
828,-0.00220,101.1
829,-0.00230,101.12
830,-0.00250,101.15
831,-0.00240,101.15
832,-0.00250,101.15
833,-0.00230,101.08
834,-0.00210,101.05
835,-0.00200,101.02
836,-0.00170,100.95
837,-0.00150,100.92
838,-0.00140,100.87
839,-0.00120,100.83
840,-0.00110,100.81
841,-0.00090,100.77
842,-0.00090,100.76
843,-0.00070,100.75
844,-0.00070,100.73
845,-0.00070,100.73
846,-0.00070,100.73
847,-0.00080,100.73
848,-0.00070,100.74
849,-0.00070,100.72
850,-0.00070,100.72
