Sample Name, BP-02P0
Time, 2017/07/12 04:54:37
Operator, Smith
Lamp, 255
Slit,0.0
Scan From, 850.0nm
Scan To, 390.0nm
Scan Step, 1.0nm
Sample Filter, 11
memo, 
WL(nm), Abs, T%
390.0, 0.0447, 90.21
391.0, 0.0440, 90.36
392.0, 0.0432, 90.54
393.0, 0.0426, 90.65
394.0, 0.0418, 90.83
395.0, 0.0412, 90.95
396.0, 0.0405, 91.09
397.0, 0.0398, 91.24
398.0, 0.0394, 91.33
399.0, 0.0385, 91.51
400.0, 0.0380, 91.62
401.0, 0.0374, 91.75
402.0, 0.0368, 91.88
403.0, 0.0363, 91.99
404.0, 0.0355, 92.15
405.0, 0.0350, 92.25
406.0, 0.0345, 92.36
407.0, 0.0339, 92.50
408.0, 0.0335, 92.59
409.0, 0.0328, 92.72
410.0, 0.0324, 92.82
411.0, 0.0318, 92.94
412.0, 0.0313, 93.05
413.0, 0.0308, 93.15
414.0, 0.0303, 93.27
415.0, 0.0298, 93.36
416.0, 0.0294, 93.45
417.0, 0.0289, 93.56
418.0, 0.0285, 93.64
419.0, 0.0281, 93.74
420.0, 0.0277, 93.82
421.0, 0.0273, 93.90
422.0, 0.0268, 94.01
423.0, 0.0264, 94.09
424.0, 0.0260, 94.20
425.0, 0.0256, 94.28
426.0, 0.0252, 94.36
427.0, 0.0248, 94.45
428.0, 0.0244, 94.53
429.0, 0.0240, 94.62
430.0, 0.0237, 94.69
431.0, 0.0234, 94.76
432.0, 0.0231, 94.82
433.0, 0.0228, 94.90
434.0, 0.0224, 94.97
435.0, 0.0221, 95.04
436.0, 0.0218, 95.10
437.0, 0.0215, 95.17
438.0, 0.0212, 95.23
439.0, 0.0209, 95.30
440.0, 0.0206, 95.37
441.0, 0.0202, 95.44
442.0, 0.0200, 95.49
443.0, 0.0197, 95.57
444.0, 0.0194, 95.63
445.0, 0.0192, 95.67
446.0, 0.0189, 95.73
447.0, 0.0186, 95.80
448.0, 0.0184, 95.84
449.0, 0.0181, 95.92
450.0, 0.0180, 95.95
451.0, 0.0178, 95.99
452.0, 0.0176, 96.04
453.0, 0.0173, 96.10
454.0, 0.0172, 96.12
455.0, 0.0169, 96.17
456.0, 0.0166, 96.24
457.0, 0.0164, 96.28
458.0, 0.0163, 96.32
459.0, 0.0161, 96.36
460.0, 0.0159, 96.41
461.0, 0.0157, 96.45
462.0, 0.0155, 96.49
463.0, 0.0154, 96.52
464.0, 0.0152, 96.56
465.0, 0.0150, 96.60
466.0, 0.0148, 96.65
467.0, 0.0146, 96.69
468.0, 0.0145, 96.73
469.0, 0.0143, 96.77
470.0, 0.0141, 96.81
471.0, 0.0140, 96.83
472.0, 0.0137, 96.89
473.0, 0.0136, 96.91
474.0, 0.0135, 96.94
475.0, 0.0133, 96.98
476.0, 0.0132, 97.01
477.0, 0.0130, 97.06
478.0, 0.0128, 97.09
479.0, 0.0128, 97.10
480.0, 0.0126, 97.14
481.0, 0.0125, 97.16
482.0, 0.0123, 97.21
483.0, 0.0122, 97.23
484.0, 0.0121, 97.26
485.0, 0.0119, 97.30
486.0, 0.0118, 97.31
487.0, 0.0117, 97.35
488.0, 0.0116, 97.37
489.0, 0.0115, 97.39
490.0, 0.0113, 97.43
491.0, 0.0112, 97.44
492.0, 0.0111, 97.48
493.0, 0.0110, 97.49
494.0, 0.0109, 97.53
495.0, 0.0108, 97.55
496.0, 0.0107, 97.56
497.0, 0.0106, 97.59
498.0, 0.0105, 97.62
499.0, 0.0103, 97.65
500.0, 0.0102, 97.68
501.0, 0.0102, 97.68
502.0, 0.0101, 97.70
503.0, 0.0100, 97.73
504.0, 0.0098, 97.77
505.0, 0.0097, 97.80
506.0, 0.0096, 97.81
507.0, 0.0095, 97.84
508.0, 0.0095, 97.83
509.0, 0.0094, 97.86
510.0, 0.0094, 97.87
