Sample Name, BP-10P0,
Time, 2017/07/12 02:33:43,
Operator, Smith,
Lamp,255,
Slit,0,
Scan From, 850.0nm,
Scan To, 390.0nm,
Scan Step, 1.0nm,
Sample Filter,11,
memo, ,
WL(nm), Abs, T%
471,0.0611,87.32
472,0.0602,87.47
473,0.0594,87.63
474,0.0587,87.79
475,0.058,87.93
476,0.0572,88.09
477,0.0565,88.22
478,0.0559,88.36
479,0.0552,88.5
480,0.0547,88.62
481,0.054,88.76
482,0.0533,88.9
483,0.0526,89.04
484,0.0519,89.16
485,0.0513,89.28
486,0.0508,89.42
487,0.0501,89.54
488,0.0496,89.67
489,0.0491,89.77
490,0.0485,89.88
491,0.048,90
492,0.0474,90.09
493,0.0468,90.21
494,0.0463,90.32
495,0.0457,90.44
496,0.0453,90.55
497,0.0448,90.65
498,0.0443,90.77
499,0.0437,90.86
500,0.0433,90.98
501,0.0427,91.07
502,0.0423,91.16
503,0.0419,91.26
504,0.0415,91.34
505,0.041,91.47
506,0.0406,91.53
507,0.04,91.63
508,0.0397,91.71
509,0.0392,91.81
510,0.0388,91.92
511,0.0384,91.99
512,0.038,92.08
513,0.0376,92.16
514,0.0373,92.24
515,0.0368,92.32
516,0.0365,92.41
517,0.0361,92.5
518,0.0357,92.58
519,0.0353,92.66
520,0.0348,92.76
521,0.0344,92.83
522,0.034,92.92
523,0.0338,92.99
524,0.0333,93.06
525,0.033,93.14
526,0.0326,93.22
527,0.0323,93.29
528,0.032,93.35
529,0.0317,93.42
530,0.0313,93.49
531,0.031,93.56
532,0.0307,93.64
533,0.0304,93.69
534,0.03,93.78
535,0.0298,93.85
536,0.0295,93.88
537,0.0292,93.97
538,0.0289,94.01
539,0.0285,94.09
540,0.0282,94.16
541,0.0281,94.2
542,0.0277,94.29
543,0.0275,94.34
544,0.0271,94.4
545,0.0269,94.5
546,0.0267,94.52
547,0.0263,94.6
548,0.0261,94.64
549,0.0257,94.72
550,0.0255,94.79
551,0.0253,94.82
552,0.025,94.88
553,0.0249,94.93
554,0.0246,94.99
555,0.0244,95.04
556,0.0241,95.09
557,0.0239,95.15
558,0.0237,95.2
559,0.0235,95.26
560,0.0232,95.31
561,0.0229,95.37
562,0.0227,95.4
563,0.0225,95.46
564,0.0222,95.52
565,0.022,95.55
566,0.0217,95.6
567,0.0216,95.64
568,0.0214,95.68
569,0.0212,95.74
570,0.021,95.77
571,0.0208,95.85
572,0.0206,95.85
573,0.0205,95.93
574,0.0202,95.97
575,0.0201,96
576,0.0198,96.06
577,0.0198,96.08
578,0.0196,96.15
579,0.0193,96.2
580,0.0191,96.23
581,0.019,96.26
582,0.0188,96.3
583,0.0186,96.33
584,0.0184,96.37
585,0.0182,96.4
586,0.0181,96.43
587,0.018,96.45
588,0.0178,96.5
589,0.0176,96.53
590,0.0174,96.57
591,0.0171,96.62
592,0.017,96.62
593,0.0169,96.67
594,0.0168,96.72
595,0.0167,96.72
596,0.0164,96.81
597,0.0164,96.79
598,0.0163,96.83
599,0.016,96.91
600,0.0159,96.91
601,0.0157,96.98
602,0.0155,97
603,0.0154,97.06
604,0.0152,97.07
605,0.0152,97.09
606,0.015,97.13
607,0.0149,97.17
608,0.0148,97.22
609,0.0146,97.23
610,0.0145,97.28
611,0.0144,97.3
612,0.0143,97.32
613,0.0142,97.35
614,0.014,97.39
615,0.0139,97.41
616,0.0137,97.45
617,0.0136,97.47
618,0.0134,97.51
619,0.0133,97.52
620,0.0133,97.55
621,0.0131,97.57
622,0.013,97.62
623,0.0128,97.65
624,0.0127,97.65
625,0.0125,97.7
626,0.0125,97.71
627,0.0124,97.73
628,0.0123,97.77
629,0.0121,97.79
630,0.0121,97.84
631,0.0118,97.87
632,0.0118,97.9
633,0.0116,97.92
634,0.0115,97.95
635,0.0115,97.96
636,0.0113,97.99
637,0.0113,98.01
638,0.0112,98.04
639,0.0111,98.07
640,0.011,98.08
641,0.0108,98.1
642,0.0107,98.14
643,0.0105,98.15
644,0.0104,98.17
645,0.0104,98.19
646,0.0102,98.21
647,0.0102,98.23
648,0.0102,98.25
649,0.01,98.29
650,0.01,98.3
651,0.0099,98.31
652,0.0098,98.34
653,0.0096,98.35
654,0.0095,98.37
655,0.0094,98.39
656,0.0094,98.41
657,0.0092,98.45
658,0.0092,98.45
659,0.0092,98.48
660,0.0091,98.49
661,0.0089,98.51
662,0.0089,98.53
663,0.0088,98.54
664,0.0087,98.57
665,0.0087,98.59
666,0.0085,98.63
667,0.0085,98.63
668,0.0085,98.64
669,0.0083,98.65
670,0.0083,98.65
671,0.0083,98.66
672,0.0081,98.69
673,0.008,98.69
674,0.008,98.73
675,0.0078,98.73
676,0.0077,98.75
677,0.0077,98.78
678,0.0076,98.79
679,0.0076,98.81
680,0.0075,98.83
681,0.0074,98.86
682,0.0074,98.86
683,0.0072,98.88
684,0.0071,98.9
685,0.007,98.89
686,0.0071,98.91
687,0.0069,98.93
688,0.0069,98.94
689,0.0068,98.96
690,0.0068,98.98
691,0.0067,99
692,0.0066,99.01
693,0.0065,99.03
694,0.0064,99.07
695,0.0064,99.07
696,0.0064,99.07
697,0.0063,99.09
698,0.0063,99.11
699,0.0061,99.12
700,0.0062,99.12
701,0.0061,99.15
702,0.006,99.16
703,0.0059,99.17
704,0.0058,99.2
705,0.0057,99.21
706,0.0058,99.23
707,0.0057,99.25
708,0.0056,99.26
709,0.0055,99.28
710,0.0055,99.3
711,0.0054,99.31
712,0.0053,99.33
713,0.0054,99.32
714,0.0053,99.34
715,0.0053,99.35
716,0.0052,99.35
717,0.0051,99.37
718,0.0051,99.39
719,0.005,99.38
720,0.005,99.41
721,0.0048,99.42
722,0.0048,99.43
723,0.0048,99.44
724,0.0048,99.45
725,0.0048,99.46
726,0.0046,99.49
727,0.0046,99.49
728,0.0047,99.48
729,0.0044,99.53
730,0.0044,99.53
