BP-05P0, Time, 2017/07/12 03:16:07
BP-05P0, Operator, Smith 
BP-05P0, Lamp, 255 
BP-05P0, Slit,0.0  
BP-05P0, Scan From, 850.0nm
BP-05P0, Scan To, 390.0nm
BP-05P0, Scan Step, 1.0nm
BP-05P0, Sample Filter, 11
BP-05P0, memo,  
BP-05P0, WL(nm), Abs, T%
BP-05P0, 390.0, 0.0106, 97.59
BP-05P0, 391.0, 0.0104, 97.63
BP-05P0, 392.0, 0.0100, 97.71
BP-05P0, 393.0, 0.0099, 97.74
BP-05P0, 394.0, 0.0096, 97.81
BP-05P0, 395.0, 0.0095, 97.84
BP-05P0, 396.0, 0.0093, 97.88
BP-05P0, 397.0, 0.0091, 97.93
BP-05P0, 398.0, 0.0089, 97.97
BP-05P0, 399.0, 0.0088, 97.99
BP-05P0, 400.0, 0.0086, 98.04
BP-05P0, 401.0, 0.0084, 98.08
BP-05P0, 402.0, 0.0082, 98.12
BP-05P0, 403.0, 0.0081, 98.15
BP-05P0, 404.0, 0.0079, 98.20
BP-05P0, 405.0, 0.0078, 98.23
BP-05P0, 406.0, 0.0076, 98.26
BP-05P0, 407.0, 0.0074, 98.31
BP-05P0, 408.0, 0.0073, 98.33
BP-05P0, 409.0, 0.0072, 98.35
BP-05P0, 410.0, 0.0070, 98.41
BP-05P0, 411.0, 0.0069, 98.43
BP-05P0, 412.0, 0.0067, 98.47
BP-05P0, 413.0, 0.0066, 98.50
BP-05P0, 414.0, 0.0064, 98.54
BP-05P0, 415.0, 0.0063, 98.57
BP-05P0, 416.0, 0.0062, 98.59
BP-05P0, 417.0, 0.0060, 98.63
BP-05P0, 418.0, 0.0059, 98.64
BP-05P0, 419.0, 0.0057, 98.69
BP-05P0, 420.0, 0.0056, 98.71
BP-05P0, 421.0, 0.0055, 98.74
BP-05P0, 422.0, 0.0054, 98.77
BP-05P0, 423.0, 0.0052, 98.80
BP-05P0, 424.0, 0.0051, 98.83
BP-05P0, 425.0, 0.0050, 98.85
BP-05P0, 426.0, 0.0049, 98.88
BP-05P0, 427.0, 0.0048, 98.90
BP-05P0, 428.0, 0.0047, 98.92
BP-05P0, 429.0, 0.0046, 98.94
BP-05P0, 430.0, 0.0046, 98.95
BP-05P0, 431.0, 0.0044, 98.99
BP-05P0, 432.0, 0.0043, 99.02
BP-05P0, 433.0, 0.0042, 99.03
BP-05P0, 434.0, 0.0040, 99.08
BP-05P0, 435.0, 0.0040, 99.08
BP-05P0, 436.0, 0.0038, 99.12
BP-05P0, 437.0, 0.0037, 99.14
BP-05P0, 438.0, 0.0037, 99.16
BP-05P0, 439.0, 0.0036, 99.18
BP-05P0, 440.0, 0.0034, 99.22
BP-05P0, 441.0, 0.0034, 99.23
BP-05P0, 442.0, 0.0033, 99.24
BP-05P0, 443.0, 0.0032, 99.26
BP-05P0, 444.0, 0.0031, 99.28
BP-05P0, 445.0, 0.0032, 99.27
BP-05P0, 446.0, 0.0031, 99.29
BP-05P0, 447.0, 0.0031, 99.30
BP-05P0, 448.0, 0.0029, 99.34
BP-05P0, 449.0, 0.0028, 99.35
BP-05P0, 450.0, 0.0027, 99.38
BP-05P0, 451.0, 0.0028, 99.36
BP-05P0, 452.0, 0.0028, 99.36
BP-05P0, 453.0, 0.0027, 99.38
BP-05P0, 454.0, 0.0027, 99.39
BP-05P0, 455.0, 0.0026, 99.40
BP-05P0, 456.0, 0.0024, 99.45
BP-05P0, 457.0, 0.0025, 99.44
BP-05P0, 458.0, 0.0024, 99.45
BP-05P0, 459.0, 0.0023, 99.47
