Sample Name, RO-02P0
Time, 2017/07/12 04:32:54
Operator, Smith
Lamp, 255
Slit,0.0
Scan From, 850.0nm
Scan To, 390.0nm
Scan Step, 1.0nm
Sample Filter, 11
memo, 
WL(nm), Abs, T%
390.0, -0.0002, 100.05
391.0, -0.0002, 100.05
392.0, -0.0002, 100.04
393.0, -0.0001, 100.03
394.0, -0.0002, 100.05
395.0, -0.0002, 100.05
396.0, -0.0002, 100.05
397.0, -0.0002, 100.05
398.0, -0.0001, 100.02
399.0, -0.0002, 100.05
400.0, -0.0002, 100.05
401.0, -0.0002, 100.04
402.0, -0.0002, 100.04
403.0, -0.0002, 100.04
404.0, -0.0002, 100.04
405.0, -0.0002, 100.05
406.0, -0.0001, 100.03
407.0, -0.0002, 100.04
408.0, -0.0002, 100.04
409.0, -0.0002, 100.06
410.0, -0.0002, 100.05
411.0, -0.0003, 100.06
412.0, -0.0002, 100.05
413.0, -0.0003, 100.06
414.0, -0.0003, 100.06
415.0, -0.0003, 100.06
416.0, -0.0002, 100.05
417.0, -0.0002, 100.05
418.0, -0.0002, 100.04
419.0, -0.0002, 100.05
420.0, -0.0002, 100.05
421.0, -0.0002, 100.04
422.0, -0.0002, 100.05
423.0, -0.0002, 100.04
424.0, -0.0002, 100.05
425.0, -0.0002, 100.05
426.0, -0.0002, 100.05
427.0, -0.0002, 100.05
428.0, -0.0002, 100.06
429.0, -0.0002, 100.05
430.0, -0.0003, 100.06
431.0, -0.0002, 100.05
432.0, -0.0002, 100.05
433.0, -0.0002, 100.04
434.0, -0.0002, 100.05
435.0, -0.0002, 100.06
436.0, -0.0002, 100.05
437.0, -0.0002, 100.05
438.0, -0.0002, 100.04
439.0, -0.0002, 100.05
440.0, -0.0002, 100.06
441.0, -0.0002, 100.06
442.0, -0.0002, 100.06
443.0, -0.0003, 100.07
444.0, -0.0003, 100.07
445.0, -0.0003, 100.06
446.0, -0.0002, 100.05
447.0, -0.0003, 100.07
448.0, -0.0003, 100.06
449.0, -0.0003, 100.07
450.0, -0.0003, 100.07
451.0, -0.0001, 100.03
452.0, -0.0001, 100.03
453.0, -0.0001, 100.03
454.0, -0.0001, 100.03
455.0, -0.0001, 100.01
456.0, -0.0001, 100.02
457.0, -0.0001, 100.03
458.0, -0.0001, 100.01
459.0, -0.0000, 100.01
460.0, -0.0000, 100.01
461.0, -0.0000, 100.01
462.0, -0.0001, 100.02
463.0, -0.0001, 100.01
464.0, -0.0001, 100.02
465.0, -0.0001, 100.02
466.0, -0.0001, 100.01
467.0, -0.0001, 100.01
468.0, -0.0001, 100.02
469.0, -0.0001, 100.02
470.0, -0.0001, 100.03
471.0, -0.0001, 100.02
472.0, -0.0002, 100.04
473.0, -0.0001, 100.03
474.0, -0.0001, 100.02
475.0, -0.0001, 100.02
476.0, -0.0001, 100.02
477.0, -0.0001, 100.02
478.0, -0.0001, 100.02
479.0, -0.0000, 100.01
480.0, -0.0001, 100.02
481.0, -0.0000, 100.01
482.0, -0.0001, 100.02
483.0, -0.0001, 100.02
484.0, -0.0001, 100.02
485.0, -0.0001, 100.03
486.0, -0.0001, 100.02
487.0, -0.0000, 100.01
488.0, -0.0001, 100.02
489.0, -0.0000, 100.01
490.0, -0.0001, 100.02
491.0, -0.0000, 100.01
492.0, -0.0001, 100.03
493.0, -0.0001, 100.02
494.0, -0.0001, 100.02
495.0, -0.0001, 100.01
496.0, -0.0001, 100.03
497.0, -0.0001, 100.03
498.0, -0.0001, 100.02
499.0, -0.0001, 100.03
500.0, -0.0001, 100.01
501.0, -0.0001, 100.02
502.0, -0.0001, 100.03
503.0, -0.0001, 100.03
504.0, -0.0001, 100.03
505.0, -0.0001, 100.02
506.0, -0.0001, 100.02
507.0, -0.0001, 100.02
508.0, -0.0000, 100.01
509.0, -0.0001, 100.02
510.0, 0.0000, 99.99
511.0, -0.0001, 100.02
512.0, -0.0001, 100.02
513.0, -0.0001, 100.03
514.0, -0.0001, 100.03
515.0, -0.0001, 100.02
516.0, -0.0001, 100.03
517.0, -0.0001, 100.03
518.0, -0.0001, 100.03
519.0, -0.0001, 100.03
520.0, -0.0001, 100.03
521.0, -0.0001, 100.02
522.0, -0.0001, 100.02
523.0, -0.0001, 100.02
524.0, -0.0001, 100.03
525.0, -0.0000, 100.01
526.0, -0.0000, 100.01
527.0, -0.0001, 100.02
528.0, -0.0002, 100.04
529.0, -0.0001, 100.03
530.0, -0.0001, 100.03
