Sample Name, TP-05P0
Time, 2017/07/12 03:11:08
Operator, Smith
Lamp, 255
Slit,0.0
Scan From, 850.0nm
Scan To, 390.0nm
Scan Step, 1.0nm
Sample Filter, 11
memo, 
WL(nm), Abs, T%
595.0, -0.0005, 100.11
596.0, -0.0005, 100.11
597.0, -0.0005, 100.11
598.0, -0.0005, 100.12
599.0, -0.0004, 100.09
600.0, -0.0005, 100.12
601.0, -0.0005, 100.11
602.0, -0.0004, 100.10
603.0, -0.0004, 100.10
604.0, -0.0004, 100.09
605.0, -0.0004, 100.09
606.0, -0.0004, 100.10
607.0, -0.0005, 100.11
608.0, -0.0004, 100.09
609.0, -0.0004, 100.10
610.0, -0.0004, 100.10
611.0, -0.0004, 100.09
612.0, -0.0003, 100.07
613.0, -0.0003, 100.07
614.0, -0.0003, 100.07
615.0, -0.0003, 100.07
616.0, -0.0003, 100.08
617.0, -0.0003, 100.08
618.0, -0.0004, 100.08
619.0, -0.0004, 100.09
620.0, -0.0003, 100.08
621.0, -0.0003, 100.08
622.0, -0.0003, 100.07
623.0, -0.0003, 100.08
624.0, -0.0004, 100.08
625.0, -0.0004, 100.08
626.0, -0.0004, 100.10
627.0, -0.0004, 100.09
628.0, -0.0004, 100.09
629.0, -0.0004, 100.10
630.0, -0.0004, 100.09
631.0, -0.0003, 100.07
632.0, -0.0003, 100.07
633.0, -0.0003, 100.08
634.0, -0.0003, 100.07
635.0, -0.0003, 100.08
636.0, -0.0003, 100.07
637.0, -0.0003, 100.07
638.0, -0.0003, 100.07
639.0, -0.0003, 100.08
640.0, -0.0003, 100.07
641.0, -0.0002, 100.05
642.0, -0.0002, 100.06
643.0, -0.0002, 100.05
644.0, -0.0002, 100.05
645.0, -0.0002, 100.05
646.0, -0.0002, 100.05
647.0, -0.0002, 100.04
648.0, -0.0002, 100.06
649.0, -0.0002, 100.05
650.0, -0.0003, 100.07
651.0, -0.0003, 100.08
652.0, -0.0003, 100.07
653.0, -0.0003, 100.06
654.0, -0.0003, 100.06
655.0, -0.0003, 100.07
656.0, -0.0003, 100.07
657.0, -0.0003, 100.07
658.0, -0.0003, 100.07
659.0, -0.0003, 100.07
660.0, -0.0003, 100.07
661.0, -0.0003, 100.07
662.0, -0.0003, 100.06
663.0, -0.0002, 100.06
664.0, -0.0002, 100.04
665.0, -0.0001, 100.03
666.0, -0.0002, 100.04
667.0, -0.0001, 100.02
668.0, -0.0001, 100.02
669.0, -0.0001, 100.03
670.0, -0.0001, 100.03
671.0, -0.0002, 100.04
672.0, -0.0001, 100.02
673.0, -0.0001, 100.02
674.0, -0.0002, 100.04
675.0, -0.0002, 100.04
676.0, -0.0002, 100.04
677.0, -0.0002, 100.04
678.0, -0.0002, 100.05
679.0, -0.0002, 100.05
680.0, -0.0002, 100.04
681.0, -0.0002, 100.05
682.0, -0.0002, 100.05
683.0, -0.0002, 100.04
684.0, -0.0001, 100.03
685.0, -0.0001, 100.03
686.0, -0.0001, 100.03
687.0, -0.0001, 100.02
688.0, -0.0001, 100.02
689.0, -0.0000, 100.01
690.0, -0.0001, 100.01
691.0, -0.0000, 100.01
