Sample Name, DR-02P0
Time, 2017/07/12 04:50:07
Operator, Smith
Lamp, 255
Slit,0.0
Scan From, 850.0nm
Scan To, 390.0nm
Scan Step, 1.0nm
Sample Filter, 11
memo, 
WL(nm), Abs, T%
390.0, 0.0086, 98.05
391.0, 0.0085, 98.06
392.0, 0.0082, 98.13
393.0, 0.0083, 98.11
394.0, 0.0080, 98.17
395.0, 0.0080, 98.17
396.0, 0.0079, 98.19
397.0, 0.0078, 98.22
398.0, 0.0079, 98.20
399.0, 0.0076, 98.27
400.0, 0.0076, 98.27
401.0, 0.0075, 98.28
402.0, 0.0074, 98.31
403.0, 0.0073, 98.33
404.0, 0.0072, 98.35
405.0, 0.0072, 98.36
406.0, 0.0072, 98.36
407.0, 0.0070, 98.39
408.0, 0.0070, 98.39
409.0, 0.0068, 98.44
410.0, 0.0068, 98.45
411.0, 0.0067, 98.47
412.0, 0.0066, 98.50
413.0, 0.0065, 98.51
414.0, 0.0064, 98.53
415.0, 0.0064, 98.54
416.0, 0.0064, 98.54
417.0, 0.0063, 98.56
418.0, 0.0063, 98.57
419.0, 0.0061, 98.61
420.0, 0.0061, 98.60
421.0, 0.0060, 98.62
422.0, 0.0059, 98.65
423.0, 0.0059, 98.66
424.0, 0.0058, 98.68
425.0, 0.0057, 98.69
426.0, 0.0056, 98.71
427.0, 0.0056, 98.72
428.0, 0.0054, 98.76
429.0, 0.0054, 98.77
430.0, 0.0053, 98.79
431.0, 0.0053, 98.78
432.0, 0.0053, 98.79
433.0, 0.0053, 98.80
434.0, 0.0052, 98.80
435.0, 0.0052, 98.82
436.0, 0.0051, 98.83
437.0, 0.0051, 98.84
438.0, 0.0050, 98.86
439.0, 0.0050, 98.86
440.0, 0.0049, 98.87
441.0, 0.0049, 98.88
442.0, 0.0048, 98.89
443.0, 0.0047, 98.92
444.0, 0.0046, 98.94
445.0, 0.0046, 98.94
446.0, 0.0046, 98.96
447.0, 0.0045, 98.97
448.0, 0.0044, 98.99
449.0, 0.0044, 98.99
450.0, 0.0044, 99.00
451.0, 0.0046, 98.95
452.0, 0.0045, 98.96
453.0, 0.0045, 98.98
454.0, 0.0045, 98.98
455.0, 0.0044, 98.99
456.0, 0.0044, 99.00
457.0, 0.0044, 99.00
458.0, 0.0043, 99.01
459.0, 0.0044, 99.00
460.0, 0.0042, 99.03
461.0, 0.0042, 99.03
462.0, 0.0041, 99.06
463.0, 0.0041, 99.05
464.0, 0.0041, 99.05
465.0, 0.0040, 99.08
466.0, 0.0040, 99.09
467.0, 0.0040, 99.08
468.0, 0.0040, 99.09
469.0, 0.0039, 99.10
470.0, 0.0039, 99.11
471.0, 0.0039, 99.10
472.0, 0.0038, 99.13
473.0, 0.0038, 99.13
474.0, 0.0038, 99.13
475.0, 0.0038, 99.13
476.0, 0.0038, 99.13
477.0, 0.0038, 99.14
478.0, 0.0037, 99.15
479.0, 0.0038, 99.13
480.0, 0.0037, 99.15
481.0, 0.0038, 99.13
482.0, 0.0037, 99.15
483.0, 0.0036, 99.17
484.0, 0.0036, 99.17
485.0, 0.0035, 99.20
486.0, 0.0036, 99.19
487.0, 0.0035, 99.20
488.0, 0.0034, 99.22
489.0, 0.0034, 99.21
490.0, 0.0034, 99.23
491.0, 0.0034, 99.22
492.0, 0.0033, 99.24
493.0, 0.0033, 99.24
494.0, 0.0033, 99.24
495.0, 0.0033, 99.23
496.0, 0.0033, 99.25
497.0, 0.0032, 99.26
498.0, 0.0032, 99.26
499.0, 0.0032, 99.26
500.0, 0.0032, 99.27
501.0, 0.0032, 99.27
502.0, 0.0031, 99.28
503.0, 0.0032, 99.28
504.0, 0.0030, 99.30
505.0, 0.0031, 99.30
506.0, 0.0031, 99.30
507.0, 0.0030, 99.31
508.0, 0.0031, 99.30
509.0, 0.0030, 99.32
510.0, 0.0031, 99.30
511.0, 0.0029, 99.32
512.0, 0.0030, 99.32
513.0, 0.0030, 99.32
514.0, 0.0030, 99.31
515.0, 0.0030, 99.32
516.0, 0.0029, 99.33
517.0, 0.0029, 99.33
518.0, 0.0028, 99.35
519.0, 0.0029, 99.34
520.0, 0.0029, 99.34
521.0, 0.0029, 99.33
522.0, 0.0030, 99.32
523.0, 0.0029, 99.33
524.0, 0.0028, 99.35
525.0, 0.0028, 99.35
526.0, 0.0028, 99.35
527.0, 0.0028, 99.36
528.0, 0.0027, 99.39
529.0, 0.0027, 99.38
530.0, 0.0027, 99.38
531.0, 0.0027, 99.37
532.0, 0.0027, 99.37
533.0, 0.0028, 99.36
534.0, 0.0027, 99.39
535.0, 0.0029, 99.34
536.0, 0.0027, 99.37
537.0, 0.0027, 99.38
538.0, 0.0027, 99.37
539.0, 0.0026, 99.40
540.0, 0.0028, 99.35
541.0, 0.0027, 99.39
542.0, 0.0026, 99.41
543.0, 0.0027, 99.37
544.0, 0.0026, 99.40
545.0, 0.0027, 99.37
546.0, 0.0026, 99.39
547.0, 0.0027, 99.39
548.0, 0.0026, 99.40
549.0, 0.0026, 99.41
550.0, 0.0026, 99.40
551.0, 0.0025, 99.42
552.0, 0.0025, 99.42
553.0, 0.0025, 99.42
554.0, 0.0025, 99.43
555.0, 0.0025, 99.43
556.0, 0.0025, 99.42
557.0, 0.0025, 99.43
558.0, 0.0025, 99.42
559.0, 0.0025, 99.42
560.0, 0.0026, 99.40
561.0, 0.0025, 99.42
562.0, 0.0025, 99.42
563.0, 0.0024, 99.45
564.0, 0.0024, 99.45
565.0, 0.0023, 99.46
566.0, 0.0023, 99.47
567.0, 0.0023, 99.46
568.0, 0.0023, 99.46
569.0, 0.0023, 99.46
570.0, 0.0023, 99.47
571.0, 0.0022, 99.49
572.0, 0.0023, 99.48
573.0, 0.0023, 99.48
574.0, 0.0022, 99.49
575.0, 0.0023, 99.48
576.0, 0.0022, 99.49
577.0, 0.0023, 99.48
578.0, 0.0022, 99.50
579.0, 0.0020, 99.53
580.0, 0.0022, 99.50
581.0, 0.0022, 99.49
582.0, 0.0022, 99.50
583.0, 0.0022, 99.49
584.0, 0.0022, 99.49
585.0, 0.0022, 99.49
586.0, 0.0022, 99.49
587.0, 0.0023, 99.47
588.0, 0.0023, 99.48
589.0, 0.0023, 99.47
590.0, 0.0023, 99.47
591.0, 0.0023, 99.47
592.0, 0.0023, 99.46
593.0, 0.0023, 99.46
594.0, 0.0024, 99.45
595.0, 0.0023, 99.47
596.0, 0.0022, 99.49
597.0, 0.0023, 99.47
598.0, 0.0022, 99.49
599.0, 0.0023, 99.48
600.0, 0.0022, 99.50
601.0, 0.0023, 99.47
602.0, 0.0022, 99.49
603.0, 0.0022, 99.50
604.0, 0.0022, 99.50
605.0, 0.0021, 99.52
606.0, 0.0021, 99.53
607.0, 0.0020, 99.53
608.0, 0.0020, 99.54
609.0, 0.0020, 99.53
610.0, 0.0021, 99.52
611.0, 0.0020, 99.53
612.0, 0.0020, 99.53
613.0, 0.0021, 99.52
614.0, 0.0021, 99.52
615.0, 0.0020, 99.55
616.0, 0.0020, 99.53
617.0, 0.0020, 99.54
618.0, 0.0020, 99.54
619.0, 0.0020, 99.54
620.0, 0.0020, 99.55
621.0, 0.0019, 99.56
622.0, 0.0019, 99.57
623.0, 0.0019, 99.57
624.0, 0.0019, 99.56
625.0, 0.0019, 99.55
626.0, 0.0019, 99.56
627.0, 0.0019, 99.57
628.0, 0.0019, 99.57
629.0, 0.0019, 99.56
630.0, 0.0019, 99.57
631.0, 0.0019, 99.56
632.0, 0.0019, 99.56
633.0, 0.0019, 99.55
634.0, 0.0018, 99.58
635.0, 0.0019, 99.57
636.0, 0.0019, 99.57
637.0, 0.0019, 99.56
638.0, 0.0018, 99.58
639.0, 0.0019, 99.56
640.0, 0.0019, 99.57
641.0, 0.0018, 99.58
642.0, 0.0019, 99.57
643.0, 0.0019, 99.57
644.0, 0.0018, 99.58
645.0, 0.0019, 99.57
646.0, 0.0018, 99.58
647.0, 0.0018, 99.58
648.0, 0.0017, 99.60
649.0, 0.0018, 99.58
650.0, 0.0017, 99.60
651.0, 0.0018, 99.59
652.0, 0.0018, 99.59
653.0, 0.0018, 99.59
654.0, 0.0018, 99.58
655.0, 0.0019, 99.57
656.0, 0.0018, 99.58
657.0, 0.0018, 99.58
658.0, 0.0019, 99.57
659.0, 0.0018, 99.58
660.0, 0.0019, 99.57
661.0, 0.0018, 99.58
662.0, 0.0019, 99.57
663.0, 0.0018, 99.58
664.0, 0.0018, 99.59
665.0, 0.0018, 99.58
666.0, 0.0017, 99.60
667.0, 0.0017, 99.60
668.0, 0.0018, 99.59
669.0, 0.0018, 99.59
670.0, 0.0018, 99.60
671.0, 0.0018, 99.60
672.0, 0.0017, 99.60
673.0, 0.0017, 99.60
674.0, 0.0017, 99.60
675.0, 0.0018, 99.59
676.0, 0.0018, 99.60
677.0, 0.0018, 99.59
678.0, 0.0017, 99.61
679.0, 0.0017, 99.61
680.0, 0.0017, 99.61
681.0, 0.0017, 99.61
682.0, 0.0017, 99.62
683.0, 0.0017, 99.62
684.0, 0.0017, 99.61
685.0, 0.0017, 99.61
686.0, 0.0017, 99.61
687.0, 0.0017, 99.61
688.0, 0.0017, 99.61
689.0, 0.0018, 99.59
690.0, 0.0017, 99.61
691.0, 0.0017, 99.60
692.0, 0.0017, 99.61
693.0, 0.0016, 99.63
694.0, 0.0016, 99.63
695.0, 0.0015, 99.65
696.0, 0.0015, 99.65
697.0, 0.0016, 99.64
698.0, 0.0016, 99.64
699.0, 0.0015, 99.64
700.0, 0.0015, 99.64
701.0, 0.0016, 99.64
702.0, 0.0016, 99.63
703.0, 0.0016, 99.63
704.0, 0.0016, 99.62
705.0, 0.0016, 99.64
706.0, 0.0016, 99.64
707.0, 0.0016, 99.63
708.0, 0.0016, 99.62
709.0, 0.0016, 99.63
710.0, 0.0016, 99.63
711.0, 0.0016, 99.63
712.0, 0.0016, 99.63
713.0, 0.0016, 99.64
714.0, 0.0015, 99.65
715.0, 0.0015, 99.67
716.0, 0.0015, 99.66
717.0, 0.0015, 99.66
718.0, 0.0015, 99.66
719.0, 0.0015, 99.66
720.0, 0.0015, 99.67
721.0, 0.0014, 99.67
722.0, 0.0015, 99.67
723.0, 0.0015, 99.65
724.0, 0.0015, 99.66
725.0, 0.0015, 99.66
726.0, 0.0013, 99.69
727.0, 0.0014, 99.67
728.0, 0.0014, 99.68
729.0, 0.0013, 99.70
730.0, 0.0013, 99.71
731.0, 0.0012, 99.73
732.0, 0.0013, 99.70
733.0, 0.0013, 99.71
734.0, 0.0012, 99.71
735.0, 0.0013, 99.69
736.0, 0.0013, 99.70
737.0, 0.0014, 99.69
738.0, 0.0014, 99.68
739.0, 0.0015, 99.66
740.0, 0.0014, 99.67
741.0, 0.0015, 99.66
742.0, 0.0015, 99.66
743.0, 0.0015, 99.67
744.0, 0.0015, 99.66
745.0, 0.0016, 99.64
746.0, 0.0016, 99.64
747.0, 0.0016, 99.64
748.0, 0.0016, 99.64
749.0, 0.0016, 99.62
750.0, 0.0016, 99.64
751.0, 0.0016, 99.62
752.0, 0.0017, 99.62
753.0, 0.0016, 99.63
754.0, 0.0017, 99.61
755.0, 0.0016, 99.62
756.0, 0.0016, 99.62
757.0, 0.0017, 99.60
758.0, 0.0016, 99.62
759.0, 0.0017, 99.61
760.0, 0.0017, 99.62
761.0, 0.0016, 99.62
762.0, 0.0016, 99.64
763.0, 0.0015, 99.65
764.0, 0.0015, 99.65
765.0, 0.0015, 99.65
766.0, 0.0015, 99.65
767.0, 0.0016, 99.64
768.0, 0.0015, 99.65
769.0, 0.0015, 99.65
770.0, 0.0015, 99.65
771.0, 0.0016, 99.64
772.0, 0.0015, 99.65
773.0, 0.0016, 99.64
774.0, 0.0015, 99.66
775.0, 0.0014, 99.68
776.0, 0.0014, 99.68
777.0, 0.0015, 99.65
778.0, 0.0014, 99.68
779.0, 0.0015, 99.66
780.0, 0.0013, 99.70
781.0, 0.0013, 99.70
782.0, 0.0014, 99.68
783.0, 0.0013, 99.70
784.0, 0.0013, 99.70
785.0, 0.0013, 99.71
786.0, 0.0014, 99.69
787.0, 0.0014, 99.68
788.0, 0.0013, 99.69
789.0, 0.0014, 99.68
790.0, 0.0013, 99.71
791.0, 0.0014, 99.69
792.0, 0.0013, 99.70
793.0, 0.0013, 99.71
794.0, 0.0012, 99.72
795.0, 0.0012, 99.73
