RO-01P0, Time, 2017/07/12 05:20:08
RO-01P0, Operator, Smith 
RO-01P0, Lamp, 255 
RO-01P0, Slit,0.0  
RO-01P0, Scan From, 850.0nm
RO-01P0, Scan To, 390.0nm
RO-01P0, Scan Step, 1.0nm
RO-01P0, Sample Filter, 11
RO-01P0, memo,  
RO-01P0, 513.0, -0.0000, 100.01
RO-01P0, 514.0, -0.0001, 100.02
RO-01P0, 515.0, -0.0000, 100.01
RO-01P0, 516.0, -0.0001, 100.03
RO-01P0, 517.0, -0.0001, 100.02
RO-01P0, 518.0, -0.0000, 100.01
RO-01P0, 519.0, -0.0001, 100.02
RO-01P0, 520.0, -0.0001, 100.03
RO-01P0, 521.0, -0.0001, 100.03
RO-01P0, 522.0, -0.0001, 100.03
RO-01P0, 523.0, -0.0001, 100.02
RO-01P0, 524.0, -0.0001, 100.03
RO-01P0, 525.0, -0.0001, 100.03
RO-01P0, 526.0, -0.0001, 100.03
RO-01P0, 527.0, -0.0001, 100.03
RO-01P0, 528.0, -0.0002, 100.04
RO-01P0, 529.0, -0.0001, 100.03
RO-01P0, 530.0, -0.0001, 100.02
RO-01P0, 531.0, -0.0002, 100.04
RO-01P0, 532.0, -0.0002, 100.05
RO-01P0, 533.0, -0.0002, 100.04
RO-01P0, 534.0, -0.0002, 100.05
RO-01P0, 535.0, -0.0001, 100.02
RO-01P0, 536.0, -0.0002, 100.04
RO-01P0, 537.0, -0.0001, 100.02
RO-01P0, 538.0, 0.0000, 100.00
RO-01P0, 539.0, -0.0001, 100.03
RO-01P0, 540.0, -0.0001, 100.01
RO-01P0, 541.0, -0.0001, 100.03
RO-01P0, 542.0, -0.0001, 100.02
RO-01P0, 543.0, -0.0001, 100.02
RO-01P0, 544.0, -0.0002, 100.04
RO-01P0, 545.0, -0.0001, 100.02
RO-01P0, 546.0, -0.0002, 100.04
RO-01P0, 547.0, -0.0001, 100.02
RO-01P0, 548.0, -0.0001, 100.01
RO-01P0, 549.0, -0.0000, 100.01
RO-01P0, 550.0, -0.0001, 100.01
RO-01P0, 551.0, -0.0001, 100.03
RO-01P0, 552.0, -0.0001, 100.03
RO-01P0, 553.0, -0.0001, 100.02
RO-01P0, 554.0, -0.0001, 100.03
RO-01P0, 555.0, -0.0001, 100.03
RO-01P0, 556.0, -0.0001, 100.03
RO-01P0, 557.0, -0.0001, 100.03
RO-01P0, 558.0, -0.0001, 100.03
RO-01P0, 559.0, -0.0001, 100.03
RO-01P0, 560.0, -0.0001, 100.03
RO-01P0, 561.0, -0.0001, 100.03
RO-01P0, 562.0, -0.0001, 100.02
RO-01P0, 563.0, -0.0001, 100.02
RO-01P0, 564.0, -0.0001, 100.02
RO-01P0, 565.0, -0.0001, 100.02
RO-01P0, 566.0, -0.0001, 100.01
RO-01P0, 567.0, -0.0001, 100.01
RO-01P0, 568.0, -0.0001, 100.02
RO-01P0, 569.0, -0.0001, 100.03
RO-01P0, 570.0, -0.0001, 100.03
RO-01P0, 571.0, -0.0001, 100.03
RO-01P0, 572.0, -0.0001, 100.03
RO-01P0, 573.0, -0.0003, 100.06
RO-01P0, 574.0, -0.0001, 100.03
RO-01P0, 575.0, -0.0002, 100.04
RO-01P0, 576.0, -0.0001, 100.03
RO-01P0, 577.0, -0.0001, 100.02
RO-01P0, 578.0, -0.0001, 100.01
RO-01P0, 579.0, -0.0001, 100.03
RO-01P0, 580.0, -0.0001, 100.03
RO-01P0, 581.0, -0.0001, 100.01
RO-01P0, 582.0, -0.0001, 100.03
RO-01P0, 583.0, -0.0001, 100.03
RO-01P0, 584.0, -0.0001, 100.02
RO-01P0, 585.0, -0.0001, 100.02
RO-01P0, 586.0, 0.0002, 99.95
RO-01P0, 587.0, 0.0002, 99.96
RO-01P0, 588.0, 0.0002, 99.96
RO-01P0, 589.0, 0.0002, 99.95
RO-01P0, 590.0, 0.0002, 99.96
RO-01P0, 591.0, 0.0002, 99.94
RO-01P0, 592.0, 0.0002, 99.96
RO-01P0, 593.0, 0.0002, 99.95
RO-01P0, 594.0, 0.0003, 99.94
RO-01P0, 595.0, 0.0002, 99.94
RO-01P0, 596.0, 0.0003, 99.94
RO-01P0, 597.0, 0.0001, 99.98
RO-01P0, 598.0, 0.0001, 99.97
RO-01P0, 599.0, 0.0002, 99.96
RO-01P0, 600.0, 0.0001, 99.97
RO-01P0, 601.0, 0.0002, 99.96
RO-01P0, 602.0, 0.0001, 99.97
RO-01P0, 603.0, 0.0001, 99.98
RO-01P0, 604.0, 0.0002, 99.96
RO-01P0, 605.0, 0.0002, 99.96
RO-01P0, 606.0, 0.0002, 99.94
RO-01P0, 607.0, 0.0003, 99.94
RO-01P0, 608.0, 0.0002, 99.95
RO-01P0, 609.0, 0.0002, 99.95
RO-01P0, 610.0, 0.0002, 99.95
RO-01P0, 611.0, 0.0002, 99.95
RO-01P0, 612.0, 0.0002, 99.95
RO-01P0, 613.0, 0.0001, 99.97
RO-01P0, 614.0, 0.0002, 99.96
RO-01P0, 615.0, 0.0003, 99.94
RO-01P0, 616.0, 0.0002, 99.95
RO-01P0, 617.0, 0.0002, 99.94
RO-01P0, 618.0, 0.0002, 99.96
RO-01P0, 619.0, 0.0002, 99.95
RO-01P0, 620.0, 0.0002, 99.96
RO-01P0, 621.0, 0.0002, 99.96
RO-01P0, 622.0, 0.0002, 99.95
RO-01P0, 623.0, 0.0003, 99.94
RO-01P0, 624.0, 0.0003, 99.94
RO-01P0, 625.0, 0.0003, 99.94
RO-01P0, 626.0, 0.0003, 99.94
RO-01P0, 627.0, 0.0003, 99.94
RO-01P0, 628.0, 0.0002, 99.95
RO-01P0, 629.0, 0.0003, 99.94
RO-01P0, 630.0, 0.0002, 99.95
RO-01P0, 631.0, 0.0002, 99.95
RO-01P0, 632.0, 0.0003, 99.94
RO-01P0, 633.0, 0.0003, 99.93
RO-01P0, 634.0, 0.0002, 99.94
RO-01P0, 635.0, 0.0002, 99.94
RO-01P0, 636.0, 0.0001, 99.97
RO-01P0, 637.0, 0.0002, 99.96
RO-01P0, 638.0, 0.0002, 99.96
RO-01P0, 639.0, 0.0002, 99.96
RO-01P0, 640.0, 0.0002, 99.96
RO-01P0, 641.0, 0.0002, 99.95
RO-01P0, 642.0, 0.0002, 99.95
RO-01P0, 643.0, 0.0002, 99.96
RO-01P0, 644.0, 0.0002, 99.95
RO-01P0, 645.0, 0.0003, 99.94
RO-01P0, 646.0, 0.0002, 99.96
RO-01P0, 647.0, 0.0001, 99.97
RO-01P0, 648.0, 0.0001, 99.98
RO-01P0, 649.0, 0.0001, 99.98
RO-01P0, 650.0, 0.0001, 99.98
RO-01P0, 651.0, 0.0001, 99.98
RO-01P0, 652.0, 0.0001, 99.98
RO-01P0, 653.0, 0.0001, 99.97
RO-01P0, 654.0, 0.0001, 99.97
RO-01P0, 655.0, 0.0001, 99.97
RO-01P0, 656.0, 0.0001, 99.97
RO-01P0, 657.0, 0.0002, 99.96
RO-01P0, 658.0, 0.0002, 99.96
RO-01P0, 659.0, 0.0002, 99.96
RO-01P0, 660.0, 0.0001, 99.97
RO-01P0, 661.0, 0.0001, 99.97
RO-01P0, 662.0, 0.0002, 99.95
RO-01P0, 663.0, 0.0002, 99.96
RO-01P0, 664.0, 0.0002, 99.95
RO-01P0, 665.0, 0.0001, 99.98
RO-01P0, 666.0, 0.0001, 99.97
RO-01P0, 667.0, 0.0001, 99.98
RO-01P0, 668.0, 0.0001, 99.97
RO-01P0, 669.0, 0.0001, 99.97
RO-01P0, 670.0, 0.0001, 99.97
RO-01P0, 671.0, 0.0002, 99.95
RO-01P0, 672.0, 0.0002, 99.96
RO-01P0, 673.0, 0.0002, 99.95
RO-01P0, 674.0, 0.0002, 99.96
RO-01P0, 675.0, 0.0002, 99.95
RO-01P0, 676.0, 0.0002, 99.95
RO-01P0, 677.0, 0.0003, 99.93
RO-01P0, 678.0, 0.0003, 99.94
RO-01P0, 679.0, 0.0004, 99.91
RO-01P0, 680.0, 0.0003, 99.93
RO-01P0, 681.0, 0.0002, 99.95
RO-01P0, 682.0, 0.0002, 99.96
RO-01P0, 683.0, 0.0002, 99.96
RO-01P0, 684.0, 0.0002, 99.96
RO-01P0, 685.0, 0.0002, 99.96
RO-01P0, 686.0, 0.0001, 99.97
RO-01P0, 687.0, 0.0002, 99.96
RO-01P0, 688.0, 0.0001, 99.97
RO-01P0, 689.0, 0.0002, 99.96
RO-01P0, 690.0, 0.0001, 99.97
RO-01P0, 691.0, 0.0002, 99.96
RO-01P0, 692.0, 0.0002, 99.96
RO-01P0, 693.0, 0.0002, 99.96
RO-01P0, 694.0, 0.0002, 99.95
RO-01P0, 695.0, 0.0002, 99.95
RO-01P0, 696.0, 0.0002, 99.96
RO-01P0, 697.0, 0.0002, 99.95
RO-01P0, 698.0, 0.0002, 99.95
RO-01P0, 699.0, 0.0002, 99.96
RO-01P0, 700.0, 0.0001, 99.97
RO-01P0, 701.0, 0.0002, 99.96
RO-01P0, 702.0, 0.0002, 99.95
RO-01P0, 703.0, 0.0002, 99.94
RO-01P0, 704.0, 0.0002, 99.94
RO-01P0, 705.0, 0.0002, 99.95
RO-01P0, 706.0, 0.0002, 99.95
RO-01P0, 707.0, 0.0002, 99.95
RO-01P0, 708.0, 0.0002, 99.95
RO-01P0, 709.0, 0.0002, 99.95
RO-01P0, 710.0, 0.0002, 99.96
RO-01P0, 711.0, 0.0002, 99.96
RO-01P0, 712.0, 0.0001, 99.97
RO-01P0, 713.0, 0.0001, 99.97
RO-01P0, 714.0, 0.0001, 99.97
RO-01P0, 715.0, 0.0002, 99.95
RO-01P0, 716.0, 0.0002, 99.95
RO-01P0, 717.0, 0.0002, 99.95
RO-01P0, 718.0, 0.0002, 99.96
RO-01P0, 719.0, 0.0002, 99.96
RO-01P0, 720.0, 0.0002, 99.96
RO-01P0, 721.0, 0.0001, 99.98
RO-01P0, 722.0, 0.0001, 99.98
RO-01P0, 723.0, 0.0002, 99.95
RO-01P0, 724.0, 0.0002, 99.95
RO-01P0, 725.0, 0.0002, 99.95
RO-01P0, 726.0, 0.0002, 99.96
RO-01P0, 727.0, 0.0003, 99.93
RO-01P0, 728.0, 0.0003, 99.93
RO-01P0, 729.0, 0.0004, 99.92
RO-01P0, 730.0, 0.0003, 99.93
RO-01P0, 731.0, 0.0003, 99.93
RO-01P0, 732.0, 0.0003, 99.93
RO-01P0, 733.0, 0.0004, 99.92
RO-01P0, 734.0, 0.0003, 99.92
RO-01P0, 735.0, 0.0004, 99.91
RO-01P0, 736.0, 0.0004, 99.91
RO-01P0, 737.0, 0.0005, 99.89
RO-01P0, 738.0, 0.0004, 99.90
RO-01P0, 739.0, 0.0004, 99.90
RO-01P0, 740.0, 0.0004, 99.91
RO-01P0, 741.0, 0.0003, 99.92
RO-01P0, 742.0, 0.0003, 99.93
RO-01P0, 743.0, 0.0003, 99.94
RO-01P0, 744.0, 0.0003, 99.93
RO-01P0, 745.0, 0.0003, 99.94
RO-01P0, 746.0, 0.0003, 99.93
RO-01P0, 747.0, 0.0003, 99.93
RO-01P0, 748.0, 0.0003, 99.93
RO-01P0, 749.0, 0.0003, 99.93
RO-01P0, 750.0, 0.0004, 99.92
RO-01P0, 751.0, 0.0003, 99.92
RO-01P0, 752.0, 0.0004, 99.91
RO-01P0, 753.0, 0.0003, 99.93
RO-01P0, 754.0, 0.0004, 99.91
RO-01P0, 755.0, 0.0003, 99.94
RO-01P0, 756.0, 0.0002, 99.94
RO-01P0, 757.0, 0.0003, 99.94
RO-01P0, 758.0, 0.0002, 99.95
RO-01P0, 759.0, 0.0003, 99.94
RO-01P0, 760.0, 0.0003, 99.93
RO-01P0, 761.0, 0.0002, 99.95
RO-01P0, 762.0, 0.0002, 99.95
RO-01P0, 763.0, 0.0002, 99.95
RO-01P0, 764.0, 0.0003, 99.94
RO-01P0, 765.0, 0.0003, 99.94
RO-01P0, 766.0, 0.0003, 99.94
RO-01P0, 767.0, 0.0003, 99.94
RO-01P0, 768.0, 0.0002, 99.94
RO-01P0, 769.0, 0.0002, 99.96
RO-01P0, 770.0, 0.0002, 99.95
RO-01P0, 771.0, 0.0001, 99.97
RO-01P0, 772.0, 0.0001, 99.97
RO-01P0, 773.0, 0.0001, 99.97
RO-01P0, 774.0, 0.0001, 99.98
RO-01P0, 775.0, 0.0001, 99.97
RO-01P0, 776.0, 0.0001, 99.97
RO-01P0, 777.0, 0.0002, 99.95
RO-01P0, 778.0, 0.0002, 99.96
RO-01P0, 779.0, 0.0003, 99.94
RO-01P0, 780.0, 0.0003, 99.94
RO-01P0, 781.0, 0.0003, 99.94
RO-01P0, 782.0, 0.0002, 99.96
RO-01P0, 783.0, 0.0001, 99.97
RO-01P0, 784.0, 0.0002, 99.96
RO-01P0, 785.0, 0.0001, 99.97
RO-01P0, 786.0, 0.0001, 99.97
RO-01P0, 787.0, 0.0001, 99.97
RO-01P0, 788.0, 0.0001, 99.98
RO-01P0, 789.0, 0.0001, 99.98
RO-01P0, 790.0, 0.0001, 99.98
RO-01P0, 791.0, 0.0001, 99.97
RO-01P0, 792.0, 0.0001, 99.97
RO-01P0, 793.0, 0.0001, 99.98
RO-01P0, 794.0, 0.0001, 99.97
RO-01P0, 795.0, 0.0001, 99.97
RO-01P0, 796.0, 0.0001, 99.98
RO-01P0, 797.0, 0.0001, 99.97
RO-01P0, 798.0, 0.0001, 99.97
RO-01P0, 799.0, 0.0002, 99.96
RO-01P0, 800.0, 0.0001, 99.97
RO-01P0, 801.0, 0.0002, 99.95
RO-01P0, 802.0, 0.0002, 99.96
RO-01P0, 803.0, 0.0002, 99.95
RO-01P0, 804.0, 0.0002, 99.96
RO-01P0, 805.0, 0.0002, 99.95
RO-01P0, 806.0, 0.0002, 99.96
RO-01P0, 807.0, 0.0002, 99.95
RO-01P0, 808.0, 0.0002, 99.95
RO-01P0, 809.0, 0.0002, 99.95
RO-01P0, 810.0, 0.0002, 99.95
RO-01P0, 811.0, 0.0002, 99.94
RO-01P0, 812.0, 0.0002, 99.94
RO-01P0, 813.0, 0.0002, 99.95
RO-01P0, 814.0, 0.0002, 99.95
RO-01P0, 815.0, 0.0002, 99.96
RO-01P0, 816.0, 0.0001, 99.97
RO-01P0, 817.0, 0.0002, 99.96
RO-01P0, 818.0, 0.0001, 99.97
RO-01P0, 819.0, 0.0002, 99.96
RO-01P0, 820.0, 0.0002, 99.96
RO-01P0, 821.0, 0.0002, 99.95
RO-01P0, 822.0, 0.0002, 99.95
RO-01P0, 823.0, 0.0002, 99.96
RO-01P0, 824.0, 0.0001, 99.97
RO-01P0, 825.0, 0.0002, 99.96
RO-01P0, 826.0, 0.0002, 99.96
RO-01P0, 827.0, 0.0001, 99.97
RO-01P0, 828.0, 0.0003, 99.94
RO-01P0, 829.0, 0.0002, 99.96
RO-01P0, 830.0, 0.0002, 99.96
RO-01P0, 831.0, 0.0002, 99.95
RO-01P0, 832.0, 0.0002, 99.97
RO-01P0, 833.0, 0.0002, 99.97
RO-01P0, 834.0, 0.0002, 99.95
RO-01P0, 835.0, 0.0003, 99.93
RO-01P0, 836.0, 0.0004, 99.91
RO-01P0, 837.0, 0.0003, 99.92
RO-01P0, 838.0, 0.0003, 99.92
RO-01P0, 839.0, 0.0003, 99.92
RO-01P0, 840.0, 0.0003, 99.93
RO-01P0, 841.0, 0.0003, 99.93
RO-01P0, 842.0, 0.0003, 99.93
RO-01P0, 843.0, 0.0003, 99.93
RO-01P0, 844.0, 0.0003, 99.93
RO-01P0, 845.0, 0.0003, 99.93
RO-01P0, 846.0, 0.0003, 99.93
RO-01P0, 847.0, 0.0002, 99.95
RO-01P0, 848.0, 0.0003, 99.94
RO-01P0, 849.0, 0.0003, 99.93
RO-01P0, 850.0, 0.0003, 99.93
