Sample Name, MQ-01P0Z
Time, 2017/07/12 05:15:32
Operator, Smith
Lamp, 255
Slit,0.0
Scan From, 850.0nm
Scan To, 390.0nm
Scan Step, 1.0nm
Sample Filter, 11
memo, 
WL(nm), Abs, T%
390.0, -0.0001, 100.02
391.0, -0.0002, 100.04
392.0, -0.0002, 100.04
393.0, -0.0001, 100.03
394.0, -0.0001, 100.03
395.0, -0.0001, 100.03
396.0, -0.0001, 100.03
397.0, -0.0001, 100.01
398.0, -0.0002, 100.04
399.0, -0.0002, 100.03
400.0, -0.0001, 100.01
401.0, -0.0001, 100.03
402.0, -0.0001, 100.03
403.0, -0.0001, 100.03
404.0, -0.0002, 100.04
405.0, -0.0001, 100.02
406.0, -0.0002, 100.04
407.0, -0.0002, 100.05
408.0, -0.0002, 100.04
409.0, -0.0002, 100.04
410.0, -0.0002, 100.04
411.0, -0.0002, 100.04
412.0, -0.0002, 100.04
413.0, -0.0002, 100.05
414.0, -0.0002, 100.04
415.0, -0.0002, 100.04
416.0, -0.0002, 100.05
417.0, -0.0002, 100.05
418.0, -0.0002, 100.04
419.0, -0.0001, 100.03
420.0, -0.0001, 100.03
421.0, -0.0002, 100.04
422.0, -0.0001, 100.02
423.0, -0.0002, 100.04
424.0, -0.0001, 100.03
425.0, -0.0001, 100.03
426.0, -0.0001, 100.03
427.0, -0.0001, 100.03
428.0, -0.0001, 100.03
429.0, -0.0001, 100.03
430.0, -0.0002, 100.05
431.0, -0.0002, 100.05
432.0, -0.0002, 100.05
433.0, -0.0003, 100.06
434.0, -0.0003, 100.07
435.0, -0.0003, 100.07
436.0, -0.0003, 100.07
437.0, -0.0002, 100.06
438.0, -0.0003, 100.06
439.0, -0.0002, 100.05
440.0, -0.0002, 100.06
441.0, -0.0002, 100.04
442.0, -0.0002, 100.05
443.0, -0.0002, 100.05
444.0, -0.0002, 100.05
445.0, -0.0001, 100.03
446.0, -0.0002, 100.04
447.0, -0.0002, 100.04
448.0, -0.0002, 100.05
449.0, -0.0003, 100.06
450.0, -0.0003, 100.06
451.0, -0.0001, 100.03
452.0, -0.0001, 100.02
453.0, -0.0002, 100.05
454.0, -0.0001, 100.03
455.0, -0.0002, 100.05
456.0, -0.0001, 100.03
457.0, -0.0002, 100.04
458.0, -0.0002, 100.04
459.0, -0.0001, 100.03
460.0, -0.0002, 100.04
461.0, -0.0001, 100.03
462.0, -0.0001, 100.03
463.0, -0.0001, 100.03
464.0, -0.0001, 100.02
465.0, -0.0001, 100.03
466.0, -0.0001, 100.02
467.0, -0.0001, 100.03
468.0, -0.0001, 100.02
