Sample Name, DR01P0
Time, 2017/07/12 05:29:33
Operator, Smith
Lamp, 255
Slit,0.0
Scan From, 850.0nm
Scan To, 390.0nm
Scan Step, 1.0nm
Sample Filter, 11
memo, 
WL(nm), Abs, T%
390.0, 0.0098, 97.77
391.0, 0.0097, 97.79
392.0, 0.0096, 97.81
393.0, 0.0096, 97.81
394.0, 0.0095, 97.83
395.0, 0.0096, 97.82
396.0, 0.0094, 97.85
397.0, 0.0095, 97.84
398.0, 0.0094, 97.87
399.0, 0.0093, 97.89
400.0, 0.0093, 97.88
401.0, 0.0091, 97.92
402.0, 0.0091, 97.93
403.0, 0.0090, 97.94
404.0, 0.0090, 97.94
405.0, 0.0090, 97.95
406.0, 0.0089, 97.97
407.0, 0.0089, 97.98
408.0, 0.0088, 97.99
409.0, 0.0089, 97.98
410.0, 0.0088, 97.99
411.0, 0.0087, 98.02
412.0, 0.0087, 98.01
413.0, 0.0086, 98.04
414.0, 0.0087, 98.02
415.0, 0.0087, 98.02
416.0, 0.0086, 98.05
417.0, 0.0086, 98.03
418.0, 0.0086, 98.05
419.0, 0.0086, 98.05
420.0, 0.0085, 98.06
421.0, 0.0084, 98.07
422.0, 0.0085, 98.07
423.0, 0.0084, 98.09
424.0, 0.0084, 98.09
425.0, 0.0084, 98.10
426.0, 0.0083, 98.10
427.0, 0.0082, 98.12
428.0, 0.0082, 98.12
429.0, 0.0081, 98.15
430.0, 0.0081, 98.16
431.0, 0.0081, 98.15
432.0, 0.0080, 98.18
433.0, 0.0080, 98.17
434.0, 0.0080, 98.18
435.0, 0.0079, 98.19
436.0, 0.0079, 98.19
437.0, 0.0079, 98.19
438.0, 0.0079, 98.19
439.0, 0.0079, 98.20
440.0, 0.0078, 98.21
441.0, 0.0079, 98.20
442.0, 0.0079, 98.20
443.0, 0.0079, 98.19
444.0, 0.0078, 98.21
445.0, 0.0078, 98.21
446.0, 0.0078, 98.22
447.0, 0.0077, 98.24
448.0, 0.0077, 98.24
449.0, 0.0075, 98.28
450.0, 0.0075, 98.28
451.0, 0.0078, 98.23
452.0, 0.0078, 98.23
453.0, 0.0078, 98.23
454.0, 0.0077, 98.25
455.0, 0.0076, 98.27
456.0, 0.0076, 98.26
457.0, 0.0076, 98.27
458.0, 0.0076, 98.27
459.0, 0.0077, 98.25
460.0, 0.0075, 98.28
461.0, 0.0076, 98.28
462.0, 0.0075, 98.29
463.0, 0.0075, 98.29
464.0, 0.0075, 98.28
465.0, 0.0075, 98.30
466.0, 0.0075, 98.29
467.0, 0.0074, 98.31
468.0, 0.0074, 98.31
469.0, 0.0075, 98.29
470.0, 0.0074, 98.32
471.0, 0.0074, 98.30
472.0, 0.0074, 98.31
473.0, 0.0074, 98.32
474.0, 0.0074, 98.32
475.0, 0.0074, 98.32
476.0, 0.0074, 98.31
477.0, 0.0073, 98.33
478.0, 0.0073, 98.32
479.0, 0.0073, 98.33
480.0, 0.0072, 98.34
481.0, 0.0073, 98.34
482.0, 0.0072, 98.35
483.0, 0.0073, 98.34
484.0, 0.0073, 98.34
485.0, 0.0072, 98.35
486.0, 0.0073, 98.34
487.0, 0.0072, 98.35
488.0, 0.0072, 98.35
489.0, 0.0072, 98.35
490.0, 0.0072, 98.36
491.0, 0.0072, 98.36
492.0, 0.0071, 98.37
493.0, 0.0072, 98.37
494.0, 0.0071, 98.38
495.0, 0.0071, 98.38
496.0, 0.0071, 98.37
497.0, 0.0071, 98.37
498.0, 0.0072, 98.36
499.0, 0.0071, 98.38
500.0, 0.0071, 98.39
501.0, 0.0070, 98.40
502.0, 0.0070, 98.39
503.0, 0.0070, 98.40
504.0, 0.0070, 98.40
505.0, 0.0070, 98.39
506.0, 0.0071, 98.38
507.0, 0.0070, 98.39
508.0, 0.0070, 98.39
509.0, 0.0070, 98.40
510.0, 0.0071, 98.38
511.0, 0.0070, 98.41
512.0, 0.0070, 98.40
513.0, 0.0070, 98.39
514.0, 0.0070, 98.40
