TP-01P0, Time, 2017/07/12 05:24:44
TP-01P0, Operator, Smith 
TP-01P0, Lamp, 255 
TP-01P0, Slit,0.0  
TP-01P0, Scan From, 850.0nm
TP-01P0, Scan To, 390.0nm
TP-01P0, Scan Step, 1.0nm
TP-01P0, Sample Filter, 11
TP-01P0, memo,  
TP-01P0, 521.0, -0.0375, 109.03
TP-01P0, 522.0, -0.0375, 109.03
TP-01P0, 523.0, -0.0375, 109.01
TP-01P0, 524.0, -0.0374, 109.00
TP-01P0, 525.0, -0.0375, 109.01
TP-01P0, 526.0, -0.0375, 109.01
TP-01P0, 527.0, -0.0374, 109.00
TP-01P0, 528.0, -0.0375, 109.01
TP-01P0, 529.0, -0.0374, 108.99
TP-01P0, 530.0, -0.0374, 108.99
TP-01P0, 531.0, -0.0374, 109.00
TP-01P0, 532.0, -0.0374, 109.00
TP-01P0, 533.0, -0.0374, 108.99
TP-01P0, 534.0, -0.0374, 108.99
TP-01P0, 535.0, -0.0373, 108.98
TP-01P0, 536.0, -0.0375, 109.01
TP-01P0, 537.0, -0.0374, 108.98
TP-01P0, 538.0, -0.0373, 108.97
TP-01P0, 539.0, -0.0374, 108.99
TP-01P0, 540.0, -0.0373, 108.97
TP-01P0, 541.0, -0.0373, 108.97
TP-01P0, 542.0, -0.0373, 108.97
TP-01P0, 543.0, -0.0373, 108.97
TP-01P0, 544.0, -0.0374, 109.00
TP-01P0, 545.0, -0.0373, 108.97
TP-01P0, 546.0, -0.0374, 108.98
TP-01P0, 547.0, -0.0373, 108.97
TP-01P0, 548.0, -0.0372, 108.94
TP-01P0, 549.0, -0.0373, 108.96
TP-01P0, 550.0, -0.0373, 108.97
TP-01P0, 551.0, -0.0373, 108.97
TP-01P0, 552.0, -0.0373, 108.97
TP-01P0, 553.0, -0.0373, 108.96
TP-01P0, 554.0, -0.0372, 108.95
TP-01P0, 555.0, -0.0373, 108.98
TP-01P0, 556.0, -0.0373, 108.97
TP-01P0, 557.0, -0.0373, 108.98
TP-01P0, 558.0, -0.0373, 108.98
TP-01P0, 559.0, -0.0373, 108.97
TP-01P0, 560.0, -0.0373, 108.98
TP-01P0, 561.0, -0.0373, 108.97
TP-01P0, 562.0, -0.0373, 108.97
TP-01P0, 563.0, -0.0373, 108.97
TP-01P0, 564.0, -0.0372, 108.95
TP-01P0, 565.0, -0.0373, 108.97
TP-01P0, 566.0, -0.0373, 108.96
TP-01P0, 567.0, -0.0373, 108.97
TP-01P0, 568.0, -0.0373, 108.97
TP-01P0, 569.0, -0.0373, 108.97
TP-01P0, 570.0, -0.0373, 108.97
TP-01P0, 571.0, -0.0373, 108.98
TP-01P0, 572.0, -0.0373, 108.98
TP-01P0, 573.0, -0.0375, 109.01
TP-01P0, 574.0, -0.0373, 108.98
TP-01P0, 575.0, -0.0374, 108.99
TP-01P0, 576.0, -0.0374, 108.98
TP-01P0, 577.0, -0.0374, 108.99
TP-01P0, 578.0, -0.0374, 108.99
TP-01P0, 579.0, -0.0374, 109.00
TP-01P0, 580.0, -0.0373, 108.97
TP-01P0, 581.0, -0.0372, 108.96
TP-01P0, 582.0, -0.0374, 108.99
TP-01P0, 583.0, -0.0374, 108.99
TP-01P0, 584.0, -0.0374, 109.00
TP-01P0, 585.0, -0.0374, 109.00
TP-01P0, 586.0, -0.0375, 109.01
TP-01P0, 587.0, -0.0375, 109.01
TP-01P0, 588.0, -0.0375, 109.02
TP-01P0, 589.0, -0.0375, 109.02
TP-01P0, 590.0, -0.0376, 109.03
TP-01P0, 591.0, -0.0376, 109.04
TP-01P0, 592.0, -0.0376, 109.04
TP-01P0, 593.0, -0.0376, 109.06
TP-01P0, 594.0, -0.0376, 109.05
TP-01P0, 595.0, -0.0377, 109.07
TP-01P0, 596.0, -0.0376, 109.05
TP-01P0, 597.0, -0.0378, 109.08
TP-01P0, 598.0, -0.0379, 109.12
TP-01P0, 599.0, -0.0378, 109.09
TP-01P0, 600.0, -0.0379, 109.11
TP-01P0, 601.0, -0.0379, 109.12
TP-01P0, 602.0, -0.0379, 109.12
TP-01P0, 603.0, -0.0380, 109.15
TP-01P0, 604.0, -0.0380, 109.15
TP-01P0, 605.0, -0.0381, 109.17
TP-01P0, 606.0, -0.0381, 109.17
TP-01P0, 607.0, -0.0381, 109.17
TP-01P0, 608.0, -0.0381, 109.16
TP-01P0, 609.0, -0.0381, 109.16
TP-01P0, 610.0, -0.0381, 109.16
TP-01P0, 611.0, -0.0381, 109.16
TP-01P0, 612.0, -0.0381, 109.17
TP-01P0, 613.0, -0.0382, 109.19
TP-01P0, 614.0, -0.0381, 109.18
TP-01P0, 615.0, -0.0381, 109.18
TP-01P0, 616.0, -0.0382, 109.18
TP-01P0, 617.0, -0.0382, 109.19
TP-01P0, 618.0, -0.0382, 109.20
TP-01P0, 619.0, -0.0382, 109.20
TP-01P0, 620.0, -0.0382, 109.20
TP-01P0, 621.0, -0.0382, 109.21
TP-01P0, 622.0, -0.0383, 109.21
TP-01P0, 623.0, -0.0382, 109.20
TP-01P0, 624.0, -0.0382, 109.19
TP-01P0, 625.0, -0.0382, 109.20
TP-01P0, 626.0, -0.0382, 109.20
TP-01P0, 627.0, -0.0382, 109.20
TP-01P0, 628.0, -0.0383, 109.21
TP-01P0, 629.0, -0.0383, 109.21
TP-01P0, 630.0, -0.0383, 109.22
TP-01P0, 631.0, -0.0384, 109.23
TP-01P0, 632.0, -0.0381, 109.17
TP-01P0, 633.0, -0.0381, 109.16
TP-01P0, 634.0, -0.0381, 109.18
TP-01P0, 635.0, -0.0381, 109.17
TP-01P0, 636.0, -0.0382, 109.19
TP-01P0, 637.0, -0.0382, 109.18
TP-01P0, 638.0, -0.0382, 109.19
TP-01P0, 639.0, -0.0382, 109.19
TP-01P0, 640.0, -0.0383, 109.21
TP-01P0, 641.0, -0.0382, 109.21
TP-01P0, 642.0, -0.0382, 109.20
TP-01P0, 643.0, -0.0383, 109.22
TP-01P0, 644.0, -0.0383, 109.23
TP-01P0, 645.0, -0.0383, 109.22
TP-01P0, 646.0, -0.0384, 109.24
TP-01P0, 647.0, -0.0384, 109.24
TP-01P0, 648.0, -0.0384, 109.24
TP-01P0, 649.0, -0.0384, 109.25
TP-01P0, 650.0, -0.0384, 109.25
TP-01P0, 651.0, -0.0385, 109.26
TP-01P0, 652.0, -0.0384, 109.26
TP-01P0, 653.0, -0.0385, 109.27
TP-01P0, 654.0, -0.0385, 109.27
TP-01P0, 655.0, -0.0385, 109.27
TP-01P0, 656.0, -0.0385, 109.28
TP-01P0, 657.0, -0.0385, 109.28
TP-01P0, 658.0, -0.0385, 109.28
TP-01P0, 659.0, -0.0386, 109.29
TP-01P0, 660.0, -0.0386, 109.29
TP-01P0, 661.0, -0.0386, 109.30
TP-01P0, 662.0, -0.0385, 109.28
TP-01P0, 663.0, -0.0386, 109.30
TP-01P0, 664.0, -0.0386, 109.29
TP-01P0, 665.0, -0.0387, 109.31
TP-01P0, 666.0, -0.0387, 109.32
TP-01P0, 667.0, -0.0387, 109.32
TP-01P0, 668.0, -0.0386, 109.30
TP-01P0, 669.0, -0.0386, 109.29
TP-01P0, 670.0, -0.0386, 109.29
TP-01P0, 671.0, -0.0385, 109.28
TP-01P0, 672.0, -0.0385, 109.27
TP-01P0, 673.0, -0.0385, 109.26
TP-01P0, 674.0, -0.0385, 109.27
TP-01P0, 675.0, -0.0385, 109.26
TP-01P0, 676.0, -0.0384, 109.26
TP-01P0, 677.0, -0.0384, 109.25
TP-01P0, 678.0, -0.0384, 109.25
TP-01P0, 679.0, -0.0384, 109.24
TP-01P0, 680.0, -0.0385, 109.26
TP-01P0, 681.0, -0.0385, 109.27
TP-01P0, 682.0, -0.0385, 109.28
TP-01P0, 683.0, -0.0386, 109.29
TP-01P0, 684.0, -0.0386, 109.29
TP-01P0, 685.0, -0.0386, 109.29
TP-01P0, 686.0, -0.0386, 109.31
TP-01P0, 687.0, -0.0387, 109.31
TP-01P0, 688.0, -0.0387, 109.32
TP-01P0, 689.0, -0.0387, 109.32
TP-01P0, 690.0, -0.0388, 109.34
TP-01P0, 691.0, -0.0387, 109.33
TP-01P0, 692.0, -0.0388, 109.34
TP-01P0, 693.0, -0.0388, 109.35
TP-01P0, 694.0, -0.0389, 109.36
TP-01P0, 695.0, -0.0389, 109.36
TP-01P0, 696.0, -0.0389, 109.37
TP-01P0, 697.0, -0.0389, 109.37
TP-01P0, 698.0, -0.0390, 109.39
TP-01P0, 699.0, -0.0390, 109.39
TP-01P0, 700.0, -0.0391, 109.41
TP-01P0, 701.0, -0.0391, 109.43
TP-01P0, 702.0, -0.0392, 109.45
TP-01P0, 703.0, -0.0393, 109.46
TP-01P0, 704.0, -0.0394, 109.49
TP-01P0, 705.0, -0.0394, 109.50
TP-01P0, 706.0, -0.0395, 109.52
TP-01P0, 707.0, -0.0396, 109.56
TP-01P0, 708.0, -0.0397, 109.58
TP-01P0, 709.0, -0.0398, 109.61
TP-01P0, 710.0, -0.0400, 109.64
TP-01P0, 711.0, -0.0401, 109.68
TP-01P0, 712.0, -0.0403, 109.73
TP-01P0, 713.0, -0.0405, 109.77
TP-01P0, 714.0, -0.0406, 109.80
TP-01P0, 715.0, -0.0407, 109.83
TP-01P0, 716.0, -0.0410, 109.89
TP-01P0, 717.0, -0.0412, 109.94
TP-01P0, 718.0, -0.0414, 110.00
TP-01P0, 719.0, -0.0415, 110.04
TP-01P0, 720.0, -0.0418, 110.09
TP-01P0, 721.0, -0.0420, 110.15
TP-01P0, 722.0, -0.0422, 110.20
TP-01P0, 723.0, -0.0424, 110.26
TP-01P0, 724.0, -0.0427, 110.33
TP-01P0, 725.0, -0.0430, 110.40
TP-01P0, 726.0, -0.0433, 110.48
TP-01P0, 727.0, -0.0436, 110.55
TP-01P0, 728.0, -0.0440, 110.66
TP-01P0, 729.0, -0.0444, 110.77
TP-01P0, 730.0, -0.0449, 110.88
TP-01P0, 731.0, -0.0454, 111.02
TP-01P0, 732.0, -0.0459, 111.15
TP-01P0, 733.0, -0.0463, 111.26
TP-01P0, 734.0, -0.0468, 111.38
TP-01P0, 735.0, -0.0472, 111.48
TP-01P0, 736.0, -0.0476, 111.59
TP-01P0, 737.0, -0.0479, 111.65
TP-01P0, 738.0, -0.0481, 111.70
TP-01P0, 739.0, -0.0482, 111.73
TP-01P0, 740.0, -0.0483, 111.77
TP-01P0, 741.0, -0.0484, 111.80
TP-01P0, 742.0, -0.0485, 111.81
TP-01P0, 743.0, -0.0485, 111.83
TP-01P0, 744.0, -0.0486, 111.85
TP-01P0, 745.0, -0.0486, 111.85
TP-01P0, 746.0, -0.0487, 111.87
TP-01P0, 747.0, -0.0487, 111.86
TP-01P0, 748.0, -0.0487, 111.86
TP-01P0, 749.0, -0.0487, 111.86
TP-01P0, 750.0, -0.0486, 111.85
TP-01P0, 751.0, -0.0487, 111.87
TP-01P0, 752.0, -0.0486, 111.84
TP-01P0, 753.0, -0.0487, 111.86
TP-01P0, 754.0, -0.0485, 111.82
TP-01P0, 755.0, -0.0486, 111.83
TP-01P0, 756.0, -0.0486, 111.84
TP-01P0, 757.0, -0.0486, 111.84
TP-01P0, 758.0, -0.0487, 111.85
TP-01P0, 759.0, -0.0487, 111.85
TP-01P0, 760.0, -0.0486, 111.85
TP-01P0, 761.0, -0.0487, 111.87
TP-01P0, 762.0, -0.0486, 111.85
TP-01P0, 763.0, -0.0486, 111.84
TP-01P0, 764.0, -0.0485, 111.81
TP-01P0, 765.0, -0.0485, 111.82
TP-01P0, 766.0, -0.0485, 111.81
TP-01P0, 767.0, -0.0485, 111.81
TP-01P0, 768.0, -0.0484, 111.80
TP-01P0, 769.0, -0.0485, 111.81
TP-01P0, 770.0, -0.0485, 111.81
TP-01P0, 771.0, -0.0484, 111.80
TP-01P0, 772.0, -0.0484, 111.79
TP-01P0, 773.0, -0.0483, 111.77
TP-01P0, 774.0, -0.0482, 111.74
TP-01P0, 775.0, -0.0482, 111.74
TP-01P0, 776.0, -0.0482, 111.73
TP-01P0, 777.0, -0.0480, 111.69
TP-01P0, 778.0, -0.0479, 111.67
TP-01P0, 779.0, -0.0478, 111.64
TP-01P0, 780.0, -0.0477, 111.62
TP-01P0, 781.0, -0.0477, 111.60
TP-01P0, 782.0, -0.0474, 111.54
TP-01P0, 783.0, -0.0474, 111.53
TP-01P0, 784.0, -0.0472, 111.48
TP-01P0, 785.0, -0.0472, 111.48
TP-01P0, 786.0, -0.0471, 111.44
TP-01P0, 787.0, -0.0470, 111.42
TP-01P0, 788.0, -0.0469, 111.40
TP-01P0, 789.0, -0.0468, 111.38
TP-01P0, 790.0, -0.0467, 111.36
TP-01P0, 791.0, -0.0466, 111.32
TP-01P0, 792.0, -0.0465, 111.31
TP-01P0, 793.0, -0.0465, 111.30
TP-01P0, 794.0, -0.0464, 111.27
TP-01P0, 795.0, -0.0463, 111.25
TP-01P0, 796.0, -0.0462, 111.23
TP-01P0, 797.0, -0.0462, 111.21
TP-01P0, 798.0, -0.0461, 111.20
TP-01P0, 799.0, -0.0460, 111.18
TP-01P0, 800.0, -0.0460, 111.17
TP-01P0, 801.0, -0.0458, 111.13
TP-01P0, 802.0, -0.0458, 111.13
TP-01P0, 803.0, -0.0457, 111.11
TP-01P0, 804.0, -0.0457, 111.09
TP-01P0, 805.0, -0.0457, 111.09
TP-01P0, 806.0, -0.0457, 111.09
TP-01P0, 807.0, -0.0457, 111.09
TP-01P0, 808.0, -0.0457, 111.09
TP-01P0, 809.0, -0.0457, 111.10
TP-01P0, 810.0, -0.0457, 111.10
TP-01P0, 811.0, -0.0457, 111.10
TP-01P0, 812.0, -0.0457, 111.10
TP-01P0, 813.0, -0.0457, 111.09
TP-01P0, 814.0, -0.0458, 111.11
TP-01P0, 815.0, -0.0459, 111.15
TP-01P0, 816.0, -0.0460, 111.17
TP-01P0, 817.0, -0.0461, 111.20
TP-01P0, 818.0, -0.0462, 111.22
TP-01P0, 819.0, -0.0463, 111.24
TP-01P0, 820.0, -0.0465, 111.29
TP-01P0, 821.0, -0.0467, 111.35
TP-01P0, 822.0, -0.0468, 111.38
TP-01P0, 823.0, -0.0471, 111.47
TP-01P0, 824.0, -0.0474, 111.53
TP-01P0, 825.0, -0.0478, 111.62
TP-01P0, 826.0, -0.0481, 111.72
TP-01P0, 827.0, -0.0487, 111.87
TP-01P0, 828.0, -0.0492, 111.99
TP-01P0, 829.0, -0.0498, 112.14
TP-01P0, 830.0, -0.0504, 112.30
TP-01P0, 831.0, -0.0509, 112.44
TP-01P0, 832.0, -0.0515, 112.60
TP-01P0, 833.0, -0.0520, 112.72
TP-01P0, 834.0, -0.0523, 112.80
TP-01P0, 835.0, -0.0526, 112.88
TP-01P0, 836.0, -0.0529, 112.95
TP-01P0, 837.0, -0.0531, 113.01
TP-01P0, 838.0, -0.0533, 113.05
TP-01P0, 839.0, -0.0533, 113.06
TP-01P0, 840.0, -0.0534, 113.09
TP-01P0, 841.0, -0.0537, 113.16
TP-01P0, 842.0, -0.0538, 113.18
TP-01P0, 843.0, -0.0539, 113.21
TP-01P0, 844.0, -0.0540, 113.24
TP-01P0, 845.0, -0.0542, 113.28
TP-01P0, 846.0, -0.0543, 113.31
TP-01P0, 847.0, -0.0545, 113.37
TP-01P0, 848.0, -0.0546, 113.41
TP-01P0, 849.0, -0.0547, 113.41
TP-01P0, 850.0, -0.0548, 113.44
