Sample Name, RO-10P0,
Time, 2017/07/12 02:06:01,
Operator, Smith,
Lamp,255,
Slit,0,
Scan From, 850.0nm,
Scan To, 390.0nm,
Scan Step, 1.0nm,
Sample Filter,11,
memo, ,
WL(nm), Abs, T%
560,0.0049,100.24
561,0.0049,100.25
562,0.0047,100.24
563,0.0049,100.26
564,0.0049,100.26
565,0.0047,100.26
566,0.0047,100.25
567,0.0047,100.25
568,0.0047,100.24
569,0.0049,100.25
570,0.0047,100.24
571,0.0051,100.25
572,0.0047,100.23
573,0.0051,100.25
574,0.0051,100.23
575,0.0051,100.25
576,0.0051,100.26
577,0.0051,100.27
578,0.0053,100.26
579,0.0053,100.28
580,0.0051,100.26
581,0.0051,100.26
582,0.0051,100.26
583,0.0051,100.27
584,0.0049,100.27
585,0.0049,100.26
586,0.0049,100.26
587,0.0049,100.27
588,0.0049,100.28
589,0.0047,100.27
590,0.0047,100.28
591,0.0047,100.28
592,0.0045,100.27
593,0.0047,100.27
594,0.0049,100.28
595,0.0047,100.28
596,0.0049,100.28
597,0.0047,100.28
598,0.0049,100.28
599,0.0051,100.28
600,0.0049,100.27
601,0.0051,100.28
602,0.0049,100.3
603,0.0051,100.29
604,0.0049,100.29
605,0.0051,100.29
606,0.0051,100.28
607,0.0051,100.28
608,0.0053,100.3
609,0.0051,100.3
610,0.0053,100.32
611,0.0053,100.32
612,0.0053,100.31
613,0.0053,100.31
614,0.0053,100.32
615,0.0053,100.31
616,0.0053,100.32
617,0.0053,100.31
618,0.0053,100.31
619,0.0051,100.3
620,0.0053,100.3
621,0.0051,100.3
622,0.0053,100.31
623,0.0053,100.31
624,0.0051,100.31
625,0.0051,100.32
626,0.0053,100.32
627,0.0051,100.31
628,0.0053,100.32
629,0.0051,100.31
630,0.0055,100.34
631,0.0053,100.34
632,0.0055,100.33
633,0.0053,100.33
634,0.0053,100.32
635,0.0053,100.32
636,0.0053,100.31
637,0.0055,100.32
638,0.0055,100.32
639,0.0055,100.32
640,0.0055,100.32
641,0.0053,100.32
642,0.0053,100.31
643,0.0051,100.31
644,0.0051,100.32
645,0.0053,100.32
646,0.0051,100.32
647,0.0053,100.33
648,0.0053,100.33
649,0.0053,100.35
650,0.0053,100.34
651,0.0053,100.33
652,0.0053,100.33
653,0.0051,100.33
654,0.0051,100.32
655,0.0051,100.33
656,0.0051,100.32
657,0.0051,100.33
658,0.0051,100.32
659,0.0053,100.34
660,0.0053,100.33
661,0.0051,100.33
662,0.0051,100.32
663,0.0051,100.32
664,0.0051,100.31
665,0.0053,100.33
666,0.0053,100.34
667,0.0053,100.36
668,0.0053,100.34
669,0.0051,100.33
670,0.0051,100.32
671,0.0051,100.32
672,0.0051,100.33
673,0.0049,100.32
674,0.0051,100.34
675,0.0049,100.33
676,0.0049,100.33
677,0.0051,100.33
678,0.0049,100.33
679,0.0051,100.33
680,0.0051,100.33
681,0.0051,100.34
682,0.0051,100.32
683,0.0049,100.32
684,0.0049,100.32
685,0.0047,100.31
686,0.0049,100.31
687,0.0047,100.31
688,0.0049,100.31
689,0.0047,100.31
690,0.0049,100.31
691,0.0049,100.31
692,0.0049,100.31
693,0.0049,100.32
694,0.0049,100.31
695,0.0049,100.31
696,0.0049,100.3
697,0.0049,100.31
698,0.0051,100.32
699,0.0049,100.32
700,0.0051,100.31
701,0.0051,100.31
702,0.0049,100.31
703,0.0049,100.32
704,0.0049,100.32
705,0.0049,100.34
706,0.0051,100.33
707,0.0051,100.33
708,0.0051,100.32
709,0.0051,100.32
710,0.0053,100.33
711,0.0051,100.34
712,0.0051,100.34
713,0.0051,100.35
714,0.0051,100.33
715,0.0053,100.35
716,0.0051,100.33
717,0.0049,100.35
718,0.0051,100.36
719,0.0049,100.34
720,0.0051,100.34
721,0.0049,100.34
722,0.0049,100.34
723,0.0051,100.36
724,0.0051,100.36
725,0.0051,100.36
726,0.0051,100.36
727,0.0051,100.37
728,0.0051,100.36
729,0.0051,100.36
730,0.0051,100.38
731,0.0051,100.36
732,0.0051,100.38
733,0.0051,100.36
734,0.0051,100.36
735,0.0051,100.36
736,0.0051,100.36
737,0.0051,100.36
738,0.0051,100.37
739,0.0051,100.36
740,0.0053,100.38
741,0.0051,100.37
742,0.0051,100.39
743,0.0049,100.38
744,0.0049,100.38
745,0.0051,100.39
746,0.0049,100.37
747,0.0051,100.37
748,0.0051,100.38
749,0.0051,100.38
750,0.0051,100.38
751,0.0051,100.37
752,0.0051,100.38
753,0.0051,100.37
754,0.0049,100.36
755,0.0051,100.37
756,0.0049,100.35
757,0.0049,100.35
758,0.0049,100.34
759,0.0051,100.36
760,0.0049,100.36
761,0.0051,100.38
762,0.0049,100.36
763,0.0049,100.36
764,0.0047,100.35
765,0.0049,100.34
766,0.0047,100.35
767,0.0049,100.34
768,0.0047,100.34
769,0.0049,100.35
770,0.0049,100.34
771,0.0051,100.34
772,0.0051,100.33
773,0.0049,100.34
774,0.0049,100.34
775,0.0049,100.34
776,0.0049,100.33
777,0.0049,100.34
778,0.0049,100.32
779,0.0049,100.34
780,0.0049,100.34
781,0.0051,100.35
782,0.0051,100.35
783,0.0051,100.35
784,0.0051,100.37
785,0.0051,100.38
786,0.0051,100.36
787,0.0053,100.36
788,0.0051,100.36
789,0.0049,100.36
790,0.0049,100.36
791,0.0051,100.35
792,0.0051,100.35
793,0.0051,100.35
794,0.0051,100.36
795,0.0051,100.34
796,0.0051,100.35
797,0.0051,100.35
798,0.0051,100.33
799,0.0051,100.35
800,0.0051,100.36
801,0.0053,100.38
802,0.0053,100.36
803,0.0053,100.37
804,0.0051,100.36
805,0.0051,100.37
806,0.0051,100.36
807,0.0051,100.35
808,0.0049,100.34
809,0.0051,100.36
810,0.0051,100.36
811,0.0051,100.37
812,0.0051,100.36
813,0.0051,100.38
814,0.0051,100.37
815,0.0051,100.36
816,0.0051,100.36
817,0.0051,100.34
818,0.0053,100.36
819,0.0053,100.38
820,0.0051,100.35
821,0.0051,100.36
822,0.0051,100.36
823,0.0053,100.38
