Sample Name, BP-05P0
Time, 2017/07/12 03:21:03
Operator, Smith
Lamp, 255
Slit,0.0
Scan From, 850.0nm
Scan To, 390.0nm
Scan Step, 1.0nm
Sample Filter, 11
memo, 
WL(nm), Abs, T%
595.0, 0.0083, 98.10
596.0, 0.0084, 98.10
597.0, 0.0082, 98.14
598.0, 0.0081, 98.14
599.0, 0.0081, 98.15
600.0, 0.0079, 98.19
601.0, 0.0079, 98.21
602.0, 0.0078, 98.21
603.0, 0.0078, 98.22
604.0, 0.0078, 98.23
605.0, 0.0076, 98.26
606.0, 0.0076, 98.26
607.0, 0.0074, 98.31
608.0, 0.0074, 98.31
609.0, 0.0073, 98.33
610.0, 0.0072, 98.35
611.0, 0.0072, 98.36
612.0, 0.0072, 98.36
613.0, 0.0071, 98.38
614.0, 0.0070, 98.40
615.0, 0.0070, 98.40
616.0, 0.0069, 98.42
617.0, 0.0069, 98.42
618.0, 0.0068, 98.45
619.0, 0.0068, 98.45
620.0, 0.0067, 98.46
621.0, 0.0066, 98.49
622.0, 0.0065, 98.51
623.0, 0.0064, 98.54
624.0, 0.0064, 98.54
625.0, 0.0063, 98.56
626.0, 0.0062, 98.59
627.0, 0.0061, 98.60
628.0, 0.0061, 98.61
629.0, 0.0060, 98.63
630.0, 0.0059, 98.64
631.0, 0.0060, 98.63
632.0, 0.0058, 98.66
633.0, 0.0058, 98.68
634.0, 0.0058, 98.67
635.0, 0.0057, 98.70
636.0, 0.0056, 98.71
637.0, 0.0056, 98.71
638.0, 0.0056, 98.72
639.0, 0.0056, 98.73
640.0, 0.0054, 98.76
641.0, 0.0055, 98.75
642.0, 0.0053, 98.78
643.0, 0.0052, 98.80
644.0, 0.0052, 98.80
645.0, 0.0052, 98.81
646.0, 0.0052, 98.81
647.0, 0.0051, 98.84
648.0, 0.0051, 98.84
649.0, 0.0050, 98.85
650.0, 0.0049, 98.87
651.0, 0.0048, 98.90
652.0, 0.0048, 98.90
653.0, 0.0048, 98.91
654.0, 0.0047, 98.92
655.0, 0.0046, 98.94
656.0, 0.0047, 98.93
657.0, 0.0045, 98.96
658.0, 0.0045, 98.96
659.0, 0.0045, 98.97
660.0, 0.0044, 98.98
661.0, 0.0044, 98.99
662.0, 0.0043, 99.01
663.0, 0.0043, 99.02
664.0, 0.0043, 99.02
665.0, 0.0043, 99.02
666.0, 0.0043, 99.02
667.0, 0.0042, 99.04
668.0, 0.0042, 99.03
669.0, 0.0041, 99.05
670.0, 0.0042, 99.05
671.0, 0.0040, 99.08
672.0, 0.0040, 99.07
673.0, 0.0040, 99.09
674.0, 0.0039, 99.11
675.0, 0.0039, 99.11
676.0, 0.0039, 99.12
677.0, 0.0038, 99.14
678.0, 0.0037, 99.15
679.0, 0.0036, 99.17
680.0, 0.0036, 99.17
681.0, 0.0036, 99.18
682.0, 0.0036, 99.19
683.0, 0.0035, 99.20
684.0, 0.0035, 99.19
685.0, 0.0035, 99.21
686.0, 0.0034, 99.22
687.0, 0.0034, 99.22
688.0, 0.0034, 99.22
689.0, 0.0034, 99.23
690.0, 0.0034, 99.23
691.0, 0.0033, 99.24
692.0, 0.0033, 99.25
693.0, 0.0032, 99.26
694.0, 0.0031, 99.28
695.0, 0.0031, 99.28
696.0, 0.0030, 99.30
697.0, 0.0031, 99.30
698.0, 0.0030, 99.31
699.0, 0.0029, 99.33
700.0, 0.0029, 99.33
701.0, 0.0029, 99.33
702.0, 0.0028, 99.35
703.0, 0.0028, 99.35
704.0, 0.0028, 99.35
705.0, 0.0028, 99.35
706.0, 0.0028, 99.35
707.0, 0.0027, 99.37
708.0, 0.0027, 99.38
709.0, 0.0027, 99.39
710.0, 0.0027, 99.38
711.0, 0.0026, 99.40
712.0, 0.0026, 99.41
713.0, 0.0026, 99.40
714.0, 0.0025, 99.42
715.0, 0.0024, 99.44
716.0, 0.0025, 99.43
717.0, 0.0023, 99.46
718.0, 0.0024, 99.45
719.0, 0.0024, 99.46
720.0, 0.0024, 99.45
721.0, 0.0023, 99.46
722.0, 0.0023, 99.47
723.0, 0.0023, 99.47
724.0, 0.0024, 99.46
725.0, 0.0022, 99.49
726.0, 0.0022, 99.49
727.0, 0.0022, 99.49
728.0, 0.0022, 99.49
729.0, 0.0022, 99.50
730.0, 0.0022, 99.50
731.0, 0.0022, 99.49
732.0, 0.0022, 99.51
733.0, 0.0021, 99.52
734.0, 0.0022, 99.50
735.0, 0.0021, 99.51
736.0, 0.0021, 99.51
737.0, 0.0021, 99.53
738.0, 0.0020, 99.53
739.0, 0.0021, 99.52
740.0, 0.0020, 99.54
741.0, 0.0020, 99.54
742.0, 0.0019, 99.55
743.0, 0.0019, 99.56
744.0, 0.0019, 99.55
745.0, 0.0018, 99.58
746.0, 0.0019, 99.57
747.0, 0.0018, 99.58
748.0, 0.0017, 99.60
749.0, 0.0017, 99.60
750.0, 0.0017, 99.61
751.0, 0.0018, 99.60
752.0, 0.0016, 99.63
753.0, 0.0016, 99.63
754.0, 0.0016, 99.64
755.0, 0.0016, 99.64
756.0, 0.0015, 99.65
757.0, 0.0015, 99.66
758.0, 0.0015, 99.66
759.0, 0.0014, 99.67
760.0, 0.0014, 99.69
761.0, 0.0014, 99.67
762.0, 0.0013, 99.69
763.0, 0.0013, 99.70
764.0, 0.0012, 99.72
765.0, 0.0012, 99.72
766.0, 0.0012, 99.72
767.0, 0.0012, 99.73
768.0, 0.0011, 99.75
769.0, 0.0012, 99.73
770.0, 0.0012, 99.73
771.0, 0.0012, 99.73
772.0, 0.0011, 99.74
773.0, 0.0012, 99.73
774.0, 0.0011, 99.74
775.0, 0.0011, 99.74
776.0, 0.0010, 99.76
777.0, 0.0011, 99.76
778.0, 0.0010, 99.77
779.0, 0.0010, 99.77
780.0, 0.0009, 99.78
781.0, 0.0009, 99.78
782.0, 0.0010, 99.78
783.0, 0.0009, 99.78
784.0, 0.0009, 99.79
785.0, 0.0009, 99.80
786.0, 0.0008, 99.81
787.0, 0.0008, 99.82
788.0, 0.0008, 99.81
789.0, 0.0008, 99.83
790.0, 0.0007, 99.83
791.0, 0.0008, 99.83
792.0, 0.0008, 99.82
793.0, 0.0008, 99.82
794.0, 0.0008, 99.82
795.0, 0.0007, 99.83
796.0, 0.0008, 99.82
797.0, 0.0007, 99.83
798.0, 0.0007, 99.83
799.0, 0.0007, 99.85
800.0, 0.0007, 99.84
801.0, 0.0006, 99.85
802.0, 0.0007, 99.85
803.0, 0.0007, 99.84
804.0, 0.0006, 99.85
805.0, 0.0007, 99.85
806.0, 0.0006, 99.85
807.0, 0.0005, 99.87
808.0, 0.0007, 99.84
809.0, 0.0006, 99.87
810.0, 0.0006, 99.86
811.0, 0.0005, 99.88
812.0, 0.0006, 99.87
813.0, 0.0006, 99.87
814.0, 0.0005, 99.88
815.0, 0.0005, 99.88
816.0, 0.0006, 99.87
817.0, 0.0006, 99.86
818.0, 0.0007, 99.85
819.0, 0.0006, 99.87
820.0, 0.0006, 99.85
821.0, 0.0006, 99.86
822.0, 0.0006, 99.86
823.0, 0.0006, 99.85
824.0, 0.0006, 99.87
825.0, 0.0006, 99.85
826.0, 0.0007, 99.85
827.0, 0.0006, 99.86
828.0, 0.0007, 99.85
829.0, 0.0006, 99.87
830.0, 0.0007, 99.84
831.0, 0.0006, 99.86
832.0, 0.0008, 99.81
833.0, 0.0008, 99.81
834.0, 0.0008, 99.82
835.0, 0.0008, 99.81
836.0, 0.0008, 99.83
837.0, 0.0007, 99.84
838.0, 0.0007, 99.84
839.0, 0.0007, 99.85
840.0, 0.0007, 99.84
841.0, 0.0006, 99.86
842.0, 0.0007, 99.85
843.0, 0.0007, 99.85
844.0, 0.0007, 99.84
845.0, 0.0007, 99.83
846.0, 0.0006, 99.87
847.0, 0.0006, 99.86
848.0, 0.0006, 99.87
849.0, 0.0005, 99.87
850.0, 0.0006, 99.87
