SN,DATE,TIME,LATITUDE,LONGITUDE,ALTITUDE,PRESSURE,SZA,AM,SDCORR,TEMP,ID,SIG380,SIG440,SIG500,SIG675,SIG870,STD380,STD440,STD500,STD675,STD870,R380_440,R440_500,R500_675,R675_870,AOT380,AOT440,AOT500,AOT675,AOT870,WATER
4079,7/17/17,18:16:13,43.933,-69.583,0,1025,29.73,1.151,1.032,26.7,0,735.72,340.19,553.21,768.06,696.31,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,2.1627,0.6149,0.7203,1.103,0.496,0.379,0.333,0.192,0.095,Na  
4079,7/17/17,18:16:24,43.933,-69.583,0,1026,29.76,1.151,1.032,26.8,0,737.6,319.4,561.07,772.71,695.71,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,2.3093,0.5693,0.7261,1.1107,0.493,0.434,0.32,0.186,0.095,Na  
4079,7/17/17,18:16:34,43.933,-69.583,0,1025,29.78,1.151,1.032,26.8,0,721.43,333.15,547.05,750.42,658.45,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,2.1655,0.609,0.729,1.1397,0.513,0.397,0.342,0.212,0.143,Na  
4079,7/17/17,18:16:52,43.933,-69.583,0,1025,29.82,1.152,1.032,26.8,0,729.8,339.67,556.59,751.25,682.65,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,2.1486,0.6103,0.7409,1.1005,0.502,0.38,0.327,0.211,0.112,Na  
4079,7/17/17,18:23:08,43.933,-69.583,0,1026,30.66,1.162,1.032,26,0,723.89,336.57,555.45,768.16,694.95,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,2.1508,0.6059,0.7231,1.1053,0.501,0.383,0.324,0.189,0.095,Na  
4079,7/17/17,18:23:30,43.933,-69.583,0,1025,30.71,1.162,1.032,26,0,721.1,332.07,557.16,769.96,694.47,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,2.1715,0.596,0.7236,1.1087,0.504,0.394,0.322,0.187,0.096,Na  
4079,7/17/17,18:23:38,43.933,-69.583,0,1025,30.73,1.163,1.032,26,0,733.57,324.82,558.28,774.38,695.35,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,2.2584,0.5818,0.7209,1.1136,0.489,0.413,0.32,0.182,0.095,Na  
4079,7/17/17,18:23:47,43.933,-69.583,0,1025,30.75,1.163,1.032,26.1,0,733.95,331.18,559.11,771.52,696.77,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,2.2162,0.5923,0.7247,1.1073,0.489,0.396,0.318,0.186,0.093,Na  
4079,7/17/17,18:23:55,43.933,-69.583,0,1025,30.77,1.163,1.032,26.1,0,734.32,331.65,558.86,769.7,696.01,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,2.2141,0.5934,0.7261,1.1059,0.488,0.395,0.319,0.188,0.094,Na  
4079,7/17/17,18:24:57,43.933,-69.583,0,1025,30.91,1.165,1.032,26.1,0,737.21,342.79,537.24,699.8,627.8,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,2.1506,0.6381,0.7677,1.1147,0.483,0.365,0.352,0.269,0.182,Na  
4079,7/17/17,18:25:10,43.933,-69.583,0,1025,30.94,1.165,1.032,26.1,0,738.96,339.69,562.11,775.01,694.87,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,2.1754,0.6043,0.7253,1.1153,0.481,0.373,0.313,0.181,0.095,Na  
4079,7/17/17,18:25:19,43.933,-69.583,0,1025,30.96,1.165,1.032,26.1,0,741.35,331.97,557.55,774.66,693.77,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,2.2332,0.5954,0.7197,1.1166,0.478,0.393,0.32,0.182,0.097,Na  
4079,7/17/17,18:25:28,43.933,-69.583,0,1025,30.99,1.166,1.032,26.1,0,738.03,330.18,557.41,763.45,671.24,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,2.2352,0.5924,0.7301,1.1374,0.482,0.397,0.32,0.194,0.125,Na  
4079,7/17/17,18:25:38,43.933,-69.583,0,1025,31.01,1.166,1.032,26.1,0,741.26,332.25,560.38,778.04,698.2,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,2.231,0.5929,0.7203,1.1143,0.478,0.392,0.315,0.178,0.091,Na  
4079,7/17/17,18:34:30,43.933,-69.583,0,1022,32.27,1.182,1.032,25.7,0,741.07,336.47,562.45,774.92,682.8,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,2.2025,0.5982,0.7258,1.1349,0.467,0.373,0.306,0.178,0.109,Na  
4079,7/17/17,18:34:51,43.933,-69.583,0,1022,32.32,1.183,1.032,25.7,0,737.89,338.51,566.8,773.53,689.61,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,2.1798,0.5972,0.7328,1.1217,0.47,0.368,0.3,0.18,0.1,Na  
4079,7/17/17,18:35:03,43.933,-69.583,0,1022,32.35,1.183,1.032,25.7,0,739.3,327.07,564.82,773.17,693.29,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,2.2604,0.5791,0.7305,1.1152,0.468,0.397,0.302,0.18,0.096,Na  
4079,7/17/17,18:35:13,43.933,-69.583,0,1022,32.37,1.183,1.032,25.7,0,725.36,339.68,565.73,777.39,693.05,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,2.1354,0.6004,0.7277,1.1217,0.484,0.364,0.301,0.175,0.096,Na  
4079,7/17/17,18:35:29,43.933,-69.583,0,1022,32.41,1.184,1.032,25.6,0,724.29,335.27,528.42,703.78,603.33,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,2.1603,0.6345,0.7508,1.1665,0.485,0.375,0.358,0.259,0.213,Na  
4079,7/17/17,19:07:27,43.933,-69.583,0,1024,37.35,1.257,1.032,27,0,728.57,343.98,561.9,767.04,684.73,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,2.118,0.6122,0.7326,1.1202,0.425,0.318,0.28,0.173,0.099,Na  
4079,7/17/17,19:07:41,43.933,-69.583,0,1024,37.39,1.258,1.032,27,0,728.35,341.23,552.1,762.51,696.99,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,2.1345,0.6181,0.7241,1.094,0.424,0.324,0.294,0.178,0.085,Na  
4079,7/17/17,19:07:51,43.933,-69.583,0,1024,37.42,1.258,1.032,27,0,730.28,329.73,565.85,777.76,696.26,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,2.2148,0.5827,0.7275,1.1171,0.422,0.351,0.274,0.162,0.085,Na  
4079,7/17/17,19:08:01,43.933,-69.583,0,1024,37.45,1.259,1.032,27.1,0,727.94,338.62,558.25,781.97,699.91,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,2.1497,0.6066,0.7139,1.1172,0.424,0.33,0.285,0.158,0.081,Na  
4079,7/17/17,19:08:09,43.933,-69.583,0,1024,37.47,1.259,1.032,27.1,0,732.24,335.43,564.75,775.33,693.2,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,2.183,0.5939,0.7284,1.1185,0.419,0.337,0.275,0.164,0.089,Na  
4079,7/17/17,19:09:44,43.933,-69.583,0,1023,37.72,1.263,1.032,26.9,0,734.75,326.28,565.08,781.54,693.38,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,2.2519,0.5774,0.723,1.1271,0.414,0.357,0.274,0.157,0.088,Na  
4079,7/17/17,19:09:55,43.933,-69.583,0,1023,37.75,1.264,1.032,26.9,0,732.2,325.66,561.47,763.75,684.44,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,2.2483,0.58,0.7351,1.1159,0.417,0.359,0.278,0.175,0.099,Na  
4079,7/17/17,19:10:29,43.933,-69.583,0,1022,37.85,1.265,1.032,26.8,0,735.23,343.47,563.17,765.95,685.42,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,2.1406,0.6099,0.7353,1.1175,0.413,0.316,0.276,0.173,0.097,Na  
4079,7/17/17,19:10:39,43.933,-69.583,0,1022,37.87,1.266,1.032,26.7,0,735.02,337.66,567.69,779.94,699.06,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,2.1768,0.5948,0.7279,1.1157,0.413,0.329,0.269,0.159,0.082,Na  
4079,7/17/17,19:10:53,43.933,-69.583,0,1022,37.91,1.266,1.032,26.7,0,734.51,328.76,568.23,782.28,700.1,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,2.2342,0.5786,0.7264,1.1174,0.413,0.35,0.268,0.156,0.081,Na  
