SN,DATE,TIME,LATITUDE,LONGITUDE,ALTITUDE,PRESSURE,SZA,TEMP,SIG305,SIG312,SIG320,SIG936,SIG1020
4060,7/17/17,19:19:26,-43.933,-60.583,75,1018,39.31853659,28.4,320.99,0.82,202.42,316.56,947.48
4060,7/17/17,19:20:06,-43.933,-60.583,75,1018,39.42666667,28.3,319.59,0.8,202.18,313.55,885.51
4060,7/17/17,19:20:20,-43.933,-60.583,75,1018,39.46555556,28.3,317.13,0.81,201.61,316.19,924.58
4060,7/17/17,19:20:34,-43.933,-60.583,75,1018,39.50555556,28.2,318.63,0.78,201.74,316.67,931.53
4060,7/17/17,19:20:48,-43.933,-60.583,75,1018,39.54444444,28.2,318.91,0.78,201.48,312.89,913.18
4060,7/17/17,19:20:58,-43.933,-60.583,75,1018,39.57222222,28.2,318.57,0.79,201.69,317.21,943.33
4060,7/17/17,19:21:11,-43.933,-60.583,75,1018,39.60666667,28.1,317.24,0.78,200.45,307.95,922.24
4060,7/17/17,19:21:39,-43.933,-60.583,75,1018,39.686,28,315.66,0.8,200.39,316.43,944.52
4060,7/17/17,19:21:51,-43.933,-60.583,75,1018,39.72090909,28,314.22,0.79,199.8,315.22,932.17
4060,7/17/17,19:22:08,-43.933,-60.583,75,1018,39.76795181,28,313.16,0.78,199.96,313.93,933.38
4060,7/17/17,19:22:19,-43.933,-60.583,75,1018,39.7986988,27.9,311.86,0.79,199.57,314.27,940.9
4060,7/17/17,19:22:30,-43.933,-60.583,75,1019,39.82944578,27.9,310.21,0.76,199.24,314.79,928.05
4060,7/17/17,19:28:26,-43.933,-60.583,75,1018,40.82453012,29.2,293.17,0.77,194.8,308.85,915.81
4060,7/17/17,19:28:35,-43.933,-60.583,75,1018,40.84968675,29.2,291.6,0.76,194.2,309.65,925.48
4060,7/17/17,19:28:44,-43.933,-60.583,75,1019,40.87484337,29.3,292.77,0.72,195.24,309.03,944.23
4060,7/17/17,19:28:53,-43.933,-60.583,75,1018,40.9,29.4,293.92,0.77,194.29,310.69,936.5
4060,7/17/17,19:29:02,-43.933,-60.583,75,1019,40.92511628,29.4,291.58,0.75,193.84,309.74,936.13
4060,7/17/17,19:29:55,-43.933,-60.583,75,1019,41.07115385,29.7,198.81,0.26,145.25,209.6,589.81
4060,7/17/17,19:30:34,-43.933,-60.583,75,1019,41.18142857,29.8,286.99,0.76,192.48,305.7,926.86
4060,7/17/17,19:30:51,-43.933,-60.583,75,1019,41.22923077,29.8,285.56,0.7,191.81,302.71,930.06
4060,7/17/17,19:31:08,-43.933,-60.583,75,1019,41.281,29.8,282.14,0.66,191.38,301.36,910.1
4060,7/17/17,19:31:22,-43.933,-60.583,75,1019,41.32,29.8,281.14,0.75,190.08,295.24,914.06
4060,7/17/17,19:31:37,-43.933,-60.583,75,1019,41.36408451,29.8,277.48,0.71,188.66,297.98,934.73
4060,7/17/17,19:34:44,-43.933,-60.583,75,1019,41.89084507,29.4,155.53,0.44,161.11,237.6,823.26
4060,7/17/17,19:35:17,-43.933,-60.583,75,1018,41.98269231,29.2,14.69,0.14,18.49,37.15,76.01
4060,7/17/17,19:36:38,-43.933,-60.583,75,1018,42.221,28.6,2.42,0.02,4.95,10.73,27.75
4060,7/17/17,19:37:16,-43.933,-60.583,75,1018,42.335,28.3,134.17,0.44,98.05,155.59,584.82
4060,7/17/17,19:37:25,-43.933,-60.583,75,1018,42.362,28.3,94.22,0.37,72.93,108.15,383.57
4060,7/17/17,19:37:37,-43.933,-60.583,75,1018,42.398,28.2,241.2,0.52,162.91,235.61,784.83
4060,7/17/17,19:37:46,-43.933,-60.583,75,1018,42.425,28.2,139.21,0.32,83.31,98.58,340.83
