SN,DATE,TIME,LATITUDE,LONGITUDE,ALTITUDE,PRESSURE,SZA,TEMP,SIG305,SIG312,SIG320,SIG936,SIG1020
4060,7/17/17,18:07:23,-43.933,-60.583,75,1018,28.59887006,29.3,454.51,0.97,231.81,339.83,920.21
4060,7/17/17,18:07:53,-43.933,-60.583,75,1018,28.66076923,29.5,449.56,1.02,231.91,340.76,926.42
4060,7/17/17,18:08:02,-43.933,-60.583,75,1019,28.67909091,29.5,453.52,1.04,231.51,340.99,944.73
4060,7/17/17,18:08:10,-43.933,-60.583,75,1019,28.69444444,29.5,450.51,1.02,231.31,334.83,857.45
4060,7/17/17,18:08:19,-43.933,-60.583,75,1019,28.71363636,29.6,453.75,1.03,228.84,312.58,877.4
4060,7/17/17,18:09:28,-43.933,-60.583,75,1019,28.85777778,29.8,452.41,1.02,231.63,339.89,947.84
4060,7/17/17,18:09:42,-43.933,-60.583,75,1019,28.88860759,29.9,452.42,1.02,230.53,333.18,921.04
4060,7/17/17,18:10:05,-43.933,-60.583,75,1019,28.93810127,29.9,374.49,0.63,223.55,333.24,920.95
4060,7/17/17,18:10:24,-43.933,-60.583,75,1019,28.97898734,30,451.15,1.02,231.06,339.92,940.95
4060,7/17/17,18:10:35,-43.933,-60.583,75,1019,29.00265823,30.1,444.81,0.89,229,328.54,864.6
4060,7/17/17,18:11:30,-43.933,-60.583,75,1020,29.12101266,30.2,429.97,0.97,227.73,319.74,899.7
4060,7/17/17,18:11:41,-43.933,-60.583,75,1020,29.14468354,30.2,435.1,0.98,226.57,332.06,888.02
4060,7/17/17,18:11:51,-43.933,-60.583,75,1020,29.16620253,30.3,445.93,1,228.59,330.1,910.19
4060,7/17/17,18:12:02,-43.933,-60.583,75,1019,29.18987342,30.3,334.3,0.73,224.47,333.58,907.17
4060,7/17/17,18:12:23,-43.933,-60.583,75,1020,29.23555556,30.4,439.13,0.93,222.09,299.41,737.63
4060,7/17/17,18:13:46,-43.933,-60.583,75,1020,29.40984733,30.3,437.14,0.98,226.88,336.44,930.55
4060,7/17/17,18:14:02,-43.933,-60.583,75,1020,29.4440458,30.3,432.62,0.9,223.12,318.66,873.45
4060,7/17/17,18:14:12,-43.933,-60.583,75,1019,29.46541985,30.3,409.5,0.9,222.69,333.1,945.37
4060,7/17/17,18:14:25,-43.933,-60.583,75,1020,29.49320611,30.3,432.31,0.96,223.52,333.54,936.17
4060,7/17/17,18:14:58,-43.933,-60.583,75,1019,29.56374046,30.3,430.99,0.95,223.21,329.44,918.55
4060,7/17/17,18:16:29,-43.933,-60.583,75,1019,29.77,30.1,420.99,0.96,214.02,325.91,886.88
4060,7/17/17,18:16:42,-43.933,-60.583,75,1019,29.79777778,30.1,429.33,0.96,223.05,333.28,932.45
4060,7/17/17,18:16:52,-43.933,-60.583,75,1019,29.82,30.1,428.05,0.97,222.89,335.19,927.11
4060,7/17/17,18:17:03,-43.933,-60.583,75,1019,29.84457447,30,427.28,0.98,222.89,333.39,906.63
4060,7/17/17,18:17:13,-43.933,-60.583,75,1019,29.86691489,30,425.97,0.99,221.85,313.88,885.82
4060,7/17/17,18:25:17,-43.933,-60.583,75,1019,30.95555556,30.9,415.95,0.98,221.67,323.21,849.83
4060,7/17/17,18:25:32,-43.933,-60.583,75,1019,30.998,30.9,417.33,0.94,221.7,325.64,877.49
4060,7/17/17,18:25:42,-43.933,-60.583,75,1019,31.01947368,30.9,415.48,0.98,222.39,330.79,934.04
4060,7/17/17,18:25:51,-43.933,-60.583,75,1019,31.04078947,30.9,417.69,1.02,222.42,336.89,931.9
4060,7/17/17,18:26:01,-43.933,-60.583,75,1019,31.06447368,30.9,412.42,0.97,222.08,336.35,944.15
4060,7/17/17,18:32:44,-43.933,-60.583,75,1018,32.01894737,29.7,410.95,0.96,222.03,331.05,894.8
4060,7/17/17,18:33:03,-43.933,-60.583,75,1018,32.06394737,29.7,407.78,0.91,222.24,331.15,933.5
4060,7/17/17,18:33:12,-43.933,-60.583,75,1018,32.08526316,29.7,408.87,0.96,221.73,324.12,883.24
4060,7/17/17,18:33:20,-43.933,-60.583,75,1018,32.10421053,29.7,406.29,0.97,222.14,333.91,932.17
4060,7/17/17,18:33:29,-43.933,-60.583,75,1018,32.12552632,29.7,409.22,0.95,221.35,326.05,931.51
4060,7/17/17,18:34:28,-43.933,-60.583,75,1018,32.26526316,29.7,393.86,0.89,214.64,309.92,896.85
4060,7/17/17,18:34:38,-43.933,-60.583,75,1018,32.28904762,29.7,397.54,0.91,215.03,320.83,926.28
4060,7/17/17,18:34:49,-43.933,-60.583,75,1019,32.3152381,29.6,404.52,0.91,219.22,325.42,925
4060,7/17/17,18:35:09,-43.933,-60.583,75,1018,32.362,29.6,402.7,0.92,219.53,329.53,920.77
4060,7/17/17,18:35:27,-43.933,-60.583,75,1019,32.405,29.6,402.57,0.94,219.57,330.81,926.65
4060,7/17/17,18:35:43,-43.933,-60.583,75,1019,32.44605839,29.6,402.13,0.94,219.3,328.29,938.86
4060,7/17/17,18:35:59,-43.933,-60.583,75,1019,32.48726799,29.5,400.71,0.94,218.48,328.52,927.14
4060,7/17/17,18:36:17,-43.933,-60.583,75,1019,32.53362878,29.5,399.53,0.95,218.18,330.43,925.59
4060,7/17/17,18:49:31,-43.933,-60.583,75,1018,34.57865485,31,364.84,0.82,208.96,324.17,941.87
4060,7/17/17,18:49:59,-43.933,-60.583,75,1018,34.65077164,31,365.33,0.86,207.87,323.9,941.05
4060,7/17/17,18:50:09,-43.933,-60.583,75,1018,34.67652763,30.9,365.97,0.86,207.66,323.04,938.04
4060,7/17/17,19:11:48,-43.933,-60.583,75,1017,38.06,29.2,335.14,0.87,205.37,318.47,942.42
4060,7/17/17,19:12:03,-43.933,-60.583,75,1017,38.10222222,29.3,336.02,0.82,204.9,311.87,917.54
4060,7/17/17,19:12:12,-43.933,-60.583,75,1017,38.12291667,29.3,333.7,0.86,205.25,317.27,941.41
4060,7/17/17,19:12:22,-43.933,-60.583,75,1017,38.15208333,29.3,335.35,0.84,205.56,317.77,931.64
4060,7/17/17,19:12:30,-43.933,-60.583,75,1017,38.17541667,29.3,332.27,0.86,204.74,316.23,908.3
4060,7/17/17,19:13:48,-43.933,-60.583,75,1017,38.39002825,29.2,333.98,0.84,205.13,318.57,941.27
4060,7/17/17,19:13:57,-43.933,-60.583,75,1018,38.41468927,29.2,331.82,0.8,205.26,316.93,915.45
4060,7/17/17,19:14:06,-43.933,-60.583,75,1018,38.43935028,29.1,331.11,0.82,203.47,303.83,803.54
4060,7/17/17,19:14:15,-43.933,-60.583,75,1017,38.4640113,29.1,331.16,0.85,204.45,317.6,945.52
4060,7/17/17,19:14:24,-43.933,-60.583,75,1018,38.48867232,29.1,329.96,0.79,202.34,300.9,898.2
4060,7/17/17,19:18:41,-43.933,-60.583,75,1017,39.19,28.4,321.37,0.82,202.75,315.82,926.74
4060,7/17/17,19:19:09,-43.933,-60.583,75,1018,39.26878049,28.4,320.47,0.83,202,316.59,933.57
